GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	3301765	5954503	1895	-0.1004
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	5996669	13663763	3609	-0.1403
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	13663796	16387008	1750	-0.0756
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	16389879	27302054	5701	-0.2152
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	27302449	27652153	119	0.2499
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	27652308	45551920	9629	-0.2023
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	45552952	45621241	33	0.235
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	45630602	65352187	12400	-0.1665
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	65352798	108103935	25353	-0.1394
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	108105843	150080474	7246	-0.1668
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	150082600	150082937	2	-2.3542
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	150085678	161476341	6043	-0.1896
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	161686708	199850306	24196	-0.1516
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	199851354	206885776	4438	-0.1964
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	206887488	224068055	11485	-0.1505
ce287f91-80f7-4187-ae42-c85b4d67ff07	1	224068137	247650984	14871	-0.1773
ce287f91-80f7-4187-ae42-c85b4d67ff07	2	480597	28276737	17151	-0.1639
ce287f91-80f7-4187-ae42-c85b4d67ff07	2	28280035	28763484	296	0.6524
ce287f91-80f7-4187-ae42-c85b4d67ff07	2	29003693	33945440	2866	-0.1537
ce287f91-80f7-4187-ae42-c85b4d67ff07	2	33947410	33949560	2	-2.5374
ce287f91-80f7-4187-ae42-c85b4d67ff07	2	33949834	42631494	4769	-0.1536
