GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f70dee4f-4b68-46e2-8734-ad3b59507552	1	3301765	54975403	27635	-0.1761
f70dee4f-4b68-46e2-8734-ad3b59507552	1	54977932	65622331	7772	-0.2596
f70dee4f-4b68-46e2-8734-ad3b59507552	1	65622606	91160715	15618	-0.3155
f70dee4f-4b68-46e2-8734-ad3b59507552	1	91160768	95298825	2449	-0.2632
f70dee4f-4b68-46e2-8734-ad3b59507552	1	95298898	108815562	7638	-0.3342
f70dee4f-4b68-46e2-8734-ad3b59507552	1	108816609	119849224	6854	-0.2641
f70dee4f-4b68-46e2-8734-ad3b59507552	1	119849732	157030924	3426	-0.2125
f70dee4f-4b68-46e2-8734-ad3b59507552	1	157035076	185172833	18608	-0.2688
f70dee4f-4b68-46e2-8734-ad3b59507552	1	185173200	199450611	8373	-0.3504
f70dee4f-4b68-46e2-8734-ad3b59507552	1	199450937	201044819	958	-0.2819
f70dee4f-4b68-46e2-8734-ad3b59507552	1	201046605	206490036	3439	-0.2103
f70dee4f-4b68-46e2-8734-ad3b59507552	1	206490104	214880572	5872	-0.268
f70dee4f-4b68-46e2-8734-ad3b59507552	1	214883367	223018153	5418	-0.3104
f70dee4f-4b68-46e2-8734-ad3b59507552	1	223018337	231201285	4856	-0.2449
f70dee4f-4b68-46e2-8734-ad3b59507552	1	231201742	236180918	3325	-0.282
f70dee4f-4b68-46e2-8734-ad3b59507552	1	236182898	236182913	2	-2.2453
f70dee4f-4b68-46e2-8734-ad3b59507552	1	236186000	247650984	7340	-0.3013
f70dee4f-4b68-46e2-8734-ad3b59507552	2	480597	4066565	1654	-0.2176
f70dee4f-4b68-46e2-8734-ad3b59507552	2	4067448	6803977	2135	-0.3084
f70dee4f-4b68-46e2-8734-ad3b59507552	2	6804953	9240949	1607	-0.2485
f70dee4f-4b68-46e2-8734-ad3b59507552	2	9241137	11775095	1723	-0.1995
f70dee4f-4b68-46e2-8734-ad3b59507552	2	11777779	23299302	7756	-0.2702
f70dee4f-4b68-46e2-8734-ad3b59507552	2	23299618	29559360	3181	-0.2062
f70dee4f-4b68-46e2-8734-ad3b59507552	2	29560950	33944284	2389	-0.2441
f70dee4f-4b68-46e2-8734-ad3b59507552	2	33944549	36308200	1149	-0.3286
f70dee4f-4b68-46e2-8734-ad3b59507552	2	36314205	49080253	7773	-0.2485
f70dee4f-4b68-46e2-8734-ad3b59507552	2	49086564	56652401	4050	-0.3045
f70dee4f-4b68-46e2-8734-ad3b59507552	2	56652841	56656312	4	-1.5646
f70dee4f-4b68-46e2-8734-ad3b59507552	2	56656409	59918444	1930	-0.32
f70dee4f-4b68-46e2-8734-ad3b59507552	2	59918832	75930172	9185	-0.2514
f70dee4f-4b68-46e2-8734-ad3b59507552	2	75930604	83689360	4093	-0.3196
f70dee4f-4b68-46e2-8734-ad3b59507552	2	83690145	85201737	873	-0.2651
f70dee4f-4b68-46e2-8734-ad3b59507552	2	85206147	101360021	4049	-0.2248
f70dee4f-4b68-46e2-8734-ad3b59507552	2	101361593	108910513	4581	-0.2816
f70dee4f-4b68-46e2-8734-ad3b59507552	2	108910662	114077560	2173	-0.2206
f70dee4f-4b68-46e2-8734-ad3b59507552	2	114078053	136817080	11501	-0.2688
f70dee4f-4b68-46e2-8734-ad3b59507552	2	136817683	168028823	17724	-0.321
f70dee4f-4b68-46e2-8734-ad3b59507552	2	168029629	178667312	6776	-0.2863
f70dee4f-4b68-46e2-8734-ad3b59507552	2	178671093	199551423	10464	-0.3336
f70dee4f-4b68-46e2-8734-ad3b59507552	2	199555490	210252981	6157	-0.2903
f70dee4f-4b68-46e2-8734-ad3b59507552	2	210253081	215865119	3420	-0.3388
f70dee4f-4b68-46e2-8734-ad3b59507552	2	215868058	220212374	2700	-0.2326
f70dee4f-4b68-46e2-8734-ad3b59507552	2	220212670	230747515	6669	-0.2946
f70dee4f-4b68-46e2-8734-ad3b59507552	2	230747819	241537572	6332	-0.2031
f70dee4f-4b68-46e2-8734-ad3b59507552	3	2170634	8400769	3502	-0.3077
f70dee4f-4b68-46e2-8734-ad3b59507552	3	8400808	13277365	3225	-0.2519
f70dee4f-4b68-46e2-8734-ad3b59507552	3	13280157	13619644	206	-0.3175
f70dee4f-4b68-46e2-8734-ad3b59507552	3	13622928	13623910	3	-1.8658
f70dee4f-4b68-46e2-8734-ad3b59507552	3	13624426	16329722	1785	-0.2616
f70dee4f-4b68-46e2-8734-ad3b59507552	3	16331163	37395813	12360	-0.3175
