GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	3301765	19546296	9118	-0.0855
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	19549531	19550095	3	-3.0706
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	19552832	25761178	3271	-0.0867
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	25761253	29000083	1269	-0.1373
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	29001131	30444352	957	-0.0381
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	30445319	30450324	6	0.7025
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	30452713	33301689	1303	-0.1101
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	33302224	43155869	5595	-0.0593
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	43157973	46602972	1653	-0.0962
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	46603005	50658783	2261	-0.0139
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	50659488	54897021	2166	-0.0794
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	54899550	71468378	11503	-0.0258
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	71470021	71649772	91	-3.1704
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	71651498	150256822	29015	-0.0297
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	150258156	151720707	532	-0.1214
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	151722795	153561422	1091	-0.0254
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	153561551	156792225	1440	-0.1128
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	156795592	184593415	18486	-0.0349
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	184593758	184596084	2	-2.2559
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	184597959	200253649	9142	-0.0233
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	200255704	205920201	3737	-0.067
73e72d55-f8ea-4f06-b439-62a6d5a81164	1	205921171	247650984	26976	-0.0298
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	480597	131578249	68990	-0.0477
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	131578296	152957719	12032	-0.0243
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	152958576	152958815	2	-4.3424
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	152963424	229685128	44279	-0.0307
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	229685369	234596780	2628	-0.0806
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	234597219	234597242	2	-1.6298
73e72d55-f8ea-4f06-b439-62a6d5a81164	2	234600712	241537572	4144	-0.06
73e72d55-f8ea-4f06-b439-62a6d5a81164	3	2170634	46705547	26645	-0.2984
73e72d55-f8ea-4f06-b439-62a6d5a81164	3	46705702	53422580	2701	-0.3482
73e72d55-f8ea-4f06-b439-62a6d5a81164	3	53423282	97427876	23564	-0.2901
73e72d55-f8ea-4f06-b439-62a6d5a81164	3	97432085	97433921	4	-2.1377
73e72d55-f8ea-4f06-b439-62a6d5a81164	3	97449739	197812401	54123	-0.2836
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	1059384	32295595	19644	-0.051
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	32295704	32295925	2	-1.5417
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	32295946	39222677	4209	-0.043
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	39227134	40890268	738	-0.1241
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	40893020	151878222	59339	-0.0392
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	151878731	151883075	2	-1.9103
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	151883091	181255905	16292	-0.0361
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	181262762	181286450	28	-4.1559
73e72d55-f8ea-4f06-b439-62a6d5a81164	4	181286485	187842528	3137	-0.0553
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	913983	16510960	10300	0.5706
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	16512255	27963544	5879	0.5415
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	27964453	69002468	20904	0.5754
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	69003090	71691908	382	0.4784
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	71694909	112748141	22102	0.5721
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	112748890	112748954	2	-1.3931
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	112749021	112846201	174	0.4864
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	112846216	130884815	10596	0.5795
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	130884899	131976634	499	0.49
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	131977420	134197734	1484	0.5807
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	134200594	134944696	337	0.4611
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	134948283	137750998	1987	0.6142
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	137751353	139606109	765	0.4856
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	139612383	139640337	13	-0.5725
73e72d55-f8ea-4f06-b439-62a6d5a81164	5	139642570	141576321	799	0.5259
