GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f716c644-db79-4cba-8d8b-f54e6af86e45	1	3301765	7072985	2421	-0.6737
f716c644-db79-4cba-8d8b-f54e6af86e45	1	7080770	7237340	103	-0.0343
f716c644-db79-4cba-8d8b-f54e6af86e45	1	7238498	8385082	685	-0.6971
f716c644-db79-4cba-8d8b-f54e6af86e45	1	8388132	8785140	186	-3.4824
f716c644-db79-4cba-8d8b-f54e6af86e45	1	8790469	119984772	64049	-0.6617
f716c644-db79-4cba-8d8b-f54e6af86e45	1	146716041	236024008	53765	0.355
f716c644-db79-4cba-8d8b-f54e6af86e45	1	236024065	240750003	3656	0.3125
f716c644-db79-4cba-8d8b-f54e6af86e45	1	240750585	247650984	3719	0.3458
f716c644-db79-4cba-8d8b-f54e6af86e45	2	480597	75579660	44128	0.3213
f716c644-db79-4cba-8d8b-f54e6af86e45	2	75583085	164671037	42928	0.3092
f716c644-db79-4cba-8d8b-f54e6af86e45	2	164674483	178685591	8675	0.3272
f716c644-db79-4cba-8d8b-f54e6af86e45	2	178689140	180874309	1392	0.8517
f716c644-db79-4cba-8d8b-f54e6af86e45	2	180883135	208820309	14326	0.3095
f716c644-db79-4cba-8d8b-f54e6af86e45	2	208821873	208821906	2	-2.4129
f716c644-db79-4cba-8d8b-f54e6af86e45	2	208822782	217437290	5305	0.3139
f716c644-db79-4cba-8d8b-f54e6af86e45	2	217440229	217639413	148	-0.4678
f716c644-db79-4cba-8d8b-f54e6af86e45	2	217640039	220221009	1415	0.3477
f716c644-db79-4cba-8d8b-f54e6af86e45	2	220221162	220496580	208	-1.0185
f716c644-db79-4cba-8d8b-f54e6af86e45	2	220499495	239376007	11477	0.327
f716c644-db79-4cba-8d8b-f54e6af86e45	2	239378275	240476630	725	-0.486
f716c644-db79-4cba-8d8b-f54e6af86e45	2	240477920	240534021	64	0.31
f716c644-db79-4cba-8d8b-f54e6af86e45	2	240534239	240550661	2	-0.9664
f716c644-db79-4cba-8d8b-f54e6af86e45	2	240552028	241537572	435	0.3491
f716c644-db79-4cba-8d8b-f54e6af86e45	3	2170634	71569052	40979	-0.0798
f716c644-db79-4cba-8d8b-f54e6af86e45	3	71569551	71603737	25	-2.2918
f716c644-db79-4cba-8d8b-f54e6af86e45	3	71604239	175143627	53752	-0.0852
f716c644-db79-4cba-8d8b-f54e6af86e45	3	175144572	175229203	87	-0.6729
f716c644-db79-4cba-8d8b-f54e6af86e45	3	175234470	180417580	2551	-0.076
f716c644-db79-4cba-8d8b-f54e6af86e45	3	180418034	182730905	1135	-0.1358
f716c644-db79-4cba-8d8b-f54e6af86e45	3	182730988	197812401	7800	-0.0634
f716c644-db79-4cba-8d8b-f54e6af86e45	4	1059384	21178098	12404	-0.0766
f716c644-db79-4cba-8d8b-f54e6af86e45	4	21178330	60092239	20881	-0.0991
f716c644-db79-4cba-8d8b-f54e6af86e45	4	60093686	62021947	1087	-1.6331
f716c644-db79-4cba-8d8b-f54e6af86e45	4	62024239	102681559	22368	-0.092
f716c644-db79-4cba-8d8b-f54e6af86e45	4	102683550	102889615	90	-1.5351
f716c644-db79-4cba-8d8b-f54e6af86e45	4	102895956	114494754	6611	-0.0888
f716c644-db79-4cba-8d8b-f54e6af86e45	4	114495609	114496175	2	-2.7194
f716c644-db79-4cba-8d8b-f54e6af86e45	4	114496846	162437813	26137	-0.0904
f716c644-db79-4cba-8d8b-f54e6af86e45	4	162438074	163032786	330	-0.7275
f716c644-db79-4cba-8d8b-f54e6af86e45	4	163032805	163048749	37	-0.4107
f716c644-db79-4cba-8d8b-f54e6af86e45	4	163050205	163206774	78	-0.6892
f716c644-db79-4cba-8d8b-f54e6af86e45	4	163213909	179440991	8545	-0.0983
f716c644-db79-4cba-8d8b-f54e6af86e45	4	179441694	179458203	12	-0.7629
f716c644-db79-4cba-8d8b-f54e6af86e45	4	179462756	180603978	790	-0.1001
f716c644-db79-4cba-8d8b-f54e6af86e45	4	180604429	181576753	348	-0.7323
f716c644-db79-4cba-8d8b-f54e6af86e45	4	181631890	181716437	72	-5.3804
f716c644-db79-4cba-8d8b-f54e6af86e45	4	181716472	182165548	382	-1.9975
f716c644-db79-4cba-8d8b-f54e6af86e45	4	182166177	187842528	2408	-0.0943
f716c644-db79-4cba-8d8b-f54e6af86e45	5	913983	1021104	52	1.7828
f716c644-db79-4cba-8d8b-f54e6af86e45	5	1287276	1288546	6	0.7043
f716c644-db79-4cba-8d8b-f54e6af86e45	5	1288579	1309352	6	1.6477
f716c644-db79-4cba-8d8b-f54e6af86e45	5	1313552	4967916	2574	-0.7575
f716c644-db79-4cba-8d8b-f54e6af86e45	5	4968091	4968435	3	-2.5724
f716c644-db79-4cba-8d8b-f54e6af86e45	5	4968642	28102328	13432	-0.7143
f716c644-db79-4cba-8d8b-f54e6af86e45	5	28103781	28426542	173	1.5212
f716c644-db79-4cba-8d8b-f54e6af86e45	5	28433408	29425722	517	1.0132
f716c644-db79-4cba-8d8b-f54e6af86e45	5	29431519	31652499	1502	0.329
f716c644-db79-4cba-8d8b-f54e6af86e45	5	31655163	31826957	155	0.9117
f716c644-db79-4cba-8d8b-f54e6af86e45	5	31827318	33114532	826	1.3796
f716c644-db79-4cba-8d8b-f54e6af86e45	5	33121736	33285311	83	0.9578
f716c644-db79-4cba-8d8b-f54e6af86e45	5	33290410	41406371	4697	0.36
f716c644-db79-4cba-8d8b-f54e6af86e45	5	41408746	41422210	12	-0.6349
f716c644-db79-4cba-8d8b-f54e6af86e45	5	41425142	169579141	69904	0.3474
f716c644-db79-4cba-8d8b-f54e6af86e45	5	169582056	169926753	284	-0.742
f716c644-db79-4cba-8d8b-f54e6af86e45	5	169974530	170068369	97	0.4055
f716c644-db79-4cba-8d8b-f54e6af86e45	5	170070634	170248629	162	1
f716c644-db79-4cba-8d8b-f54e6af86e45	5	170250253	180934240	5768	0.36
f716c644-db79-4cba-8d8b-f54e6af86e45	6	1011760	170596889	96098	-0.6947
f716c644-db79-4cba-8d8b-f54e6af86e45	7	664936	7580433	2686	0.3417
f716c644-db79-4cba-8d8b-f54e6af86e45	7	7584954	7855537	251	-0.6512
f716c644-db79-4cba-8d8b-f54e6af86e45	7	7861612	55164640	29680	0.3527
f716c644-db79-4cba-8d8b-f54e6af86e45	7	55170771	66066060	1300	0.2787
f716c644-db79-4cba-8d8b-f54e6af86e45	7	66068022	66265811	63	-0.0652
f716c644-db79-4cba-8d8b-f54e6af86e45	7	66279389	76409947	4334	0.2989
f716c644-db79-4cba-8d8b-f54e6af86e45	7	76416723	82781742	3556	0.3542
f716c644-db79-4cba-8d8b-f54e6af86e45	7	82782959	82857538	43	0.9807
f716c644-db79-4cba-8d8b-f54e6af86e45	7	82862943	96730612	7070	0.3495
f716c644-db79-4cba-8d8b-f54e6af86e45	7	96731141	120234656	11764	0.3274
f716c644-db79-4cba-8d8b-f54e6af86e45	7	120241804	158592540	20618	0.3478
f716c644-db79-4cba-8d8b-f54e6af86e45	8	667625	13152766	5579	0.3355
f716c644-db79-4cba-8d8b-f54e6af86e45	8	13155320	13212664	26	-0.6891
f716c644-db79-4cba-8d8b-f54e6af86e45	8	13216627	29175155	11414	0.3637
f716c644-db79-4cba-8d8b-f54e6af86e45	8	29175645	116888874	47172	0.3378
f716c644-db79-4cba-8d8b-f54e6af86e45	8	116889394	129755548	8804	0.358
f716c644-db79-4cba-8d8b-f54e6af86e45	8	129759736	129759882	3	-0.925
f716c644-db79-4cba-8d8b-f54e6af86e45	8	129760378	136870980	5149	0.3635
f716c644-db79-4cba-8d8b-f54e6af86e45	8	136872020	136905215	17	-0.776
f716c644-db79-4cba-8d8b-f54e6af86e45	8	136908840	144182542	3422	0.36
f716c644-db79-4cba-8d8b-f54e6af86e45	9	789794	21980471	13487	-0.674
f716c644-db79-4cba-8d8b-f54e6af86e45	9	21986219	22088261	98	-3.8253
f716c644-db79-4cba-8d8b-f54e6af86e45	9	22089600	97798294	29354	-0.682
f716c644-db79-4cba-8d8b-f54e6af86e45	9	97800422	99522745	1220	0.3949
f716c644-db79-4cba-8d8b-f54e6af86e45	9	99522759	130860257	20175	0.3513
f716c644-db79-4cba-8d8b-f54e6af86e45	9	130860729	133792329	1873	0.398
f716c644-db79-4cba-8d8b-f54e6af86e45	9	133792484	133792488	2	-1.2126
f716c644-db79-4cba-8d8b-f54e6af86e45	9	133800186	138044505	1575	0.4034
f716c644-db79-4cba-8d8b-f54e6af86e45	10	366509	16093578	11433	0.3508
f716c644-db79-4cba-8d8b-f54e6af86e45	10	16093762	44651838	16170	0.3304
f716c644-db79-4cba-8d8b-f54e6af86e45	10	44652794	67697868	12115	0.3526
f716c644-db79-4cba-8d8b-f54e6af86e45	10	67705854	69255633	813	0.2803
f716c644-db79-4cba-8d8b-f54e6af86e45	10	69256214	70934102	1169	0.3648
f716c644-db79-4cba-8d8b-f54e6af86e45	10	70935402	70992101	73	0.5136
f716c644-db79-4cba-8d8b-f54e6af86e45	10	70992487	70993503	3	1.2608
f716c644-db79-4cba-8d8b-f54e6af86e45	10	70995295	71067799	56	0.5038
f716c644-db79-4cba-8d8b-f54e6af86e45	10	71072646	79449208	5280	0.3666
f716c644-db79-4cba-8d8b-f54e6af86e45	10	79449542	108988537	17743	0.342
f716c644-db79-4cba-8d8b-f54e6af86e45	10	108988900	133411599	15836	0.3607
f716c644-db79-4cba-8d8b-f54e6af86e45	11	456012	10415792	5355	-0.6678
f716c644-db79-4cba-8d8b-f54e6af86e45	11	10415954	10416806	2	-6.7696
f716c644-db79-4cba-8d8b-f54e6af86e45	11	10418797	70588199	31367	-0.6827
f716c644-db79-4cba-8d8b-f54e6af86e45	11	70593048	70593734	2	-5.2079
f716c644-db79-4cba-8d8b-f54e6af86e45	11	70594554	80815492	5797	-0.6761
f716c644-db79-4cba-8d8b-f54e6af86e45	11	80815838	80815996	3	-3.5168
f716c644-db79-4cba-8d8b-f54e6af86e45	11	80817972	128802579	30837	-0.6821
f716c644-db79-4cba-8d8b-f54e6af86e45	11	128802613	128946411	121	-5.1582
f716c644-db79-4cba-8d8b-f54e6af86e45	11	128946755	134272740	3218	-0.6961
f716c644-db79-4cba-8d8b-f54e6af86e45	12	780472	132605822	73779	0.3427
f716c644-db79-4cba-8d8b-f54e6af86e45	13	18874255	39073881	12634	0.3377
f716c644-db79-4cba-8d8b-f54e6af86e45	13	39074382	39074903	2	-1.2271
f716c644-db79-4cba-8d8b-f54e6af86e45	13	39079490	98204447	33301	0.3424
f716c644-db79-4cba-8d8b-f54e6af86e45	13	98212741	98318642	112	-0.7413
f716c644-db79-4cba-8d8b-f54e6af86e45	13	98322609	108561932	7063	0.3322
f716c644-db79-4cba-8d8b-f54e6af86e45	13	108562197	112530283	2793	0.3874
f716c644-db79-4cba-8d8b-f54e6af86e45	13	112530898	114226675	562	0.3523
f716c644-db79-4cba-8d8b-f54e6af86e45	14	20033191	41464054	11586	-0.082
f716c644-db79-4cba-8d8b-f54e6af86e45	14	41470524	41470704	2	-1.7538
f716c644-db79-4cba-8d8b-f54e6af86e45	14	41471280	51017456	4307	-0.0813
f716c644-db79-4cba-8d8b-f54e6af86e45	14	51021387	73246979	13812	-0.6744
f716c644-db79-4cba-8d8b-f54e6af86e45	14	73247400	73254454	9	-1.8597
f716c644-db79-4cba-8d8b-f54e6af86e45	14	73254537	76241347	1653	-0.6754
f716c644-db79-4cba-8d8b-f54e6af86e45	14	76260319	99197510	15068	-0.0831
f716c644-db79-4cba-8d8b-f54e6af86e45	14	99198647	99201350	4	-1.6899
f716c644-db79-4cba-8d8b-f54e6af86e45	14	99203668	105533894	2877	-0.0585
f716c644-db79-4cba-8d8b-f54e6af86e45	15	23437561	60203051	20003	-0.0778
f716c644-db79-4cba-8d8b-f54e6af86e45	15	60205530	79844444	11731	-0.0524
f716c644-db79-4cba-8d8b-f54e6af86e45	15	79844472	84793497	2522	-0.0817
f716c644-db79-4cba-8d8b-f54e6af86e45	15	84793575	84793714	3	-1.2933
f716c644-db79-4cba-8d8b-f54e6af86e45	15	84794022	86600192	998	-0.0688
f716c644-db79-4cba-8d8b-f54e6af86e45	15	86602510	86602917	9	-1.0583
f716c644-db79-4cba-8d8b-f54e6af86e45	15	86603137	101344124	9147	-0.0775
f716c644-db79-4cba-8d8b-f54e6af86e45	16	603333	64474720	25475	0.3458
f716c644-db79-4cba-8d8b-f54e6af86e45	16	64474762	64474803	2	-2.8648
f716c644-db79-4cba-8d8b-f54e6af86e45	16	64475151	89317317	15448	0.3538
f716c644-db79-4cba-8d8b-f54e6af86e45	17	1074619	82959812	37040	-0.0729
f716c644-db79-4cba-8d8b-f54e6af86e45	18	326691	79349796	42609	-0.0828
f716c644-db79-4cba-8d8b-f54e6af86e45	19	283868	58370362	24046	0.3327
f716c644-db79-4cba-8d8b-f54e6af86e45	20	472817	36688688	19376	0.3574
f716c644-db79-4cba-8d8b-f54e6af86e45	20	36689064	37170697	296	0.2346
f716c644-db79-4cba-8d8b-f54e6af86e45	20	37171650	51176296	9139	0.3611
f716c644-db79-4cba-8d8b-f54e6af86e45	20	51176644	51234927	41	-0.5659
f716c644-db79-4cba-8d8b-f54e6af86e45	20	51237525	51611553	277	0.3784
f716c644-db79-4cba-8d8b-f54e6af86e45	20	51613537	57024381	3847	0.3331
f716c644-db79-4cba-8d8b-f54e6af86e45	20	57024878	63588502	4333	0.3758
f716c644-db79-4cba-8d8b-f54e6af86e45	21	13974127	46262057	20435	-0.0781
f716c644-db79-4cba-8d8b-f54e6af86e45	22	16934932	28994004	4457	-0.6787
f716c644-db79-4cba-8d8b-f54e6af86e45	22	28999981	29138633	118	-4.6562
f716c644-db79-4cba-8d8b-f54e6af86e45	22	29139822	48940621	12350	-0.6735
f716c644-db79-4cba-8d8b-f54e6af86e45	X	3236359	40055480	16497	0.1019
f716c644-db79-4cba-8d8b-f54e6af86e45	X	40058147	40085683	17	0.7087
f716c644-db79-4cba-8d8b-f54e6af86e45	X	40093696	64839297	7929	0.0954
f716c644-db79-4cba-8d8b-f54e6af86e45	X	64844768	64986191	58	-0.9113
f716c644-db79-4cba-8d8b-f54e6af86e45	X	64990554	97797738	12494	0.0865
f716c644-db79-4cba-8d8b-f54e6af86e45	X	97797798	97802555	3	-1.2001
f716c644-db79-4cba-8d8b-f54e6af86e45	X	97805489	139651095	19690	0.0952
f716c644-db79-4cba-8d8b-f54e6af86e45	X	140422569	144519175	1814	-0.9692
f716c644-db79-4cba-8d8b-f54e6af86e45	X	144523698	146685343	1378	0.1161
f716c644-db79-4cba-8d8b-f54e6af86e45	X	146685979	152672755	3196	-0.9402
f716c644-db79-4cba-8d8b-f54e6af86e45	X	152674889	153640838	100	0.078
f716c644-db79-4cba-8d8b-f54e6af86e45	X	153651412	155677414	293	-0.8981
