GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	3301765	15381037	6825	-0.5516
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	15383915	21811974	3542	-0.1289
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	21815733	21896231	29	0.1864
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	21896263	21969814	50	0.4854
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	21970933	22159350	31	0.1677
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	22159378	28916260	3083	-0.1172
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	28919436	29116074	77	0.3124
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	29116468	32514921	1882	-0.1264
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	32516789	32912905	153	0.1828
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	32914507	44136534	6324	-0.1198
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	44136710	44597262	262	0.2053
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	44597423	44852877	128	0.4205
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	44855394	44997800	81	0.1453
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	45000839	63296376	11173	-0.0961
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	63301926	64365903	746	-0.5074
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	64367665	72874276	5319	-0.0849
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	72876169	84750522	7000	-0.5026
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	84751029	84803171	62	-0.087
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	84809867	88160195	2218	-0.5224
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	88164091	88166705	7	-2.8879
be71b867-4ae0-4513-bcd0-914eaf87ae55	1	88166738	149906351	18744	-0.5164
