GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0298819c-c447-44f3-9067-433801c5838a	1	3301765	247650984	128748	0.0011
0298819c-c447-44f3-9067-433801c5838a	2	480597	123484614	65130	0.0011
0298819c-c447-44f3-9067-433801c5838a	2	123484634	123602963	2	1.9706
0298819c-c447-44f3-9067-433801c5838a	2	123602994	241537572	66032	0.0032
0298819c-c447-44f3-9067-433801c5838a	3	2170634	197812401	106327	0.0041
0298819c-c447-44f3-9067-433801c5838a	4	1059384	187842528	102613	0.0017
0298819c-c447-44f3-9067-433801c5838a	5	913983	5902979	3471	-0.0113
0298819c-c447-44f3-9067-433801c5838a	5	5903291	5903420	2	-3.1632
0298819c-c447-44f3-9067-433801c5838a	5	5903520	144431659	74127	0.0065
0298819c-c447-44f3-9067-433801c5838a	5	144436497	144437293	2	-1.7788
0298819c-c447-44f3-9067-433801c5838a	5	144437521	180934240	22648	0.0036
0298819c-c447-44f3-9067-433801c5838a	6	1011760	170596889	96351	0.0018
0298819c-c447-44f3-9067-433801c5838a	7	664936	158592540	81316	0.0027
0298819c-c447-44f3-9067-433801c5838a	8	667625	144182542	81553	0.005
0298819c-c447-44f3-9067-433801c5838a	9	789794	138044505	67901	0.0011
0298819c-c447-44f3-9067-433801c5838a	10	366509	98062123	58318	-0.0022
0298819c-c447-44f3-9067-433801c5838a	10	98062830	98067969	2	-2.1206
0298819c-c447-44f3-9067-433801c5838a	10	98069873	133411599	22324	-0.0032
0298819c-c447-44f3-9067-433801c5838a	11	456012	134272740	76925	0.001
0298819c-c447-44f3-9067-433801c5838a	12	780472	132605822	73739	0.0032
0298819c-c447-44f3-9067-433801c5838a	13	18874255	114226675	56441	0.0031
0298819c-c447-44f3-9067-433801c5838a	14	20033191	105533894	49355	-0.001
0298819c-c447-44f3-9067-433801c5838a	15	23437561	101344124	44404	0.0012
0298819c-c447-44f3-9067-433801c5838a	16	603333	77471140	32699	-0.0049
0298819c-c447-44f3-9067-433801c5838a	16	77471236	77471970	2	-2.4976
0298819c-c447-44f3-9067-433801c5838a	16	77472544	89317317	8191	-0.0086
0298819c-c447-44f3-9067-433801c5838a	17	1074619	82959812	37033	-0.0023
0298819c-c447-44f3-9067-433801c5838a	18	326691	79349796	42594	0
0298819c-c447-44f3-9067-433801c5838a	19	283868	58370362	24028	-0.0044
0298819c-c447-44f3-9067-433801c5838a	20	472817	63588502	37288	0.001
0298819c-c447-44f3-9067-433801c5838a	21	13974127	24213071	6215	0.0106
0298819c-c447-44f3-9067-433801c5838a	21	24215936	24216026	3	-1.5434
0298819c-c447-44f3-9067-433801c5838a	21	24216643	46262057	14216	0.0043
0298819c-c447-44f3-9067-433801c5838a	22	16934932	48940621	16992	0
0298819c-c447-44f3-9067-433801c5838a	X	3236359	16632368	5323	-0.0545
0298819c-c447-44f3-9067-433801c5838a	X	16635011	16850653	86	-2.4966
0298819c-c447-44f3-9067-433801c5838a	X	16858229	16953237	61	-0.0622
0298819c-c447-44f3-9067-433801c5838a	X	16953668	17101386	71	-2.2584
0298819c-c447-44f3-9067-433801c5838a	X	17104358	18770449	766	-0.0417
0298819c-c447-44f3-9067-433801c5838a	X	18773904	18781387	8	-1.7696
0298819c-c447-44f3-9067-433801c5838a	X	18781767	19552298	116	-0.0755
0298819c-c447-44f3-9067-433801c5838a	X	19555438	19792485	140	-2.7712
0298819c-c447-44f3-9067-433801c5838a	X	19805752	25669172	2872	-0.0556
0298819c-c447-44f3-9067-433801c5838a	X	25669201	26867296	686	-2.8132
0298819c-c447-44f3-9067-433801c5838a	X	26871701	32215665	3045	-0.0516
0298819c-c447-44f3-9067-433801c5838a	X	32216116	32217032	2	-2.2015
0298819c-c447-44f3-9067-433801c5838a	X	32217075	34016287	509	-0.0658
0298819c-c447-44f3-9067-433801c5838a	X	34624287	35644676	552	-2.5658
0298819c-c447-44f3-9067-433801c5838a	X	35646001	41114224	2694	-0.0737
0298819c-c447-44f3-9067-433801c5838a	X	41119055	41170927	36	1.4776
0298819c-c447-44f3-9067-433801c5838a	X	41173251	41580800	188	-0.0737
0298819c-c447-44f3-9067-433801c5838a	X	41594793	42434362	363	1.8694
0298819c-c447-44f3-9067-433801c5838a	X	42435329	43860486	457	1.4681
0298819c-c447-44f3-9067-433801c5838a	X	43861041	44210906	225	1.8903
0298819c-c447-44f3-9067-433801c5838a	X	44216421	44579028	198	2.8507
0298819c-c447-44f3-9067-433801c5838a	X	44582973	44795709	87	-2.2816
0298819c-c447-44f3-9067-433801c5838a	X	44801079	44974596	75	2.7973
0298819c-c447-44f3-9067-433801c5838a	X	44975467	45093955	48	-2.2894
0298819c-c447-44f3-9067-433801c5838a	X	45096428	45251387	74	2.6311
0298819c-c447-44f3-9067-433801c5838a	X	45252679	46277397	527	-2.5448
0298819c-c447-44f3-9067-433801c5838a	X	46289093	46292802	4	3.1111
0298819c-c447-44f3-9067-433801c5838a	X	46292871	46426603	80	-2.7352
0298819c-c447-44f3-9067-433801c5838a	X	46431786	47059940	291	2.9345
0298819c-c447-44f3-9067-433801c5838a	X	47061173	47106381	23	-3.0079
0298819c-c447-44f3-9067-433801c5838a	X	47117551	47682222	286	2.8406
0298819c-c447-44f3-9067-433801c5838a	X	47689602	48578119	264	2.3499
0298819c-c447-44f3-9067-433801c5838a	X	48583105	48834365	90	1.4624
0298819c-c447-44f3-9067-433801c5838a	X	48854195	49155390	89	2.3713
0298819c-c447-44f3-9067-433801c5838a	X	49160413	49164746	3	1.1355
0298819c-c447-44f3-9067-433801c5838a	X	49164774	49212287	45	2.4142
0298819c-c447-44f3-9067-433801c5838a	X	49212444	49912167	197	2.0771
0298819c-c447-44f3-9067-433801c5838a	X	49912300	50936187	532	2.334
0298819c-c447-44f3-9067-433801c5838a	X	50940455	52657472	579	2.8138
0298819c-c447-44f3-9067-433801c5838a	X	52789762	53213447	146	-1.9244
0298819c-c447-44f3-9067-433801c5838a	X	53215358	53312360	46	2.7134
0298819c-c447-44f3-9067-433801c5838a	X	53317488	53436848	33	1.493
0298819c-c447-44f3-9067-433801c5838a	X	53437772	54595045	319	-0.0577
0298819c-c447-44f3-9067-433801c5838a	X	54600558	54615217	7	-1.1203
0298819c-c447-44f3-9067-433801c5838a	X	54619774	55208901	251	-2.45
0298819c-c447-44f3-9067-433801c5838a	X	55209102	155677414	40592	-0.0378
