GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
71b91dbf-063c-4b0e-ac12-c56f8812222b	1	3301765	46900456	23214	-0.1346
71b91dbf-063c-4b0e-ac12-c56f8812222b	1	46901766	46906437	3	-2.1623
71b91dbf-063c-4b0e-ac12-c56f8812222b	1	46909601	247650984	105389	-0.1356
71b91dbf-063c-4b0e-ac12-c56f8812222b	2	480597	241537572	130997	-0.1215
71b91dbf-063c-4b0e-ac12-c56f8812222b	3	2170634	111516074	60114	-0.1375
71b91dbf-063c-4b0e-ac12-c56f8812222b	3	111516217	111516448	2	-3.0737
71b91dbf-063c-4b0e-ac12-c56f8812222b	3	111518704	197812401	46050	-0.1314
71b91dbf-063c-4b0e-ac12-c56f8812222b	4	1059384	153333093	84123	-0.1333
71b91dbf-063c-4b0e-ac12-c56f8812222b	4	153333535	154190587	503	0.6982
71b91dbf-063c-4b0e-ac12-c56f8812222b	4	154190825	187842528	17881	-0.1322
71b91dbf-063c-4b0e-ac12-c56f8812222b	5	913983	23918874	13948	0.4705
71b91dbf-063c-4b0e-ac12-c56f8812222b	5	23920551	180934240	86341	0.5361
71b91dbf-063c-4b0e-ac12-c56f8812222b	6	1011760	170596889	96245	-0.1345
71b91dbf-063c-4b0e-ac12-c56f8812222b	7	664936	12297923	5095	-0.1292
71b91dbf-063c-4b0e-ac12-c56f8812222b	7	12298432	12299734	2	-2.5908
71b91dbf-063c-4b0e-ac12-c56f8812222b	7	12299869	158592540	76132	-0.1353
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	667625	3400729	1269	0.1532
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	3401193	13186369	4314	0.0956
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	13188308	15292998	1644	0.0251
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	15293246	18148250	2036	0.1105
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	18148464	23754822	4006	0.0512
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	23754871	36153061	7816	0.0075
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	36153989	43003156	3745	0.0738
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	43004833	60638205	7960	0.2356
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	60638375	63207546	1684	0.3136
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	63208009	65498311	1174	0.507
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	65499953	71254053	3230	0.4744
71b91dbf-063c-4b0e-ac12-c56f8812222b	8	71254212	144182542	42676	0.5175
71b91dbf-063c-4b0e-ac12-c56f8812222b	9	789794	126203830	61893	-0.1412
71b91dbf-063c-4b0e-ac12-c56f8812222b	9	126205861	126206708	5	-2.1189
71b91dbf-063c-4b0e-ac12-c56f8812222b	9	126207037	132281580	3408	-0.1293
71b91dbf-063c-4b0e-ac12-c56f8812222b	9	132282367	132297025	3	-1.6942
71b91dbf-063c-4b0e-ac12-c56f8812222b	9	132297171	138044505	2513	-0.1274
71b91dbf-063c-4b0e-ac12-c56f8812222b	10	366509	22735747	15871	-0.1384
71b91dbf-063c-4b0e-ac12-c56f8812222b	10	22735786	22742694	4	-1.8851
71b91dbf-063c-4b0e-ac12-c56f8812222b	10	22743163	36632572	9118	-0.1456
71b91dbf-063c-4b0e-ac12-c56f8812222b	10	36634046	36634063	2	-2.2042
71b91dbf-063c-4b0e-ac12-c56f8812222b	10	36634314	125771854	51284	-0.1424
71b91dbf-063c-4b0e-ac12-c56f8812222b	10	125775402	125809346	20	0.4731
71b91dbf-063c-4b0e-ac12-c56f8812222b	10	125809986	133411599	4246	-0.1561
71b91dbf-063c-4b0e-ac12-c56f8812222b	11	456012	134272740	76834	-0.1481
71b91dbf-063c-4b0e-ac12-c56f8812222b	12	780472	132605822	73767	0.5159
71b91dbf-063c-4b0e-ac12-c56f8812222b	13	18874255	114226675	56361	-0.1394
71b91dbf-063c-4b0e-ac12-c56f8812222b	14	20033191	55848193	19021	-0.1373
71b91dbf-063c-4b0e-ac12-c56f8812222b	14	55855565	55858405	3	-2.4607
71b91dbf-063c-4b0e-ac12-c56f8812222b	14	55859177	105533894	30261	-0.1375
71b91dbf-063c-4b0e-ac12-c56f8812222b	15	23437561	38884763	7462	-0.1433
71b91dbf-063c-4b0e-ac12-c56f8812222b	15	38887120	38887225	2	-2.6417
71b91dbf-063c-4b0e-ac12-c56f8812222b	15	38887457	101344124	36890	-0.1386
71b91dbf-063c-4b0e-ac12-c56f8812222b	16	603333	89317317	40914	0.5145
71b91dbf-063c-4b0e-ac12-c56f8812222b	17	1074619	38827709	14849	-0.1338
71b91dbf-063c-4b0e-ac12-c56f8812222b	17	38829578	38829813	4	-1.4684
71b91dbf-063c-4b0e-ac12-c56f8812222b	17	38835723	82959812	22138	-0.1252
71b91dbf-063c-4b0e-ac12-c56f8812222b	18	326691	2378778	723	-0.1362
71b91dbf-063c-4b0e-ac12-c56f8812222b	18	2383387	2383813	3	-1.7184
71b91dbf-063c-4b0e-ac12-c56f8812222b	18	2399867	3305740	458	-0.1345
