GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
211b34f8-8871-4111-aa1f-a7f838409fa3	1	3301765	5593340	1617	0.2641
211b34f8-8871-4111-aa1f-a7f838409fa3	1	5594249	7847944	1324	0.2297
211b34f8-8871-4111-aa1f-a7f838409fa3	1	7848828	12188234	2107	0.17
211b34f8-8871-4111-aa1f-a7f838409fa3	1	12188446	20450259	4651	0.2412
211b34f8-8871-4111-aa1f-a7f838409fa3	1	20450787	29333156	4067	0.1988
211b34f8-8871-4111-aa1f-a7f838409fa3	1	29333746	46981839	9520	0.233
211b34f8-8871-4111-aa1f-a7f838409fa3	1	46982670	50394249	1925	0.2989
211b34f8-8871-4111-aa1f-a7f838409fa3	1	50403012	50407667	7	-0.6467
211b34f8-8871-4111-aa1f-a7f838409fa3	1	50410279	54842913	2231	0.2276
211b34f8-8871-4111-aa1f-a7f838409fa3	1	54842936	61437882	4901	0.3046
211b34f8-8871-4111-aa1f-a7f838409fa3	1	61439812	67777257	4522	0.2627
211b34f8-8871-4111-aa1f-a7f838409fa3	1	67777714	88144606	12044	0.3129
211b34f8-8871-4111-aa1f-a7f838409fa3	1	88150945	96929856	5285	0.2817
211b34f8-8871-4111-aa1f-a7f838409fa3	1	96931491	96953566	14	-0.5861
211b34f8-8871-4111-aa1f-a7f838409fa3	1	96955683	112379879	8848	0.2858
211b34f8-8871-4111-aa1f-a7f838409fa3	1	112380325	114899004	1411	0.2271
211b34f8-8871-4111-aa1f-a7f838409fa3	1	114899448	119940249	3187	0.297
211b34f8-8871-4111-aa1f-a7f838409fa3	1	119943127	152009352	885	0.2004
211b34f8-8871-4111-aa1f-a7f838409fa3	1	152009544	153444992	842	0.3102
211b34f8-8871-4111-aa1f-a7f838409fa3	1	153446179	161957073	4624	0.2342
211b34f8-8871-4111-aa1f-a7f838409fa3	1	161959375	165580772	2925	0.3049
211b34f8-8871-4111-aa1f-a7f838409fa3	1	165581100	175060411	6243	0.2639
211b34f8-8871-4111-aa1f-a7f838409fa3	1	175060796	179032550	2221	0.3216
211b34f8-8871-4111-aa1f-a7f838409fa3	1	179034034	179428118	363	0.1789
211b34f8-8871-4111-aa1f-a7f838409fa3	1	179430769	199873395	12287	0.2939
211b34f8-8871-4111-aa1f-a7f838409fa3	1	199873880	207415682	4761	0.2448
211b34f8-8871-4111-aa1f-a7f838409fa3	1	207418177	211356702	2882	0.3006
211b34f8-8871-4111-aa1f-a7f838409fa3	1	211359685	213369363	1189	0.2256
211b34f8-8871-4111-aa1f-a7f838409fa3	1	213369970	223670024	6870	0.3079
211b34f8-8871-4111-aa1f-a7f838409fa3	1	223670256	227871607	2417	0.238
211b34f8-8871-4111-aa1f-a7f838409fa3	1	227877095	227879052	2	-1.4079
211b34f8-8871-4111-aa1f-a7f838409fa3	1	227880408	230164999	1261	0.2455
211b34f8-8871-4111-aa1f-a7f838409fa3	1	230166065	235085097	3557	0.2887
211b34f8-8871-4111-aa1f-a7f838409fa3	1	235100678	235915030	377	0.1653
211b34f8-8871-4111-aa1f-a7f838409fa3	1	235916192	237803702	1485	0.2696
211b34f8-8871-4111-aa1f-a7f838409fa3	1	237808224	241411122	2781	0.3243
211b34f8-8871-4111-aa1f-a7f838409fa3	1	241413626	247650984	3200	0.2679
211b34f8-8871-4111-aa1f-a7f838409fa3	2	480597	2413614	512	0.2605
211b34f8-8871-4111-aa1f-a7f838409fa3	2	2413875	2420723	3	-0.9268
211b34f8-8871-4111-aa1f-a7f838409fa3	2	2422183	8447333	4357	0.2843
211b34f8-8871-4111-aa1f-a7f838409fa3	2	8448669	10891712	1664	0.228
211b34f8-8871-4111-aa1f-a7f838409fa3	2	10893454	23796767	8607	0.2874
211b34f8-8871-4111-aa1f-a7f838409fa3	2	23796923	28299817	2032	0.1978
211b34f8-8871-4111-aa1f-a7f838409fa3	2	28300967	41873232	7461	0.2739
211b34f8-8871-4111-aa1f-a7f838409fa3	2	41873398	48540037	4276	0.2371
211b34f8-8871-4111-aa1f-a7f838409fa3	2	48540119	60636878	6717	0.2835
211b34f8-8871-4111-aa1f-a7f838409fa3	2	60637137	62524484	895	0.1945
211b34f8-8871-4111-aa1f-a7f838409fa3	2	62526941	69354856	4112	0.2748
211b34f8-8871-4111-aa1f-a7f838409fa3	2	69355763	70005995	387	0.2034
211b34f8-8871-4111-aa1f-a7f838409fa3	2	70008901	70010966	4	-0.7356
211b34f8-8871-4111-aa1f-a7f838409fa3	2	70012601	75044041	2699	0.24
211b34f8-8871-4111-aa1f-a7f838409fa3	2	75044669	84633345	5181	0.2896
211b34f8-8871-4111-aa1f-a7f838409fa3	2	84634112	98112044	2397	0.212
211b34f8-8871-4111-aa1f-a7f838409fa3	2	98114352	98361291	182	0.2722
211b34f8-8871-4111-aa1f-a7f838409fa3	2	98372599	99129995	385	-0.5934
211b34f8-8871-4111-aa1f-a7f838409fa3	2	99152747	100657988	906	0.2353
211b34f8-8871-4111-aa1f-a7f838409fa3	2	100658271	129770465	15375	-0.5708
211b34f8-8871-4111-aa1f-a7f838409fa3	2	129772834	130873920	220	0.2237
211b34f8-8871-4111-aa1f-a7f838409fa3	2	130874668	133123961	751	-0.5503
211b34f8-8871-4111-aa1f-a7f838409fa3	2	133125819	133728551	307	0.295
211b34f8-8871-4111-aa1f-a7f838409fa3	2	133732353	134263501	435	-0.5932
211b34f8-8871-4111-aa1f-a7f838409fa3	2	134264757	135227531	568	0.2624
211b34f8-8871-4111-aa1f-a7f838409fa3	2	135238828	136460039	641	-0.5678
211b34f8-8871-4111-aa1f-a7f838409fa3	2	136463041	200731053	35770	0.2852
211b34f8-8871-4111-aa1f-a7f838409fa3	2	200731179	203768352	1356	0.2189
211b34f8-8871-4111-aa1f-a7f838409fa3	2	203768433	218087475	8942	0.2872
211b34f8-8871-4111-aa1f-a7f838409fa3	2	218088055	219610862	723	0.1968
211b34f8-8871-4111-aa1f-a7f838409fa3	2	219620649	230170151	6705	0.2917
211b34f8-8871-4111-aa1f-a7f838409fa3	2	230170533	234459176	2393	0.2246
211b34f8-8871-4111-aa1f-a7f838409fa3	2	234459925	237665428	2146	0.2781
211b34f8-8871-4111-aa1f-a7f838409fa3	2	237665783	241537572	2097	0.2243
211b34f8-8871-4111-aa1f-a7f838409fa3	3	2170634	10956977	5094	-0.5239
211b34f8-8871-4111-aa1f-a7f838409fa3	3	10957625	14944079	2659	-0.5995
211b34f8-8871-4111-aa1f-a7f838409fa3	3	14949082	197812401	98451	-0.5362
211b34f8-8871-4111-aa1f-a7f838409fa3	4	1059384	4332108	1242	0.2109
211b34f8-8871-4111-aa1f-a7f838409fa3	4	4332537	38839977	22222	0.2909
211b34f8-8871-4111-aa1f-a7f838409fa3	4	38840081	40903887	979	0.2065
211b34f8-8871-4111-aa1f-a7f838409fa3	4	40906122	53749234	4834	0.2944
211b34f8-8871-4111-aa1f-a7f838409fa3	4	53751523	57161942	2287	0.2412
211b34f8-8871-4111-aa1f-a7f838409fa3	4	57169186	118516202	34055	0.2986
211b34f8-8871-4111-aa1f-a7f838409fa3	4	118531880	118606176	27	0.1318
211b34f8-8871-4111-aa1f-a7f838409fa3	4	118606497	187842528	36945	-0.5353
211b34f8-8871-4111-aa1f-a7f838409fa3	5	913983	1379711	102	0.1902
211b34f8-8871-4111-aa1f-a7f838409fa3	5	1391046	67998976	36088	0.3081
211b34f8-8871-4111-aa1f-a7f838409fa3	5	67999079	82444556	7466	0.2749
211b34f8-8871-4111-aa1f-a7f838409fa3	5	82444701	130738327	26083	0.3151
211b34f8-8871-4111-aa1f-a7f838409fa3	5	130738526	135228998	2564	0.258
211b34f8-8871-4111-aa1f-a7f838409fa3	5	135230958	137813583	1813	0.3194
211b34f8-8871-4111-aa1f-a7f838409fa3	5	137815248	143629318	2983	0.2454
211b34f8-8871-4111-aa1f-a7f838409fa3	5	143629519	144267453	450	0.2953
211b34f8-8871-4111-aa1f-a7f838409fa3	5	144268307	148433450	2548	0.3432
211b34f8-8871-4111-aa1f-a7f838409fa3	5	148440362	175905543	18174	0.2991
211b34f8-8871-4111-aa1f-a7f838409fa3	5	175910383	180934240	2052	0.2285
211b34f8-8871-4111-aa1f-a7f838409fa3	6	1011760	14744035	9907	0.2802
211b34f8-8871-4111-aa1f-a7f838409fa3	6	14745175	18305196	2219	0.2303
211b34f8-8871-4111-aa1f-a7f838409fa3	6	18307412	24441616	4383	0.2876
211b34f8-8871-4111-aa1f-a7f838409fa3	6	24441760	39353591	6515	0.2264
211b34f8-8871-4111-aa1f-a7f838409fa3	6	39354098	41641482	1667	0.3023
211b34f8-8871-4111-aa1f-a7f838409fa3	6	41644846	44333469	1416	0.2083
211b34f8-8871-4111-aa1f-a7f838409fa3	6	44333605	104690912	31349	0.3028
211b34f8-8871-4111-aa1f-a7f838409fa3	6	104691306	111858435	4308	0.244
211b34f8-8871-4111-aa1f-a7f838409fa3	6	111858729	134507715	13226	0.3033
211b34f8-8871-4111-aa1f-a7f838409fa3	6	134511901	134580303	29	0.7549
211b34f8-8871-4111-aa1f-a7f838409fa3	6	134580804	134641165	41	0.3177
211b34f8-8871-4111-aa1f-a7f838409fa3	6	134641778	160351810	16262	0.2782
211b34f8-8871-4111-aa1f-a7f838409fa3	6	160351868	170596889	5082	0.3093
211b34f8-8871-4111-aa1f-a7f838409fa3	7	664936	7799746	2844	0.2321
211b34f8-8871-4111-aa1f-a7f838409fa3	7	7799814	7801792	2	-1.5308
211b34f8-8871-4111-aa1f-a7f838409fa3	7	7801930	7820405	18	0.3194
211b34f8-8871-4111-aa1f-a7f838409fa3	7	7820413	7820611	5	-0.3614
211b34f8-8871-4111-aa1f-a7f838409fa3	7	7820793	7841390	59	0.2632
211b34f8-8871-4111-aa1f-a7f838409fa3	7	7842257	55532206	29935	0.3048
211b34f8-8871-4111-aa1f-a7f838409fa3	7	55535058	72489794	4520	0.2646
211b34f8-8871-4111-aa1f-a7f838409fa3	7	72492806	76416723	934	0.179
211b34f8-8871-4111-aa1f-a7f838409fa3	7	76417007	98015259	11395	0.3228
211b34f8-8871-4111-aa1f-a7f838409fa3	7	98015811	103012462	1811	0.2079
211b34f8-8871-4111-aa1f-a7f838409fa3	7	103015022	105129294	1343	0.3146
211b34f8-8871-4111-aa1f-a7f838409fa3	7	105129939	106025812	499	0.2343
211b34f8-8871-4111-aa1f-a7f838409fa3	7	106025824	106144814	90	0.7951
211b34f8-8871-4111-aa1f-a7f838409fa3	7	106147152	108353673	1192	0.2884
211b34f8-8871-4111-aa1f-a7f838409fa3	7	108353855	127578161	10253	0.3169
211b34f8-8871-4111-aa1f-a7f838409fa3	7	127578847	131261276	1756	0.2347
211b34f8-8871-4111-aa1f-a7f838409fa3	7	131261876	138008002	4243	0.3087
211b34f8-8871-4111-aa1f-a7f838409fa3	7	138008142	141525152	2027	0.2446
211b34f8-8871-4111-aa1f-a7f838409fa3	7	141525908	148593144	3444	0.3147
211b34f8-8871-4111-aa1f-a7f838409fa3	7	148601802	152896083	1943	0.2419
211b34f8-8871-4111-aa1f-a7f838409fa3	7	152897290	152911221	14	-0.7223
211b34f8-8871-4111-aa1f-a7f838409fa3	7	152916278	158592540	3045	0.2833
211b34f8-8871-4111-aa1f-a7f838409fa3	8	667625	60926293	32961	-0.557
211b34f8-8871-4111-aa1f-a7f838409fa3	8	60926396	122562554	34959	-0.5296
211b34f8-8871-4111-aa1f-a7f838409fa3	8	122562578	144182542	13532	-0.5482
211b34f8-8871-4111-aa1f-a7f838409fa3	9	789794	33248770	20145	0.2867
211b34f8-8871-4111-aa1f-a7f838409fa3	9	33249555	35450635	1124	0.2093
211b34f8-8871-4111-aa1f-a7f838409fa3	9	35466067	35743281	133	0.7592
211b34f8-8871-4111-aa1f-a7f838409fa3	9	35751953	38124276	1457	0.2174
211b34f8-8871-4111-aa1f-a7f838409fa3	9	38128426	91526040	16564	0.2802
211b34f8-8871-4111-aa1f-a7f838409fa3	9	91526467	98081589	3806	0.2361
211b34f8-8871-4111-aa1f-a7f838409fa3	9	98081916	101995103	2578	0.2848
211b34f8-8871-4111-aa1f-a7f838409fa3	9	102227112	102228112	4	-1.1289
