GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	1	3301765	119801032	67847	-0.1957
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	1	119801421	161230697	6191	-0.162
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	1	161232683	236174926	48061	-0.1971
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	1	236176231	243295155	5194	-0.2324
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	1	243295200	247650984	2152	-0.1878
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	2	480597	241537572	131923	-0.1889
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	2170634	42509071	24233	-0.2072
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	42509159	53240586	5009	-0.1707
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	53240672	106587870	28767	-0.209
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	106590110	106606048	2	1.6899
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	106606298	112408270	3172	-0.206
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	112411455	112411742	2	-2.1684
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	112411772	125112685	7652	-0.203
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	125115166	125115873	2	-2.1019
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	125117164	139107050	7708	-0.2124
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	139117001	139117425	2	-2.2219
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	139118854	161384339	12008	-0.2027
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	161384931	161385073	2	-2.7324
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	3	161385196	197812401	18430	-0.2044
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	4	1059384	187740209	103214	-0.2109
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	4	187746438	187842528	61	0.5318
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	5	913983	1019699	50	0.5192
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	5	1020239	1287425	4	-0.3423
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	5	1287588	1300469	8	0.4613
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	5	1308437	1315228	6	-0.3877
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	5	1321758	180934240	100971	0.547
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	6	1011760	170596889	96936	-0.2081
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	7	664936	55603563	33122	0.5501
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	7	55607348	74373672	4920	0.4834
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	7	74377569	158592540	43865	0.5465
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	8	667625	4380721	1938	0.5338
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	8	4381190	4397503	20	-0.26
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	8	4399677	33268280	17900	0.5349
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	8	33276147	50530279	7069	0.5106
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	8	50530869	144182542	55236	0.5395
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	9	789794	113993052	54012	-0.2112
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	9	113995190	113996031	3	-2.6427
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	9	113998162	138044505	14310	-0.1928
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	10	366509	133411599	81088	-0.2111
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	11	456012	62603055	34082	-0.217
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	11	62603904	67501654	1553	-0.1409
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	11	67508998	134272740	41731	-0.2187
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	12	780472	111176932	62854	0.534
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	12	111178403	120354239	5704	0.502
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	12	120357041	131596656	5512	0.5285
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	12	131597059	131597710	4	-0.4321
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	12	131597785	132605822	240	0.5389
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	13	18874255	114226675	56866	-0.2125
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	14	20033191	105533894	49644	-0.2059
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	15	23437561	101344124	44695	-0.2025
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	16	603333	4390396	1312	0.584
5ac92f02-d9d6-4b89-bc87-764a0a9b1c10	16	4390470	85399678	37718	0.5252
