GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f71a8133-9597-4e81-819e-485b523ae635	1	3301765	4617475	896	0.2661
f71a8133-9597-4e81-819e-485b523ae635	1	4619503	4623036	7	-0.6172
f71a8133-9597-4e81-819e-485b523ae635	1	4625588	7188754	1604	0.2815
f71a8133-9597-4e81-819e-485b523ae635	1	7191300	10529779	1687	0.2164
f71a8133-9597-4e81-819e-485b523ae635	1	10531047	18469306	4215	0.2666
f71a8133-9597-4e81-819e-485b523ae635	1	18469888	28555478	5071	0.2196
f71a8133-9597-4e81-819e-485b523ae635	1	28560025	28709466	45	-0.0775
f71a8133-9597-4e81-819e-485b523ae635	1	28718611	28926692	87	0.195
f71a8133-9597-4e81-819e-485b523ae635	1	28935501	30662620	1170	0.2996
f71a8133-9597-4e81-819e-485b523ae635	1	30662823	33135589	1039	0.1879
f71a8133-9597-4e81-819e-485b523ae635	1	33139276	34974315	1233	0.2911
f71a8133-9597-4e81-819e-485b523ae635	1	34974504	36426693	609	0.2096
f71a8133-9597-4e81-819e-485b523ae635	1	36431576	37342256	630	0.3331
f71a8133-9597-4e81-819e-485b523ae635	1	37342282	38019303	274	0.1894
f71a8133-9597-4e81-819e-485b523ae635	1	38023346	38806600	529	0.3167
f71a8133-9597-4e81-819e-485b523ae635	1	38808453	64884952	15767	0.2144
f71a8133-9597-4e81-819e-485b523ae635	1	64885055	64944579	115	0.0203
f71a8133-9597-4e81-819e-485b523ae635	1	64944594	66242173	837	0.2469
f71a8133-9597-4e81-819e-485b523ae635	1	66246593	69345301	2098	0.162
f71a8133-9597-4e81-819e-485b523ae635	1	69355319	95107496	15326	0.2097
f71a8133-9597-4e81-819e-485b523ae635	1	95107509	95696727	400	0.312
f71a8133-9597-4e81-819e-485b523ae635	1	95699010	97240681	894	0.2061
f71a8133-9597-4e81-819e-485b523ae635	1	97242691	97725921	278	0.0503
f71a8133-9597-4e81-819e-485b523ae635	1	97728235	101462840	2282	0.2083
f71a8133-9597-4e81-819e-485b523ae635	1	101464346	105602287	1972	0.1457
f71a8133-9597-4e81-819e-485b523ae635	1	105602745	119984772	8818	-0.0917
f71a8133-9597-4e81-819e-485b523ae635	1	146716041	152046138	881	0.6706
f71a8133-9597-4e81-819e-485b523ae635	1	152053260	153473260	836	0.7783
f71a8133-9597-4e81-819e-485b523ae635	1	153473698	161425765	4418	0.6791
f71a8133-9597-4e81-819e-485b523ae635	1	161426316	161426352	2	-1.5177
f71a8133-9597-4e81-819e-485b523ae635	1	161426746	247650984	55275	0.6683
f71a8133-9597-4e81-819e-485b523ae635	2	480597	3617855	1281	-0.0653
f71a8133-9597-4e81-819e-485b523ae635	2	3618353	4304279	569	0.0295
f71a8133-9597-4e81-819e-485b523ae635	2	4304578	6653801	1806	-0.0727
f71a8133-9597-4e81-819e-485b523ae635	2	6654281	9611349	1960	-0.1368
f71a8133-9597-4e81-819e-485b523ae635	2	9615259	121711332	58534	-0.0797
f71a8133-9597-4e81-819e-485b523ae635	2	121715415	130814470	4359	-0.0389
f71a8133-9597-4e81-819e-485b523ae635	2	130815038	140310098	4669	-0.084
f71a8133-9597-4e81-819e-485b523ae635	2	140311281	140358021	40	-0.4789
f71a8133-9597-4e81-819e-485b523ae635	2	140362040	140768050	255	-0.1203
f71a8133-9597-4e81-819e-485b523ae635	2	140768643	140780189	6	-2.0632
f71a8133-9597-4e81-819e-485b523ae635	2	140785242	140979734	103	-0.9833
f71a8133-9597-4e81-819e-485b523ae635	2	140979827	141026194	46	-2.4227
f71a8133-9597-4e81-819e-485b523ae635	2	141032591	141470190	275	-0.3904
f71a8133-9597-4e81-819e-485b523ae635	2	141470248	142766122	884	0.2552
f71a8133-9597-4e81-819e-485b523ae635	2	142767893	143056787	185	0.0451
f71a8133-9597-4e81-819e-485b523ae635	2	143058772	148681539	2917	0.1835
f71a8133-9597-4e81-819e-485b523ae635	2	148684933	241537572	53725	0.2185
f71a8133-9597-4e81-819e-485b523ae635	3	2170634	37125506	20885	-0.0842
f71a8133-9597-4e81-819e-485b523ae635	3	37127794	57989247	11442	-0.4622
f71a8133-9597-4e81-819e-485b523ae635	3	57992220	57992829	3	-5.3505
f71a8133-9597-4e81-819e-485b523ae635	3	57993400	62128471	1913	-0.4812
f71a8133-9597-4e81-819e-485b523ae635	3	62128545	62128573	2	-2.8568
f71a8133-9597-4e81-819e-485b523ae635	3	62128754	68874628	4942	-0.4785
f71a8133-9597-4e81-819e-485b523ae635	3	68874908	73068684	2986	-0.5299
f71a8133-9597-4e81-819e-485b523ae635	3	73069406	76529530	1820	-0.4653
f71a8133-9597-4e81-819e-485b523ae635	3	76529996	76544781	15	-1.1807
f71a8133-9597-4e81-819e-485b523ae635	3	76545911	84928859	4434	-0.4531
f71a8133-9597-4e81-819e-485b523ae635	3	84936492	85281763	162	-0.9655
f71a8133-9597-4e81-819e-485b523ae635	3	85283395	94145163	2438	-0.4494
f71a8133-9597-4e81-819e-485b523ae635	3	94146284	100353488	3212	-0.0736
f71a8133-9597-4e81-819e-485b523ae635	3	100360163	129968972	16951	0.2168
f71a8133-9597-4e81-819e-485b523ae635	3	129969105	130628151	356	0.3319
f71a8133-9597-4e81-819e-485b523ae635	3	130635521	161499430	16838	0.217
f71a8133-9597-4e81-819e-485b523ae635	3	161499909	161500033	2	-1.6937
f71a8133-9597-4e81-819e-485b523ae635	3	161506750	174841621	6483	0.2323
f71a8133-9597-4e81-819e-485b523ae635	3	174841853	176041258	409	-0.0679
f71a8133-9597-4e81-819e-485b523ae635	3	176041982	197812401	11412	0.2168
f71a8133-9597-4e81-819e-485b523ae635	4	1059384	1587793	148	-0.0634
f71a8133-9597-4e81-819e-485b523ae635	4	1617307	1885344	116	0.2479
f71a8133-9597-4e81-819e-485b523ae635	4	1889977	13610631	7011	-0.0641
f71a8133-9597-4e81-819e-485b523ae635	4	13610960	13682119	54	-0.4731
f71a8133-9597-4e81-819e-485b523ae635	4	13682340	107489910	52221	-0.0841
f71a8133-9597-4e81-819e-485b523ae635	4	107490602	120562916	7531	0.4709
f71a8133-9597-4e81-819e-485b523ae635	4	120565895	125617490	2821	0.6633
f71a8133-9597-4e81-819e-485b523ae635	4	125618853	125753304	77	-0.4563
f71a8133-9597-4e81-819e-485b523ae635	4	125761224	127793358	1050	0.67
f71a8133-9597-4e81-819e-485b523ae635	4	127794454	139561064	5861	-0.4641
f71a8133-9597-4e81-819e-485b523ae635	4	139568937	155950550	9255	-0.5134
f71a8133-9597-4e81-819e-485b523ae635	4	155950618	172271383	9079	-0.4726
f71a8133-9597-4e81-819e-485b523ae635	4	172272619	172619960	85	-0.9553
f71a8133-9597-4e81-819e-485b523ae635	4	172620334	187677074	7596	-0.4865
f71a8133-9597-4e81-819e-485b523ae635	4	187677568	187717436	23	-1.0221
f71a8133-9597-4e81-819e-485b523ae635	4	187717556	187842528	78	-0.4014
f71a8133-9597-4e81-819e-485b523ae635	5	913983	1373378	90	0.2422
f71a8133-9597-4e81-819e-485b523ae635	5	1374429	3140891	1074	0.3386
f71a8133-9597-4e81-819e-485b523ae635	5	3142047	9630922	5187	0.2388
f71a8133-9597-4e81-819e-485b523ae635	5	9631823	10146883	430	0.3626
f71a8133-9597-4e81-819e-485b523ae635	5	10147646	17955947	4221	0.2304
f71a8133-9597-4e81-819e-485b523ae635	5	17956881	17960987	3	-1.6016
f71a8133-9597-4e81-819e-485b523ae635	5	17993315	45378354	15014	0.2304
f71a8133-9597-4e81-819e-485b523ae635	5	45383300	59035614	5206	-0.0928
f71a8133-9597-4e81-819e-485b523ae635	5	59035665	59382836	259	-0.2378
f71a8133-9597-4e81-819e-485b523ae635	5	59383081	59565211	143	-0.1174
f71a8133-9597-4e81-819e-485b523ae635	5	59566513	59845678	188	-0.5622
f71a8133-9597-4e81-819e-485b523ae635	5	59848072	90640635	16287	-0.0833
f71a8133-9597-4e81-819e-485b523ae635	5	90641343	90679385	31	-1.0392
f71a8133-9597-4e81-819e-485b523ae635	5	90679631	119978907	15710	-0.0846
f71a8133-9597-4e81-819e-485b523ae635	5	119981837	120050493	42	-0.516
f71a8133-9597-4e81-819e-485b523ae635	5	120052964	149567263	17297	-0.0808
f71a8133-9597-4e81-819e-485b523ae635	5	149568884	154973452	3546	0.5002
f71a8133-9597-4e81-819e-485b523ae635	5	154973859	155457499	351	0.6232
f71a8133-9597-4e81-819e-485b523ae635	5	155461561	156848567	906	0.5201
f71a8133-9597-4e81-819e-485b523ae635	5	156853785	157151670	175	0.336
f71a8133-9597-4e81-819e-485b523ae635	5	157152769	171381130	9403	0.4635
f71a8133-9597-4e81-819e-485b523ae635	5	171385510	171416673	19	0.2077
f71a8133-9597-4e81-819e-485b523ae635	5	171417218	179929329	4640	0.5031
f71a8133-9597-4e81-819e-485b523ae635	5	179929352	180153252	140	0.3027
f71a8133-9597-4e81-819e-485b523ae635	5	180153290	180934240	319	0.5018
f71a8133-9597-4e81-819e-485b523ae635	6	1011760	14202903	9485	0.2175
f71a8133-9597-4e81-819e-485b523ae635	6	14203271	16920900	1875	0.167
f71a8133-9597-4e81-819e-485b523ae635	6	16920916	25959127	6087	0.2172
f71a8133-9597-4e81-819e-485b523ae635	6	25959419	26245660	151	0.0037
f71a8133-9597-4e81-819e-485b523ae635	6	26246436	30211645	1335	0.1774
f71a8133-9597-4e81-819e-485b523ae635	6	30216437	54316163	13350	0.2274
f71a8133-9597-4e81-819e-485b523ae635	6	54316298	54316513	2	-1.6946
f71a8133-9597-4e81-819e-485b523ae635	6	54317084	61992183	1899	0.228
f71a8133-9597-4e81-819e-485b523ae635	6	61992252	63413672	686	0.3117
f71a8133-9597-4e81-819e-485b523ae635	6	63415580	63459672	26	-0.0825
f71a8133-9597-4e81-819e-485b523ae635	6	63461426	64785427	642	0.3051
f71a8133-9597-4e81-819e-485b523ae635	6	64786896	98500248	18545	0.2323
f71a8133-9597-4e81-819e-485b523ae635	6	98500538	147937128	29245	0.21
f71a8133-9597-4e81-819e-485b523ae635	6	147939454	148040368	134	-0.1011
f71a8133-9597-4e81-819e-485b523ae635	6	148041780	161432304	8955	0.208
f71a8133-9597-4e81-819e-485b523ae635	6	161433303	161653031	209	-0.1026
f71a8133-9597-4e81-819e-485b523ae635	6	161653869	164234337	1362	0.1995
f71a8133-9597-4e81-819e-485b523ae635	6	164234598	169398768	2332	0.2671
f71a8133-9597-4e81-819e-485b523ae635	6	169398842	170596889	480	0.177
f71a8133-9597-4e81-819e-485b523ae635	7	664936	1846697	274	-0.374
f71a8133-9597-4e81-819e-485b523ae635	7	1846810	16587372	7862	-0.4522
f71a8133-9597-4e81-819e-485b523ae635	7	16592609	30634400	8455	-0.496
f71a8133-9597-4e81-819e-485b523ae635	7	30636984	34938086	2800	-0.4377
f71a8133-9597-4e81-819e-485b523ae635	7	34938473	51750913	10806	-0.4769
f71a8133-9597-4e81-819e-485b523ae635	7	51753553	54689730	1971	-0.4326
f71a8133-9597-4e81-819e-485b523ae635	7	54695371	54729789	32	-0.3609
f71a8133-9597-4e81-819e-485b523ae635	7	54732728	54824554	75	-0.0887
f71a8133-9597-4e81-819e-485b523ae635	7	54828307	57864241	1117	-0.3653
f71a8133-9597-4e81-819e-485b523ae635	7	57876479	92774103	13287	0.269
f71a8133-9597-4e81-819e-485b523ae635	7	92774262	92774279	2	-1.5136
f71a8133-9597-4e81-819e-485b523ae635	7	92774670	99239355	3634	0.2858
f71a8133-9597-4e81-819e-485b523ae635	7	99247349	99321716	46	0.8858
f71a8133-9597-4e81-819e-485b523ae635	7	99322173	99515882	58	0.6161
f71a8133-9597-4e81-819e-485b523ae635	7	99517366	110836045	5837	0.2772
f71a8133-9597-4e81-819e-485b523ae635	7	110844648	111128539	161	-0.0566
f71a8133-9597-4e81-819e-485b523ae635	7	111129024	111908974	127	0.2303
f71a8133-9597-4e81-819e-485b523ae635	7	111909614	112280088	271	-0.4445
f71a8133-9597-4e81-819e-485b523ae635	7	112282812	129589785	9132	0.2498
f71a8133-9597-4e81-819e-485b523ae635	7	129592121	129715529	56	0.8204
f71a8133-9597-4e81-819e-485b523ae635	7	129716895	138236149	5214	0.2656
f71a8133-9597-4e81-819e-485b523ae635	7	138236934	138245366	6	-0.6684
f71a8133-9597-4e81-819e-485b523ae635	7	138245842	139980478	911	0.3018
f71a8133-9597-4e81-819e-485b523ae635	7	139984023	145229879	2392	0.7058
f71a8133-9597-4e81-819e-485b523ae635	7	145231445	158592540	7058	0.3029
f71a8133-9597-4e81-819e-485b523ae635	8	667625	1486163	309	-0.3865
f71a8133-9597-4e81-819e-485b523ae635	8	1486912	1685923	164	-0.0224
f71a8133-9597-4e81-819e-485b523ae635	8	1688943	3824501	1114	-0.4421
f71a8133-9597-4e81-819e-485b523ae635	8	3826032	5332287	958	-0.9967
f71a8133-9597-4e81-819e-485b523ae635	8	5334321	8493308	732	-0.5128
f71a8133-9597-4e81-819e-485b523ae635	8	8494167	8793429	262	-0.0769
f71a8133-9597-4e81-819e-485b523ae635	8	8797513	13595364	2407	0.2299
f71a8133-9597-4e81-819e-485b523ae635	8	13596359	13833657	54	-0.027
f71a8133-9597-4e81-819e-485b523ae635	8	13833713	17339064	2557	-0.4165
f71a8133-9597-4e81-819e-485b523ae635	8	17339501	17501372	82	0.012
f71a8133-9597-4e81-819e-485b523ae635	8	17501662	17546598	62	-0.2761
f71a8133-9597-4e81-819e-485b523ae635	8	17546858	17911684	392	-0.0657
f71a8133-9597-4e81-819e-485b523ae635	8	17914361	20595138	2192	-0.4608
f71a8133-9597-4e81-819e-485b523ae635	8	20595549	20938233	297	-0.0718
f71a8133-9597-4e81-819e-485b523ae635	8	20938525	24252394	2026	-0.4379
f71a8133-9597-4e81-819e-485b523ae635	8	24265726	24535890	186	-0.0676
f71a8133-9597-4e81-819e-485b523ae635	8	24535944	28857360	3119	-0.455
f71a8133-9597-4e81-819e-485b523ae635	8	28858290	31506806	1541	-1.0065
f71a8133-9597-4e81-819e-485b523ae635	8	31512227	33564989	1430	-0.4253
f71a8133-9597-4e81-819e-485b523ae635	8	33565014	35808961	1121	-0.9471
f71a8133-9597-4e81-819e-485b523ae635	8	35810980	36374898	264	-0.4166
f71a8133-9597-4e81-819e-485b523ae635	8	36378052	38525419	1027	-0.0779
f71a8133-9597-4e81-819e-485b523ae635	8	38527871	39918326	598	0.2705
f71a8133-9597-4e81-819e-485b523ae635	8	39927147	41659396	1208	-0.0724
f71a8133-9597-4e81-819e-485b523ae635	8	41661730	43080575	823	-0.48
f71a8133-9597-4e81-819e-485b523ae635	8	46547532	87210852	22929	0.4672
f71a8133-9597-4e81-819e-485b523ae635	8	87211650	87357981	74	1.0453
f71a8133-9597-4e81-819e-485b523ae635	8	87360626	89671195	1354	0.4939
f71a8133-9597-4e81-819e-485b523ae635	8	89674184	89981669	151	-0.1202
f71a8133-9597-4e81-819e-485b523ae635	8	89982393	90071069	59	0.489
f71a8133-9597-4e81-819e-485b523ae635	8	90071946	90159769	45	0.2707
f71a8133-9597-4e81-819e-485b523ae635	8	90160587	90160753	3	-1.2021
f71a8133-9597-4e81-819e-485b523ae635	8	90163646	90175504	32	0.2785
f71a8133-9597-4e81-819e-485b523ae635	8	90175627	90177170	12	-0.1196
f71a8133-9597-4e81-819e-485b523ae635	8	90177288	103456968	7790	0.4557
f71a8133-9597-4e81-819e-485b523ae635	8	103465727	103570260	42	1.0118
f71a8133-9597-4e81-819e-485b523ae635	8	103573565	127755945	14455	0.4561
f71a8133-9597-4e81-819e-485b523ae635	8	127755964	128283456	401	-0.1298
f71a8133-9597-4e81-819e-485b523ae635	8	128286991	133470944	3638	0.4676
f71a8133-9597-4e81-819e-485b523ae635	8	133471075	134125708	575	0.5498
f71a8133-9597-4e81-819e-485b523ae635	8	134126548	137166199	2118	0.4301
f71a8133-9597-4e81-819e-485b523ae635	8	137166345	144182542	3259	0.5013
f71a8133-9597-4e81-819e-485b523ae635	9	789794	9415021	5294	-0.4863
f71a8133-9597-4e81-819e-485b523ae635	9	9416161	9666083	179	-0.9657
f71a8133-9597-4e81-819e-485b523ae635	9	9666565	21932526	8078	-0.4597
f71a8133-9597-4e81-819e-485b523ae635	9	21933126	21959052	19	-1.7135
f71a8133-9597-4e81-819e-485b523ae635	9	21963431	33318764	6685	-0.4501
f71a8133-9597-4e81-819e-485b523ae635	9	33319357	33549253	103	0.1571
f71a8133-9597-4e81-819e-485b523ae635	9	33552883	38752071	3081	-0.4528
f71a8133-9597-4e81-819e-485b523ae635	9	68423153	83026266	10132	0.2177
f71a8133-9597-4e81-819e-485b523ae635	9	83033774	83049500	13	-0.4942
f71a8133-9597-4e81-819e-485b523ae635	9	83049644	87637477	3286	0.2457
f71a8133-9597-4e81-819e-485b523ae635	9	87638138	88734055	676	0.1422
f71a8133-9597-4e81-819e-485b523ae635	9	88734138	94790908	3748	0.2416
f71a8133-9597-4e81-819e-485b523ae635	9	94794308	95105293	210	0.0555
f71a8133-9597-4e81-819e-485b523ae635	9	95106063	101031965	3751	0.2218
f71a8133-9597-4e81-819e-485b523ae635	9	101034767	101202906	129	0.6941
f71a8133-9597-4e81-819e-485b523ae635	9	101206359	118740400	11927	0.2275
f71a8133-9597-4e81-819e-485b523ae635	9	118740413	120390282	1397	0.2885
f71a8133-9597-4e81-819e-485b523ae635	9	120394313	130894849	6061	0.2314
f71a8133-9597-4e81-819e-485b523ae635	9	130899385	138044505	3399	0.289
f71a8133-9597-4e81-819e-485b523ae635	10	366509	2304697	1031	0.2906
f71a8133-9597-4e81-819e-485b523ae635	10	2305049	30543292	20243	0.2242
f71a8133-9597-4e81-819e-485b523ae635	10	30544481	30721921	156	0.6689
f71a8133-9597-4e81-819e-485b523ae635	10	30722623	42834999	4936	0.2149
f71a8133-9597-4e81-819e-485b523ae635	10	42836796	44515488	1252	0.283
f71a8133-9597-4e81-819e-485b523ae635	10	44515710	51610687	2685	0.2035
f71a8133-9597-4e81-819e-485b523ae635	10	51610962	102016088	30445	-0.0768
f71a8133-9597-4e81-819e-485b523ae635	10	102023600	102107420	24	0.3423
f71a8133-9597-4e81-819e-485b523ae635	10	102108204	106160763	2365	0.4811
f71a8133-9597-4e81-819e-485b523ae635	10	106161052	108591704	1698	0.6635
f71a8133-9597-4e81-819e-485b523ae635	10	108591777	109866638	723	0.7565
f71a8133-9597-4e81-819e-485b523ae635	10	109868880	111177142	837	0.6496
f71a8133-9597-4e81-819e-485b523ae635	10	111177217	112155402	754	0.7648
f71a8133-9597-4e81-819e-485b523ae635	10	112158474	123642621	8275	0.6877
f71a8133-9597-4e81-819e-485b523ae635	10	123642945	124370335	413	0.7966
f71a8133-9597-4e81-819e-485b523ae635	10	124370428	125529717	692	0.7193
f71a8133-9597-4e81-819e-485b523ae635	10	125530164	130327854	3712	0.6679
f71a8133-9597-4e81-819e-485b523ae635	10	130327931	133411599	744	0.7428
f71a8133-9597-4e81-819e-485b523ae635	11	456012	8247353	4097	-0.4465
f71a8133-9597-4e81-819e-485b523ae635	11	8247402	8247540	2	-3.3589
f71a8133-9597-4e81-819e-485b523ae635	11	8248129	27794619	13525	-0.4542
f71a8133-9597-4e81-819e-485b523ae635	11	27794973	28176912	194	-0.9443
f71a8133-9597-4e81-819e-485b523ae635	11	28179438	64491821	16959	-0.4475
f71a8133-9597-4e81-819e-485b523ae635	11	64493630	64828200	129	0.0202
f71a8133-9597-4e81-819e-485b523ae635	11	65902628	67529387	613	0.2453
f71a8133-9597-4e81-819e-485b523ae635	11	68003122	68216822	102	-0.0464
f71a8133-9597-4e81-819e-485b523ae635	11	68221697	71216767	1576	-0.4474
f71a8133-9597-4e81-819e-485b523ae635	11	71219287	71222582	3	-1.9411
f71a8133-9597-4e81-819e-485b523ae635	11	71222922	77642057	3293	-0.4573
f71a8133-9597-4e81-819e-485b523ae635	11	77646490	77994490	161	0.5264
f71a8133-9597-4e81-819e-485b523ae635	11	77997507	78176011	105	0.2121
f71a8133-9597-4e81-819e-485b523ae635	11	78176685	82016203	2754	-0.4382
f71a8133-9597-4e81-819e-485b523ae635	11	82016255	82658565	347	0.2967
f71a8133-9597-4e81-819e-485b523ae635	11	82663706	84617427	1108	-0.4403
f71a8133-9597-4e81-819e-485b523ae635	11	84620991	84661856	30	-0.9974
f71a8133-9597-4e81-819e-485b523ae635	11	84662477	96451035	7071	-0.4707
f71a8133-9597-4e81-819e-485b523ae635	11	96451546	103379722	4611	-0.4146
f71a8133-9597-4e81-819e-485b523ae635	11	103379776	128325765	16512	-0.4673
f71a8133-9597-4e81-819e-485b523ae635	11	128326677	128573938	345	-0.6374
f71a8133-9597-4e81-819e-485b523ae635	11	128574116	134272740	3561	-0.4506
f71a8133-9597-4e81-819e-485b523ae635	12	780472	21927227	12195	-0.0631
f71a8133-9597-4e81-819e-485b523ae635	12	21927834	22023092	62	0.6694
f71a8133-9597-4e81-819e-485b523ae635	12	22030052	50272264	13545	-0.0911
f71a8133-9597-4e81-819e-485b523ae635	12	50275752	50446988	72	0.6049
f71a8133-9597-4e81-819e-485b523ae635	12	50456157	68188616	10333	-0.0701
f71a8133-9597-4e81-819e-485b523ae635	12	68192247	68291758	106	0.6686
f71a8133-9597-4e81-819e-485b523ae635	12	68293070	81026913	7779	-0.0758
f71a8133-9597-4e81-819e-485b523ae635	12	81029973	81031607	4	-2.2109
f71a8133-9597-4e81-819e-485b523ae635	12	81036185	88495601	4129	-0.0666
f71a8133-9597-4e81-819e-485b523ae635	12	88495692	94845815	4079	-0.1065
f71a8133-9597-4e81-819e-485b523ae635	12	94847006	94847481	2	-1.837
f71a8133-9597-4e81-819e-485b523ae635	12	94848684	107081188	8040	-0.0886
f71a8133-9597-4e81-819e-485b523ae635	12	107081385	132605822	13655	-0.0555
f71a8133-9597-4e81-819e-485b523ae635	13	18874255	20591186	527	-0.4023
f71a8133-9597-4e81-819e-485b523ae635	13	20594354	26881340	3738	-1.006
f71a8133-9597-4e81-819e-485b523ae635	13	26882617	26882631	2	-6.4221
f71a8133-9597-4e81-819e-485b523ae635	13	26883239	35377351	5783	-1.0076
f71a8133-9597-4e81-819e-485b523ae635	13	35383968	39381317	2800	-0.4603
f71a8133-9597-4e81-819e-485b523ae635	13	39381953	39568143	183	-1.0344
f71a8133-9597-4e81-819e-485b523ae635	13	39571000	114226675	43509	-0.46
f71a8133-9597-4e81-819e-485b523ae635	14	20033191	20296426	153	-0.3566
f71a8133-9597-4e81-819e-485b523ae635	14	20296525	20427373	104	-0.6292
f71a8133-9597-4e81-819e-485b523ae635	14	20427487	20430188	3	-2.9596
f71a8133-9597-4e81-819e-485b523ae635	14	20430283	30810476	5103	-0.4276
f71a8133-9597-4e81-819e-485b523ae635	14	30811759	32331549	795	0.4868
f71a8133-9597-4e81-819e-485b523ae635	14	32332384	37248588	3319	-0.455
f71a8133-9597-4e81-819e-485b523ae635	14	37257566	49547874	5660	-0.4077
f71a8133-9597-4e81-819e-485b523ae635	14	49549470	57579304	5245	-0.4711
f71a8133-9597-4e81-819e-485b523ae635	14	57581171	58716855	668	-0.0647
f71a8133-9597-4e81-819e-485b523ae635	14	58717818	58718425	3	-1.7481
f71a8133-9597-4e81-819e-485b523ae635	14	58721380	59081216	295	-0.0947
f71a8133-9597-4e81-819e-485b523ae635	14	59081551	59082062	2	-1.6565
f71a8133-9597-4e81-819e-485b523ae635	14	59084496	63039539	2399	-0.0707
f71a8133-9597-4e81-819e-485b523ae635	14	63042062	65713080	1590	0.6605
f71a8133-9597-4e81-819e-485b523ae635	14	65719056	82651516	10427	-0.0676
f71a8133-9597-4e81-819e-485b523ae635	14	82655007	82655936	6	-1.6294
f71a8133-9597-4e81-819e-485b523ae635	14	82664163	105533894	13729	-0.0665
f71a8133-9597-4e81-819e-485b523ae635	15	23437561	45714603	10833	-0.0701
f71a8133-9597-4e81-819e-485b523ae635	15	45717081	47182626	953	0.0105
f71a8133-9597-4e81-819e-485b523ae635	15	47182685	74452035	17350	-0.0729
f71a8133-9597-4e81-819e-485b523ae635	15	74453543	74722123	104	0.2729
f71a8133-9597-4e81-819e-485b523ae635	15	74722898	85898844	5623	-0.0686
f71a8133-9597-4e81-819e-485b523ae635	15	85904297	88174878	1663	-0.0012
f71a8133-9597-4e81-819e-485b523ae635	15	88175011	91095729	1643	-0.0621
f71a8133-9597-4e81-819e-485b523ae635	15	91099041	93489370	1688	0.0226
f71a8133-9597-4e81-819e-485b523ae635	15	93728475	101344124	4722	-0.069
f71a8133-9597-4e81-819e-485b523ae635	16	603333	4828888	1528	-0.0427
f71a8133-9597-4e81-819e-485b523ae635	16	4833596	10225326	3587	0.0079
f71a8133-9597-4e81-819e-485b523ae635	16	10227145	54444318	14029	-0.0573
f71a8133-9597-4e81-819e-485b523ae635	16	54444471	54444961	2	-1.9558
f71a8133-9597-4e81-819e-485b523ae635	16	54445311	59216534	3138	-0.0513
f71a8133-9597-4e81-819e-485b523ae635	16	59217384	59577456	256	0.3139
