GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
07723492-863e-44a2-9b69-6385e30671c9	1	3301765	23602979	11425	0.1357
07723492-863e-44a2-9b69-6385e30671c9	1	23606067	45018113	11006	-0.8393
07723492-863e-44a2-9b69-6385e30671c9	1	45023602	45212146	84	-3.6538
07723492-863e-44a2-9b69-6385e30671c9	1	45216114	53553800	4116	-0.7938
07723492-863e-44a2-9b69-6385e30671c9	1	53553995	53560571	3	-4.6235
07723492-863e-44a2-9b69-6385e30671c9	1	53561879	56170134	1729	-0.8121
07723492-863e-44a2-9b69-6385e30671c9	1	56170583	56170722	2	-3.9619
07723492-863e-44a2-9b69-6385e30671c9	1	56170733	88160195	20478	-0.7916
07723492-863e-44a2-9b69-6385e30671c9	1	88164091	88166705	7	-3.7291
07723492-863e-44a2-9b69-6385e30671c9	1	88166738	118508277	17851	-0.8018
07723492-863e-44a2-9b69-6385e30671c9	1	118510964	119933053	859	0.7468
07723492-863e-44a2-9b69-6385e30671c9	1	119934039	151633929	675	0.5993
07723492-863e-44a2-9b69-6385e30671c9	1	151636247	153343668	1040	0.7342
07723492-863e-44a2-9b69-6385e30671c9	1	153345247	156478149	1381	0.6342
07723492-863e-44a2-9b69-6385e30671c9	1	156489907	165680614	6320	0.7272
07723492-863e-44a2-9b69-6385e30671c9	1	165681916	200010781	21090	-0.7912
07723492-863e-44a2-9b69-6385e30671c9	1	200012976	204460673	2893	-0.8621
07723492-863e-44a2-9b69-6385e30671c9	1	204461235	206491719	1178	-0.8023
07723492-863e-44a2-9b69-6385e30671c9	1	206491914	206496625	4	-3.7854
07723492-863e-44a2-9b69-6385e30671c9	1	206500262	225700987	12661	-0.8052
07723492-863e-44a2-9b69-6385e30671c9	1	225705613	226425248	340	0.1068
07723492-863e-44a2-9b69-6385e30671c9	1	226425532	226425698	2	-1.2356
07723492-863e-44a2-9b69-6385e30671c9	1	226428251	231761212	3213	0.1662
07723492-863e-44a2-9b69-6385e30671c9	1	231827591	232149461	270	-0.7803
07723492-863e-44a2-9b69-6385e30671c9	1	232149492	232155082	3	-4.1408
