GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	3301765	10344188	4101	-0.0146
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	10344362	16063907	3007	0.1778
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	16071582	16169275	43	0.5581
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	16169351	21514870	3040	0.2633
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	21516294	21605919	49	0.5126
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	21606599	26712799	2504	0.1777
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	26714981	32392679	2705	-0.2231
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	32397196	32506498	41	0.1743
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	32507670	44032697	6367	-0.2156
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	44036491	44037237	2	-2.7375
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	44037956	54678427	5380	-0.2128
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	54679597	90961903	23232	0.1769
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	90963478	104637467	7801	0.2686
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	1	104637751	247650984	70176	0.1727
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	2	480597	23909397	15100	-0.0555
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	2	23909831	64886019	22367	-0.035
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	2	64886847	64886933	2	-2.3395
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	2	64892875	77991916	7782	-0.0305
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	2	77992205	241537572	85429	-0.0576
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	2170634	24101119	12570	0.0446
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	24101727	24101810	2	-2.377
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	24102006	61112491	20760	0.0515
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	61114376	61204491	96	-0.2417
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	61204508	66761657	4167	0.0704
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	66763474	77260807	6604	0.0337
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	77260829	114370806	17526	0.0645
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	114372195	114538451	103	-0.2355
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	3	114539021	197812401	44212	0.0602
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	4	1059384	2886714	656	-0.0091
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	4	2887944	14467293	7279	-0.0458
2a6bd14e-359d-4edb-b404-d0f85d6a0e1c	4	14468479	14468703	3	-1.6816
