GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c00b53a9-bb48-4841-974d-7087eacd5420	1	3301765	6143454	1968	0.2389
c00b53a9-bb48-4841-974d-7087eacd5420	1	6144162	6916308	354	0.1144
c00b53a9-bb48-4841-974d-7087eacd5420	1	6916945	7892143	651	0.1952
c00b53a9-bb48-4841-974d-7087eacd5420	1	7892344	9784716	883	0.0975
c00b53a9-bb48-4841-974d-7087eacd5420	1	9789250	9798497	5	-0.8507
c00b53a9-bb48-4841-974d-7087eacd5420	1	9801551	12759180	1490	0.1388
c00b53a9-bb48-4841-974d-7087eacd5420	1	12761142	15151570	1334	0.2446
c00b53a9-bb48-4841-974d-7087eacd5420	1	15152313	17599047	1015	0.1097
c00b53a9-bb48-4841-974d-7087eacd5420	1	17601219	19007089	1059	0.2265
c00b53a9-bb48-4841-974d-7087eacd5420	1	19007805	19846770	549	0.0888
c00b53a9-bb48-4841-974d-7087eacd5420	1	19847365	19848619	2	-2.2446
c00b53a9-bb48-4841-974d-7087eacd5420	1	19848752	29365890	4486	0.1197
c00b53a9-bb48-4841-974d-7087eacd5420	1	29366567	30631546	957	0.2728
c00b53a9-bb48-4841-974d-7087eacd5420	1	30632911	33494462	1241	0.1072
c00b53a9-bb48-4841-974d-7087eacd5420	1	33500479	34952757	1038	0.2284
c00b53a9-bb48-4841-974d-7087eacd5420	1	34958969	36433909	618	0.1084
c00b53a9-bb48-4841-974d-7087eacd5420	1	36438592	37342910	629	0.2402
c00b53a9-bb48-4841-974d-7087eacd5420	1	37342993	38131104	325	0.1254
c00b53a9-bb48-4841-974d-7087eacd5420	1	38131187	38797978	470	0.2311
c00b53a9-bb48-4841-974d-7087eacd5420	1	38799477	48981413	5560	0.1431
c00b53a9-bb48-4841-974d-7087eacd5420	1	48983071	50772510	757	0.2197
c00b53a9-bb48-4841-974d-7087eacd5420	1	50915188	51022040	46	-0.5707
c00b53a9-bb48-4841-974d-7087eacd5420	1	51023178	52474306	601	0.1139
c00b53a9-bb48-4841-974d-7087eacd5420	1	52478850	52482245	2	-1.5597
c00b53a9-bb48-4841-974d-7087eacd5420	1	52482916	56683237	2834	0.1409
c00b53a9-bb48-4841-974d-7087eacd5420	1	56683824	58634197	1646	0.2159
c00b53a9-bb48-4841-974d-7087eacd5420	1	58634434	61785492	2139	0.1634
c00b53a9-bb48-4841-974d-7087eacd5420	1	61787434	61787890	2	-1.8874
c00b53a9-bb48-4841-974d-7087eacd5420	1	61788319	66209320	3105	0.1495
c00b53a9-bb48-4841-974d-7087eacd5420	1	66209403	70993290	3002	-0.2164
c00b53a9-bb48-4841-974d-7087eacd5420	1	71002810	77524423	3740	0.1778
c00b53a9-bb48-4841-974d-7087eacd5420	1	77527633	93696589	9693	0.1469
c00b53a9-bb48-4841-974d-7087eacd5420	1	93697399	95277924	1115	0.1704
c00b53a9-bb48-4841-974d-7087eacd5420	1	95278039	96331095	682	0.2621
c00b53a9-bb48-4841-974d-7087eacd5420	1	96333479	119943127	13848	0.1787
c00b53a9-bb48-4841-974d-7087eacd5420	1	119943268	151988377	877	0.0182
c00b53a9-bb48-4841-974d-7087eacd5420	1	151989169	153510413	898	0.1366
c00b53a9-bb48-4841-974d-7087eacd5420	1	153510467	156907085	1509	0.0357
c00b53a9-bb48-4841-974d-7087eacd5420	1	156907300	159655868	1814	0.159
c00b53a9-bb48-4841-974d-7087eacd5420	1	159655876	164904486	3528	0.0863
c00b53a9-bb48-4841-974d-7087eacd5420	1	164906058	165635972	711	0.1984
c00b53a9-bb48-4841-974d-7087eacd5420	1	165638403	165919403	217	0.0729
c00b53a9-bb48-4841-974d-7087eacd5420	1	165920331	166570002	431	0.1991
c00b53a9-bb48-4841-974d-7087eacd5420	1	166570280	247364781	51251	0.0897
c00b53a9-bb48-4841-974d-7087eacd5420	1	247369699	247650984	180	0.2032
c00b53a9-bb48-4841-974d-7087eacd5420	2	480597	484222	2	-0.9197
c00b53a9-bb48-4841-974d-7087eacd5420	2	489055	6648629	3655	-0.0815
c00b53a9-bb48-4841-974d-7087eacd5420	2	6650751	13850880	4849	-0.1474
c00b53a9-bb48-4841-974d-7087eacd5420	2	13857372	15340317	983	-0.0988
