GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
55359604-76a7-43a3-b621-09ca64d547d2	1	3301765	14908398	6481	-0.4431
55359604-76a7-43a3-b621-09ca64d547d2	1	14911366	14911559	2	-2.3464
55359604-76a7-43a3-b621-09ca64d547d2	1	14912258	30171827	7881	-0.4389
55359604-76a7-43a3-b621-09ca64d547d2	1	30177377	30182365	3	-2.6945
55359604-76a7-43a3-b621-09ca64d547d2	1	30182680	46542315	8654	-0.4103
55359604-76a7-43a3-b621-09ca64d547d2	1	46545268	155380519	47160	-0.3759
55359604-76a7-43a3-b621-09ca64d547d2	1	155385834	155386843	2	-2.4707
55359604-76a7-43a3-b621-09ca64d547d2	1	155388703	156899255	651	-0.3824
55359604-76a7-43a3-b621-09ca64d547d2	1	156899922	187408877	19924	-0.3121
55359604-76a7-43a3-b621-09ca64d547d2	1	187411591	187411980	3	-2.1238
55359604-76a7-43a3-b621-09ca64d547d2	1	187412773	217194746	18704	-0.3163
55359604-76a7-43a3-b621-09ca64d547d2	1	217194811	217198135	3	-2.4836
55359604-76a7-43a3-b621-09ca64d547d2	1	217198315	247650984	19194	-0.3256
55359604-76a7-43a3-b621-09ca64d547d2	2	480597	150007655	78448	-0.3395
55359604-76a7-43a3-b621-09ca64d547d2	2	150009356	150011253	2	-2.7865
55359604-76a7-43a3-b621-09ca64d547d2	2	150013602	241537572	52593	-0.3314
55359604-76a7-43a3-b621-09ca64d547d2	3	2170634	15781272	8245	0.1968
55359604-76a7-43a3-b621-09ca64d547d2	3	15785407	17650888	1181	0.2512
55359604-76a7-43a3-b621-09ca64d547d2	3	17651323	35929391	10568	0.1931
55359604-76a7-43a3-b621-09ca64d547d2	3	35930000	35931781	8	-0.5554
55359604-76a7-43a3-b621-09ca64d547d2	3	35932175	46950194	6554	0.1915
55359604-76a7-43a3-b621-09ca64d547d2	3	46952649	50407360	1274	0.0999
55359604-76a7-43a3-b621-09ca64d547d2	3	50407420	86212375	21099	0.1844
55359604-76a7-43a3-b621-09ca64d547d2	3	86216052	86216665	2	-2.2813
55359604-76a7-43a3-b621-09ca64d547d2	3	86221012	116527222	14340	0.1895
55359604-76a7-43a3-b621-09ca64d547d2	3	116529727	116803740	217	0.0461
55359604-76a7-43a3-b621-09ca64d547d2	3	116804449	116951747	128	-0.147
55359604-76a7-43a3-b621-09ca64d547d2	3	116952046	117203898	216	0.0768
55359604-76a7-43a3-b621-09ca64d547d2	3	117204170	197812401	42524	0.1987
55359604-76a7-43a3-b621-09ca64d547d2	4	1059384	25705450	15395	0.938
55359604-76a7-43a3-b621-09ca64d547d2	4	25705787	25716886	16	0.4252
55359604-76a7-43a3-b621-09ca64d547d2	4	25718210	39423161	8362	0.9433
55359604-76a7-43a3-b621-09ca64d547d2	4	39424581	40800102	598	0.8456
55359604-76a7-43a3-b621-09ca64d547d2	4	40800486	48067890	3787	0.9564
55359604-76a7-43a3-b621-09ca64d547d2	4	51832470	51995467	93	0.2265
55359604-76a7-43a3-b621-09ca64d547d2	4	51998310	54241451	1335	0.9282
55359604-76a7-43a3-b621-09ca64d547d2	4	54249536	54249593	6	-0.1204
55359604-76a7-43a3-b621-09ca64d547d2	4	54254390	60601687	4040	0.9276
55359604-76a7-43a3-b621-09ca64d547d2	4	60605362	60783966	87	1.4016
55359604-76a7-43a3-b621-09ca64d547d2	4	60786220	60797085	7	1.028
55359604-76a7-43a3-b621-09ca64d547d2	4	60801059	81748408	11186	0.1916
55359604-76a7-43a3-b621-09ca64d547d2	4	81750016	81750209	4	-1.3331
55359604-76a7-43a3-b621-09ca64d547d2	4	81750784	139746942	31838	0.2029
55359604-76a7-43a3-b621-09ca64d547d2	4	139749536	157612617	10089	0.2239
55359604-76a7-43a3-b621-09ca64d547d2	4	157619018	187842528	15798	0.2004
55359604-76a7-43a3-b621-09ca64d547d2	5	913983	1288579	59	1.9713
55359604-76a7-43a3-b621-09ca64d547d2	5	1299214	2077242	183	0.5709
55359604-76a7-43a3-b621-09ca64d547d2	5	2080115	2081711	2	-0.781
55359604-76a7-43a3-b621-09ca64d547d2	5	2085242	2404845	304	0.589
55359604-76a7-43a3-b621-09ca64d547d2	5	2407728	2712192	287	1.9026
55359604-76a7-43a3-b621-09ca64d547d2	5	2715920	2802663	81	0.627
55359604-76a7-43a3-b621-09ca64d547d2	5	2806507	3001102	155	1.1574
55359604-76a7-43a3-b621-09ca64d547d2	5	3004057	9673019	5293	0.5791
55359604-76a7-43a3-b621-09ca64d547d2	5	9677134	9700773	23	1.9233
55359604-76a7-43a3-b621-09ca64d547d2	5	9701176	10209454	416	0.6087
55359604-76a7-43a3-b621-09ca64d547d2	5	10212222	10248685	37	1.7908
55359604-76a7-43a3-b621-09ca64d547d2	5	10254655	11540227	795	0.5984
55359604-76a7-43a3-b621-09ca64d547d2	5	11548262	11743459	138	2.0041
55359604-76a7-43a3-b621-09ca64d547d2	5	11745400	13340792	653	0.5841
55359604-76a7-43a3-b621-09ca64d547d2	5	13341057	13609616	194	1.1769
55359604-76a7-43a3-b621-09ca64d547d2	5	13609776	14339531	635	0.6086
55359604-76a7-43a3-b621-09ca64d547d2	5	14343163	15331291	638	1.9274
55359604-76a7-43a3-b621-09ca64d547d2	5	15332460	15332592	5	0.4123
55359604-76a7-43a3-b621-09ca64d547d2	5	15332597	16508789	335	1.9431
55359604-76a7-43a3-b621-09ca64d547d2	5	16510960	17264805	475	1.7997
55359604-76a7-43a3-b621-09ca64d547d2	5	17265505	17286788	9	2.2757
55359604-76a7-43a3-b621-09ca64d547d2	5	17287669	17301875	12	1.7988
55359604-76a7-43a3-b621-09ca64d547d2	5	17302387	17328347	10	2.3346
55359604-76a7-43a3-b621-09ca64d547d2	5	17328398	17416546	42	1.7224
55359604-76a7-43a3-b621-09ca64d547d2	5	17418221	17454674	30	2.0443
55359604-76a7-43a3-b621-09ca64d547d2	5	17455457	19903672	1200	1.6056
55359604-76a7-43a3-b621-09ca64d547d2	5	19910895	20676092	322	0.5531
55359604-76a7-43a3-b621-09ca64d547d2	5	20771724	20886618	25	1.4965
55359604-76a7-43a3-b621-09ca64d547d2	5	20892560	21312104	242	1.9394
55359604-76a7-43a3-b621-09ca64d547d2	5	21312119	21325164	16	1.6325
55359604-76a7-43a3-b621-09ca64d547d2	5	21338696	24124879	1443	0.5617
55359604-76a7-43a3-b621-09ca64d547d2	5	24131170	24217228	59	1.2702
55359604-76a7-43a3-b621-09ca64d547d2	5	24218438	24751440	303	0.5576
55359604-76a7-43a3-b621-09ca64d547d2	5	24756441	24777997	21	1.9257
55359604-76a7-43a3-b621-09ca64d547d2	5	24786817	24790752	13	0.9792
55359604-76a7-43a3-b621-09ca64d547d2	5	24790898	24854542	29	1.5796
55359604-76a7-43a3-b621-09ca64d547d2	5	24854990	25656247	300	1.1472
55359604-76a7-43a3-b621-09ca64d547d2	5	25657662	26220393	339	0.5398
55359604-76a7-43a3-b621-09ca64d547d2	5	26224583	30808805	2495	1.1822
55359604-76a7-43a3-b621-09ca64d547d2	5	30810407	30894996	66	1.5848
55359604-76a7-43a3-b621-09ca64d547d2	5	30895087	30959697	56	1.258
55359604-76a7-43a3-b621-09ca64d547d2	5	30960106	45234951	8164	1.6116
55359604-76a7-43a3-b621-09ca64d547d2	5	45238202	45383300	42	1.2314
55359604-76a7-43a3-b621-09ca64d547d2	5	50828231	51200995	222	1.6132
55359604-76a7-43a3-b621-09ca64d547d2	5	51201784	51970922	375	1.215
55359604-76a7-43a3-b621-09ca64d547d2	5	51971243	63885700	7104	1.6141
55359604-76a7-43a3-b621-09ca64d547d2	5	63886716	118616627	29161	0.5889
55359604-76a7-43a3-b621-09ca64d547d2	5	118617930	118618266	4	-0.859
55359604-76a7-43a3-b621-09ca64d547d2	5	118620659	180934240	37498	0.5782
55359604-76a7-43a3-b621-09ca64d547d2	6	1011760	56963651	33690	-0.3975
55359604-76a7-43a3-b621-09ca64d547d2	6	56972447	56973371	2	-3.0187
55359604-76a7-43a3-b621-09ca64d547d2	6	56974365	95912371	18681	-0.3882
55359604-76a7-43a3-b621-09ca64d547d2	6	95916709	95937907	13	-1.2311
55359604-76a7-43a3-b621-09ca64d547d2	6	95938540	170596889	43892	-0.3844
55359604-76a7-43a3-b621-09ca64d547d2	7	664936	6703466	2261	-0.4669
55359604-76a7-43a3-b621-09ca64d547d2	7	6703698	55239852	30377	-0.39
55359604-76a7-43a3-b621-09ca64d547d2	7	55240233	78000952	6124	-0.4443
55359604-76a7-43a3-b621-09ca64d547d2	7	78001470	98153049	10950	-0.3812
55359604-76a7-43a3-b621-09ca64d547d2	7	98167022	102253468	1552	-0.4639
55359604-76a7-43a3-b621-09ca64d547d2	7	102253947	118187482	8463	-0.3813
55359604-76a7-43a3-b621-09ca64d547d2	7	118191690	118194670	2	-2.4016
55359604-76a7-43a3-b621-09ca64d547d2	7	118194676	158592540	21524	-0.3976
55359604-76a7-43a3-b621-09ca64d547d2	8	667625	23402513	12993	-0.4009
55359604-76a7-43a3-b621-09ca64d547d2	8	23407133	23408595	2	-3.7003
55359604-76a7-43a3-b621-09ca64d547d2	8	23409471	144182542	68468	-0.3866
55359604-76a7-43a3-b621-09ca64d547d2	9	789794	2481455	1080	0.6152
55359604-76a7-43a3-b621-09ca64d547d2	9	2481651	2481683	2	2.3717
55359604-76a7-43a3-b621-09ca64d547d2	9	2483527	9410073	4191	0.6015
55359604-76a7-43a3-b621-09ca64d547d2	9	9411107	9621487	149	-4.3521
55359604-76a7-43a3-b621-09ca64d547d2	9	9621572	9647020	21	-0.4943
55359604-76a7-43a3-b621-09ca64d547d2	9	9649179	9687791	26	-1.5303
55359604-76a7-43a3-b621-09ca64d547d2	9	9691328	9757273	52	-0.5171
55359604-76a7-43a3-b621-09ca64d547d2	9	9760681	127437172	57229	0.5913
55359604-76a7-43a3-b621-09ca64d547d2	9	127437736	129887578	1114	0.4992
55359604-76a7-43a3-b621-09ca64d547d2	9	129888856	129890748	2	-0.7737
55359604-76a7-43a3-b621-09ca64d547d2	9	129898956	131597884	1075	0.509
55359604-76a7-43a3-b621-09ca64d547d2	9	131598767	133244140	1120	0.5736
55359604-76a7-43a3-b621-09ca64d547d2	9	133250790	133257486	5	-0.3438
55359604-76a7-43a3-b621-09ca64d547d2	9	133258308	138044505	1869	0.5554
55359604-76a7-43a3-b621-09ca64d547d2	10	366509	11566637	7946	0.1446
55359604-76a7-43a3-b621-09ca64d547d2	10	11566761	43689604	18863	0.1252
55359604-76a7-43a3-b621-09ca64d547d2	10	43691378	45565169	1230	0.1714
55359604-76a7-43a3-b621-09ca64d547d2	10	45569813	49556616	1304	0.2555
55359604-76a7-43a3-b621-09ca64d547d2	10	49560186	68219651	10617	0.1524
55359604-76a7-43a3-b621-09ca64d547d2	10	68221393	69486681	725	0.0702
55359604-76a7-43a3-b621-09ca64d547d2	10	69486879	71816991	1699	0.1713
55359604-76a7-43a3-b621-09ca64d547d2	10	71817510	75432647	1612	0.0991
55359604-76a7-43a3-b621-09ca64d547d2	10	75434314	128745228	34759	0.1589
55359604-76a7-43a3-b621-09ca64d547d2	10	128748043	128748257	2	-1.525
55359604-76a7-43a3-b621-09ca64d547d2	10	128749910	133411599	1931	0.1527
55359604-76a7-43a3-b621-09ca64d547d2	11	456012	1649057	363	-0.5017
55359604-76a7-43a3-b621-09ca64d547d2	11	1649967	10414489	5001	-0.3822
55359604-76a7-43a3-b621-09ca64d547d2	11	10415792	10416806	3	-2.0587
55359604-76a7-43a3-b621-09ca64d547d2	11	10418797	47584309	24174	-0.3844
55359604-76a7-43a3-b621-09ca64d547d2	11	47601924	47602435	2	-2.7043
55359604-76a7-43a3-b621-09ca64d547d2	11	47603162	56723580	1093	-0.3853
55359604-76a7-43a3-b621-09ca64d547d2	11	56724495	56729902	2	-1.9121
55359604-76a7-43a3-b621-09ca64d547d2	11	56731471	61470748	2657	-0.3758
55359604-76a7-43a3-b621-09ca64d547d2	11	61473723	71498977	4039	-0.4405
55359604-76a7-43a3-b621-09ca64d547d2	11	71499024	134272740	39533	-0.3809
55359604-76a7-43a3-b621-09ca64d547d2	12	780472	21410210	11840	0.599
55359604-76a7-43a3-b621-09ca64d547d2	12	21414671	21432680	8	-0.2308
55359604-76a7-43a3-b621-09ca64d547d2	12	21435234	48391706	13035	0.6058
55359604-76a7-43a3-b621-09ca64d547d2	12	48395194	51816307	1622	0.5317
55359604-76a7-43a3-b621-09ca64d547d2	12	51817321	55767035	2200	0.5928
55359604-76a7-43a3-b621-09ca64d547d2	12	55773631	56929390	548	0.5065
55359604-76a7-43a3-b621-09ca64d547d2	12	56929443	110204536	32687	0.6005
55359604-76a7-43a3-b621-09ca64d547d2	12	110208024	112532320	1076	0.5197
55359604-76a7-43a3-b621-09ca64d547d2	12	112539973	119888295	4871	0.5882
55359604-76a7-43a3-b621-09ca64d547d2	12	119891160	123625575	1607	0.5178
55359604-76a7-43a3-b621-09ca64d547d2	12	123625700	132605822	4292	0.5995
55359604-76a7-43a3-b621-09ca64d547d2	13	18874255	107138366	51920	-0.3815
55359604-76a7-43a3-b621-09ca64d547d2	13	107142490	107150792	5	-2.4423
55359604-76a7-43a3-b621-09ca64d547d2	13	107151796	107203546	42	-4.6713
55359604-76a7-43a3-b621-09ca64d547d2	13	107203810	114226675	4413	-0.4081
55359604-76a7-43a3-b621-09ca64d547d2	14	20033191	24025034	1511	-0.4032
55359604-76a7-43a3-b621-09ca64d547d2	14	24025440	24044708	17	0.0986
55359604-76a7-43a3-b621-09ca64d547d2	14	24049930	33374150	5442	-0.393
