GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3d18122c-81d2-4112-8250-3d2f04896a63	1	3302046	22873456	10902	-0.3837
3d18122c-81d2-4112-8250-3d2f04896a63	1	22873636	22873666	2	-3.886
3d18122c-81d2-4112-8250-3d2f04896a63	1	22873706	29421137	2813	-0.3858
3d18122c-81d2-4112-8250-3d2f04896a63	1	29425071	29425197	3	-3.0822
3d18122c-81d2-4112-8250-3d2f04896a63	1	29426937	30056624	479	-0.337
3d18122c-81d2-4112-8250-3d2f04896a63	1	30056811	30058066	4	-2.2633
3d18122c-81d2-4112-8250-3d2f04896a63	1	30058192	53353415	12186	-0.3605
3d18122c-81d2-4112-8250-3d2f04896a63	1	53353921	119979978	41014	-0.3919
3d18122c-81d2-4112-8250-3d2f04896a63	1	119981279	171740240	13585	0.49
3d18122c-81d2-4112-8250-3d2f04896a63	1	171743822	171763884	25	-0.0341
3d18122c-81d2-4112-8250-3d2f04896a63	1	171764182	247650984	47521	0.4765
3d18122c-81d2-4112-8250-3d2f04896a63	2	480597	8668931	5045	0.1276
3d18122c-81d2-4112-8250-3d2f04896a63	2	8669171	9118807	230	-0.3948
3d18122c-81d2-4112-8250-3d2f04896a63	2	9121038	12749025	2629	0.123
3d18122c-81d2-4112-8250-3d2f04896a63	2	12750734	12797824	31	-0.468
3d18122c-81d2-4112-8250-3d2f04896a63	2	12801258	13868546	552	0.1068
3d18122c-81d2-4112-8250-3d2f04896a63	2	13878863	14431620	325	-0.4342
3d18122c-81d2-4112-8250-3d2f04896a63	2	14432382	17138577	1879	0.1115
3d18122c-81d2-4112-8250-3d2f04896a63	2	17144006	22537704	3530	-0.4051
3d18122c-81d2-4112-8250-3d2f04896a63	2	22541672	22665787	70	0.0575
3d18122c-81d2-4112-8250-3d2f04896a63	2	22667453	46035023	12962	-0.4032
3d18122c-81d2-4112-8250-3d2f04896a63	2	46038490	46890857	697	0.1148
3d18122c-81d2-4112-8250-3d2f04896a63	2	46892330	54846788	4078	-0.3957
3d18122c-81d2-4112-8250-3d2f04896a63	2	54847292	55043983	163	0.1086
3d18122c-81d2-4112-8250-3d2f04896a63	2	55044739	55499992	238	-0.3779
3d18122c-81d2-4112-8250-3d2f04896a63	2	55506683	115498486	28225	0.1196
3d18122c-81d2-4112-8250-3d2f04896a63	2	115503505	115665821	104	-0.3885
3d18122c-81d2-4112-8250-3d2f04896a63	2	115673113	140815538	12477	0.1127
3d18122c-81d2-4112-8250-3d2f04896a63	2	140822635	140993494	104	-0.362
3d18122c-81d2-4112-8250-3d2f04896a63	2	140995219	141128544	96	-1.3252
3d18122c-81d2-4112-8250-3d2f04896a63	2	141132757	141175514	23	-0.3454
3d18122c-81d2-4112-8250-3d2f04896a63	2	141184121	141263078	44	0.0779
3d18122c-81d2-4112-8250-3d2f04896a63	2	141264223	141368820	67	-0.2452
3d18122c-81d2-4112-8250-3d2f04896a63	2	141368837	185397487	25773	0.1037
3d18122c-81d2-4112-8250-3d2f04896a63	2	185400292	185432630	15	-0.1279
3d18122c-81d2-4112-8250-3d2f04896a63	2	185433497	186126409	57	-0.3924
3d18122c-81d2-4112-8250-3d2f04896a63	2	186126844	186261939	80	0.1125
3d18122c-81d2-4112-8250-3d2f04896a63	2	186264850	186336585	26	-0.4457
3d18122c-81d2-4112-8250-3d2f04896a63	2	186336620	205057070	9459	0.102
3d18122c-81d2-4112-8250-3d2f04896a63	2	205059427	205217502	135	-0.4595
3d18122c-81d2-4112-8250-3d2f04896a63	2	205221796	241537572	21983	0.1187
3d18122c-81d2-4112-8250-3d2f04896a63	3	2170634	29385624	15904	-0.4003
3d18122c-81d2-4112-8250-3d2f04896a63	3	29386062	29477282	100	-1.5788
3d18122c-81d2-4112-8250-3d2f04896a63	3	29478207	116151568	46796	-0.3941
3d18122c-81d2-4112-8250-3d2f04896a63	3	116155535	116740404	428	-1.2315
3d18122c-81d2-4112-8250-3d2f04896a63	3	116741586	116796438	68	-4.5681
3d18122c-81d2-4112-8250-3d2f04896a63	3	116803740	116808395	10	-1.1629
3d18122c-81d2-4112-8250-3d2f04896a63	3	116808772	116834824	44	-2.6173
3d18122c-81d2-4112-8250-3d2f04896a63	3	116839023	117026652	126	-1.2519
3d18122c-81d2-4112-8250-3d2f04896a63	3	117027414	117052404	20	-4.3787
3d18122c-81d2-4112-8250-3d2f04896a63	3	117055504	117239160	153	-1.4007
3d18122c-81d2-4112-8250-3d2f04896a63	3	117242038	174963694	30756	-0.3958
3d18122c-81d2-4112-8250-3d2f04896a63	3	174964233	175112560	94	-1.2378
3d18122c-81d2-4112-8250-3d2f04896a63	3	175113644	175240395	110	-3.1442
3d18122c-81d2-4112-8250-3d2f04896a63	3	175242221	175244112	4	-1.6154
3d18122c-81d2-4112-8250-3d2f04896a63	3	175250689	178046503	1144	-0.3998
3d18122c-81d2-4112-8250-3d2f04896a63	3	178048676	178049448	2	-2.389
3d18122c-81d2-4112-8250-3d2f04896a63	3	178049676	184609076	3087	-0.4043
3d18122c-81d2-4112-8250-3d2f04896a63	3	184613454	184613658	2	-3.0821
3d18122c-81d2-4112-8250-3d2f04896a63	3	184616962	197812401	7210	-0.4013
3d18122c-81d2-4112-8250-3d2f04896a63	4	1059384	40544227	24257	0.1271
3d18122c-81d2-4112-8250-3d2f04896a63	4	40546040	40645769	70	-0.4273
3d18122c-81d2-4112-8250-3d2f04896a63	4	40646033	180604429	75064	0.1072
3d18122c-81d2-4112-8250-3d2f04896a63	4	181157671	181511620	290	-4.245
3d18122c-81d2-4112-8250-3d2f04896a63	4	181511766	181741666	176	-1.3462
3d18122c-81d2-4112-8250-3d2f04896a63	4	181742002	181819188	63	-0.3756
3d18122c-81d2-4112-8250-3d2f04896a63	4	181819460	181915205	83	0.054
3d18122c-81d2-4112-8250-3d2f04896a63	4	181917170	182311266	318	-0.4132
3d18122c-81d2-4112-8250-3d2f04896a63	4	182312540	182439862	103	0.1456
3d18122c-81d2-4112-8250-3d2f04896a63	4	182440783	183314788	131	0.4233
3d18122c-81d2-4112-8250-3d2f04896a63	4	183314971	187842528	2048	0.1161
3d18122c-81d2-4112-8250-3d2f04896a63	5	914118	1300469	61	0.9791
3d18122c-81d2-4112-8250-3d2f04896a63	5	1308959	15021816	9612	-0.4291
3d18122c-81d2-4112-8250-3d2f04896a63	5	15023504	15023997	3	-2.5221
3d18122c-81d2-4112-8250-3d2f04896a63	5	15024185	15361869	180	-0.378
3d18122c-81d2-4112-8250-3d2f04896a63	5	16048599	16236967	118	1.0606
3d18122c-81d2-4112-8250-3d2f04896a63	5	16237452	18783721	1415	0.468
3d18122c-81d2-4112-8250-3d2f04896a63	5	18787577	33011861	7781	-0.4118
3d18122c-81d2-4112-8250-3d2f04896a63	5	33015766	33633333	406	0.9344
3d18122c-81d2-4112-8250-3d2f04896a63	5	33636489	33943487	208	-0.3491
3d18122c-81d2-4112-8250-3d2f04896a63	5	34754143	35205795	292	1.006
3d18122c-81d2-4112-8250-3d2f04896a63	5	35209893	35728939	335	0.4506
3d18122c-81d2-4112-8250-3d2f04896a63	5	35729540	38705146	1819	1.0061
3d18122c-81d2-4112-8250-3d2f04896a63	5	38706538	41673777	1939	0.7681
3d18122c-81d2-4112-8250-3d2f04896a63	5	41674555	42782233	538	1.2009
3d18122c-81d2-4112-8250-3d2f04896a63	5	42782390	45383300	1158	0.7719
3d18122c-81d2-4112-8250-3d2f04896a63	5	50828231	180934240	74337	0.1159
3d18122c-81d2-4112-8250-3d2f04896a63	6	1011760	26120925	17445	0.1137
3d18122c-81d2-4112-8250-3d2f04896a63	6	26121046	26202671	52	-0.5023
3d18122c-81d2-4112-8250-3d2f04896a63	6	26207415	108228933	42095	0.1137
3d18122c-81d2-4112-8250-3d2f04896a63	6	108230608	108683319	229	-0.3913
3d18122c-81d2-4112-8250-3d2f04896a63	6	108686558	147162833	22619	0.1054
3d18122c-81d2-4112-8250-3d2f04896a63	6	147163102	147205673	34	-0.4659
3d18122c-81d2-4112-8250-3d2f04896a63	6	147206849	170596889	13863	0.1099
3d18122c-81d2-4112-8250-3d2f04896a63	7	664936	15255835	7228	0.1208
3d18122c-81d2-4112-8250-3d2f04896a63	7	15265131	15269746	5	-1.2758
3d18122c-81d2-4112-8250-3d2f04896a63	7	15272416	158592540	74097	0.112
3d18122c-81d2-4112-8250-3d2f04896a63	8	667625	58130870	31242	0.481
3d18122c-81d2-4112-8250-3d2f04896a63	8	58130922	58130928	2	-1.804
3d18122c-81d2-4112-8250-3d2f04896a63	8	58131480	67994525	5678	0.4678
3d18122c-81d2-4112-8250-3d2f04896a63	8	67997525	67998146	2	-3.0184
3d18122c-81d2-4112-8250-3d2f04896a63	8	68000198	117320763	27574	0.4801
3d18122c-81d2-4112-8250-3d2f04896a63	8	117320997	117743156	275	0.6888
3d18122c-81d2-4112-8250-3d2f04896a63	8	117743717	136070959	12955	0.4823
3d18122c-81d2-4112-8250-3d2f04896a63	8	136076379	140307397	3126	0.527
3d18122c-81d2-4112-8250-3d2f04896a63	8	140309462	144182542	716	0.4814
3d18122c-81d2-4112-8250-3d2f04896a63	9	789794	21828111	13457	0.1219
3d18122c-81d2-4112-8250-3d2f04896a63	9	21828229	21920662	38	-0.341
3d18122c-81d2-4112-8250-3d2f04896a63	9	21926592	21986219	34	-1.5934
3d18122c-81d2-4112-8250-3d2f04896a63	9	21988393	22134173	127	-0.4566
3d18122c-81d2-4112-8250-3d2f04896a63	9	22135211	120810585	45076	0.1249
3d18122c-81d2-4112-8250-3d2f04896a63	9	120812668	121012709	133	-0.38
3d18122c-81d2-4112-8250-3d2f04896a63	9	121015870	138044505	9036	0.1476
3d18122c-81d2-4112-8250-3d2f04896a63	10	366509	54171417	31883	0.0993
3d18122c-81d2-4112-8250-3d2f04896a63	10	54174915	54480292	253	-0.4305
3d18122c-81d2-4112-8250-3d2f04896a63	10	54480933	54544832	45	-3.3084
3d18122c-81d2-4112-8250-3d2f04896a63	10	54544931	54682501	89	-0.3966
3d18122c-81d2-4112-8250-3d2f04896a63	10	54683763	54814677	89	0.1247
3d18122c-81d2-4112-8250-3d2f04896a63	10	54817288	55038941	83	-0.3842
3d18122c-81d2-4112-8250-3d2f04896a63	10	55039949	133411599	48187	0.1115
3d18122c-81d2-4112-8250-3d2f04896a63	11	456012	606294	30	-0.4619
3d18122c-81d2-4112-8250-3d2f04896a63	11	620599	748946	33	-0.9522
3d18122c-81d2-4112-8250-3d2f04896a63	11	749776	80115226	41922	-0.3943
3d18122c-81d2-4112-8250-3d2f04896a63	11	80116241	80503203	299	-1.168
3d18122c-81d2-4112-8250-3d2f04896a63	11	80503307	84134536	2195	-0.4051
3d18122c-81d2-4112-8250-3d2f04896a63	11	84135450	84207276	43	-1.2141
3d18122c-81d2-4112-8250-3d2f04896a63	11	84207296	85037956	410	-0.4047
3d18122c-81d2-4112-8250-3d2f04896a63	11	85038113	85153519	67	-1.3837
3d18122c-81d2-4112-8250-3d2f04896a63	11	85155569	134272740	31669	-0.3969
3d18122c-81d2-4112-8250-3d2f04896a63	12	780472	32152853	18770	0.1164
