GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
95e23d17-a163-464b-a166-59835b0a1e28	1	3302046	8405609	3212	-0.796
95e23d17-a163-464b-a166-59835b0a1e28	1	8408312	8726695	136	-1.691
95e23d17-a163-464b-a166-59835b0a1e28	1	8726709	11489234	1331	-0.7847
95e23d17-a163-464b-a166-59835b0a1e28	1	11490575	11491759	3	-2.747
95e23d17-a163-464b-a166-59835b0a1e28	1	11494538	15596141	2260	-0.7976
95e23d17-a163-464b-a166-59835b0a1e28	1	15606437	53023460	19302	-0.7654
95e23d17-a163-464b-a166-59835b0a1e28	1	53023595	98127074	28654	-0.8034
95e23d17-a163-464b-a166-59835b0a1e28	1	98178140	109157406	6117	0.0816
95e23d17-a163-464b-a166-59835b0a1e28	1	109160582	151510378	7383	0.116
95e23d17-a163-464b-a166-59835b0a1e28	1	151510524	166418753	9328	0.1466
95e23d17-a163-464b-a166-59835b0a1e28	1	166419154	188144454	13954	0.1229
95e23d17-a163-464b-a166-59835b0a1e28	1	188145614	188148396	2	-1.155
95e23d17-a163-464b-a166-59835b0a1e28	1	188148443	200899752	7347	0.1064
95e23d17-a163-464b-a166-59835b0a1e28	1	200902088	211538847	7172	0.1485
95e23d17-a163-464b-a166-59835b0a1e28	1	211539206	245966350	22709	0.1228
95e23d17-a163-464b-a166-59835b0a1e28	1	245970721	245971066	2	1.7882
95e23d17-a163-464b-a166-59835b0a1e28	1	245973251	247650984	471	0.1278
95e23d17-a163-464b-a166-59835b0a1e28	2	480597	31371923	19443	0.1124
95e23d17-a163-464b-a166-59835b0a1e28	2	31372474	70792111	22399	0.0978
95e23d17-a163-464b-a166-59835b0a1e28	2	70793033	70793122	2	-1.5091
95e23d17-a163-464b-a166-59835b0a1e28	2	70794604	157963624	41915	0.0966
95e23d17-a163-464b-a166-59835b0a1e28	2	157964348	157966875	2	-1.4986
95e23d17-a163-464b-a166-59835b0a1e28	2	157967171	216540480	33142	0.0876
95e23d17-a163-464b-a166-59835b0a1e28	2	216543380	220587964	2504	0.1233
95e23d17-a163-464b-a166-59835b0a1e28	2	220588356	229438277	5764	0.0925
95e23d17-a163-464b-a166-59835b0a1e28	2	229438556	241537572	6962	0.1331
95e23d17-a163-464b-a166-59835b0a1e28	3	2170634	10270255	4622	0.1144
95e23d17-a163-464b-a166-59835b0a1e28	3	10273419	11180368	714	0.1741
95e23d17-a163-464b-a166-59835b0a1e28	3	11180721	14924000	2499	0.121
95e23d17-a163-464b-a166-59835b0a1e28	3	14926719	37479041	13332	0.0934
95e23d17-a163-464b-a166-59835b0a1e28	3	37479302	73962536	21938	0.1113
95e23d17-a163-464b-a166-59835b0a1e28	3	73963398	113356876	18757	0.0804
95e23d17-a163-464b-a166-59835b0a1e28	3	113357553	113361053	3	1.3104
95e23d17-a163-464b-a166-59835b0a1e28	3	113361102	116821632	2126	0.0937
95e23d17-a163-464b-a166-59835b0a1e28	3	116823449	117111765	216	-0.0047
95e23d17-a163-464b-a166-59835b0a1e28	3	117112578	117259329	120	-0.2829
95e23d17-a163-464b-a166-59835b0a1e28	3	117264794	122886697	3087	0.0943
95e23d17-a163-464b-a166-59835b0a1e28	3	122888135	141680111	10928	0.1159
95e23d17-a163-464b-a166-59835b0a1e28	3	141681600	197812401	28770	0.0909
95e23d17-a163-464b-a166-59835b0a1e28	4	1059384	10412284	4912	0.1482
95e23d17-a163-464b-a166-59835b0a1e28	4	10413762	26171911	10939	0.1072
95e23d17-a163-464b-a166-59835b0a1e28	4	26173735	147647840	65953	0.0873
