GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
911a42fc-5f01-469f-9375-76c1cd304a30	1	3301765	9146408	3610	-0.1795
911a42fc-5f01-469f-9375-76c1cd304a30	1	9147248	9152724	3	-1.919
911a42fc-5f01-469f-9375-76c1cd304a30	1	9153118	48398315	20604	-0.1855
911a42fc-5f01-469f-9375-76c1cd304a30	1	48399605	201264679	75040	-0.2203
911a42fc-5f01-469f-9375-76c1cd304a30	1	201267013	201764240	398	0.1852
911a42fc-5f01-469f-9375-76c1cd304a30	1	201770492	247650984	29615	-0.2254
911a42fc-5f01-469f-9375-76c1cd304a30	2	480597	241537572	131701	-0.205
911a42fc-5f01-469f-9375-76c1cd304a30	3	2170634	17574782	9462	-0.2247
911a42fc-5f01-469f-9375-76c1cd304a30	3	17577419	37867366	11927	-0.2465
911a42fc-5f01-469f-9375-76c1cd304a30	3	37870976	52256534	7322	-0.2077
911a42fc-5f01-469f-9375-76c1cd304a30	3	52257719	117068294	35256	0.1863
911a42fc-5f01-469f-9375-76c1cd304a30	3	117068331	117687613	470	-0.0595
911a42fc-5f01-469f-9375-76c1cd304a30	3	117688440	197812401	42379	0.1852
911a42fc-5f01-469f-9375-76c1cd304a30	4	1059384	11701760	6023	0.2256
911a42fc-5f01-469f-9375-76c1cd304a30	4	11708314	176058018	91301	0.1804
911a42fc-5f01-469f-9375-76c1cd304a30	4	176063211	176072721	2	-1.9051
911a42fc-5f01-469f-9375-76c1cd304a30	4	176074978	176384223	222	0.1464
911a42fc-5f01-469f-9375-76c1cd304a30	4	176387516	176387772	3	1.6711
911a42fc-5f01-469f-9375-76c1cd304a30	4	176388006	187133659	5152	0.1791
911a42fc-5f01-469f-9375-76c1cd304a30	4	187135672	187842528	433	0.2196
911a42fc-5f01-469f-9375-76c1cd304a30	5	913983	6527723	4007	0.5438
911a42fc-5f01-469f-9375-76c1cd304a30	5	6539004	169067050	89994	0.5052
911a42fc-5f01-469f-9375-76c1cd304a30	5	169069057	180934240	6751	0.5307
911a42fc-5f01-469f-9375-76c1cd304a30	6	1011760	41741200	24854	-0.1993
911a42fc-5f01-469f-9375-76c1cd304a30	6	41741333	166032704	70300	-0.2367
911a42fc-5f01-469f-9375-76c1cd304a30	6	166034476	170596889	1644	-0.2032
911a42fc-5f01-469f-9375-76c1cd304a30	7	664936	23404356	11925	0.1758
911a42fc-5f01-469f-9375-76c1cd304a30	7	23409753	23448319	27	-0.2792
911a42fc-5f01-469f-9375-76c1cd304a30	7	23457754	64960551	21953	0.1883
911a42fc-5f01-469f-9375-76c1cd304a30	7	64962282	131766783	33311	0.1669
