GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	3301765	5633477	1655	-0.2529
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	5639355	19988919	7749	-0.301
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	19990256	23429662	1899	-0.2361
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	23429794	35938208	6129	-0.0836
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	35938518	47107741	5925	-0.285
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	47108149	47108978	3	-1.9108
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	47111064	56629228	5483	-0.2588
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	56630056	58354245	1432	-0.1971
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	58354727	68638583	7258	-0.2511
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	68639974	84341740	8935	-0.2166
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	84343073	95311820	6866	-0.2584
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	95312118	107533721	6943	-0.2176
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	107534480	119884026	7519	-0.2539
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	119890454	152302977	1053	-0.089
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	152303083	152982363	393	0.029
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	152982445	153143621	105	0.1454
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	153143757	153833274	354	0.4965
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	153835315	153852928	10	0.247
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	153856913	154339220	198	-0.0757
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	154340756	154341543	3	-0.9948
49d3c8a0-667e-4599-b8eb-1cd0e3449062	1	154341932	155496531	583	-0.0562
