GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6bc4a981-de91-46d2-916c-15bd70f6670f	1	3301765	247650984	128916	-0.4153
6bc4a981-de91-46d2-916c-15bd70f6670f	2	480597	80952881	46975	-0.389
6bc4a981-de91-46d2-916c-15bd70f6670f	2	80953479	80955660	3	-2.6687
6bc4a981-de91-46d2-916c-15bd70f6670f	2	80956439	122030678	17253	-0.3886
6bc4a981-de91-46d2-916c-15bd70f6670f	2	122033662	122041141	2	-3.8214
6bc4a981-de91-46d2-916c-15bd70f6670f	2	122043085	241537572	67183	-0.3769
6bc4a981-de91-46d2-916c-15bd70f6670f	3	2170634	19074136	10239	0.3475
6bc4a981-de91-46d2-916c-15bd70f6670f	3	19075626	29374293	5849	0.3134
6bc4a981-de91-46d2-916c-15bd70f6670f	3	29374754	31912670	1804	0.3624
6bc4a981-de91-46d2-916c-15bd70f6670f	3	31914625	36099380	2415	0.309
6bc4a981-de91-46d2-916c-15bd70f6670f	3	36106781	45693326	5672	0.3496
6bc4a981-de91-46d2-916c-15bd70f6670f	3	45693660	46521992	557	0.4297
6bc4a981-de91-46d2-916c-15bd70f6670f	3	46526667	47121947	269	0.3306
6bc4a981-de91-46d2-916c-15bd70f6670f	3	47122286	50280451	1160	0.276
6bc4a981-de91-46d2-916c-15bd70f6670f	3	50284408	73311704	14551	0.3313
6bc4a981-de91-46d2-916c-15bd70f6670f	3	73312107	73313675	2	-1.1542
6bc4a981-de91-46d2-916c-15bd70f6670f	3	73314000	74066147	614	0.3459
6bc4a981-de91-46d2-916c-15bd70f6670f	3	74066164	97662562	9895	0.3043
6bc4a981-de91-46d2-916c-15bd70f6670f	3	97662794	103217034	2934	0.3409
6bc4a981-de91-46d2-916c-15bd70f6670f	3	103217493	104643050	824	0.2718
6bc4a981-de91-46d2-916c-15bd70f6670f	3	104643067	162286485	32257	0.3447
6bc4a981-de91-46d2-916c-15bd70f6670f	3	162287640	166165773	1487	0.2783
6bc4a981-de91-46d2-916c-15bd70f6670f	3	166165780	174081132	4168	0.349
6bc4a981-de91-46d2-916c-15bd70f6670f	3	174082204	186177608	5966	0.3131
6bc4a981-de91-46d2-916c-15bd70f6670f	3	186177656	197812401	6364	0.3415
6bc4a981-de91-46d2-916c-15bd70f6670f	4	1059384	17395562	10141	0.3476
6bc4a981-de91-46d2-916c-15bd70f6670f	4	17397851	31611041	9050	0.309
6bc4a981-de91-46d2-916c-15bd70f6670f	4	31611098	32295925	444	0.255
6bc4a981-de91-46d2-916c-15bd70f6670f	4	32295946	32295978	2	-1.1314
6bc4a981-de91-46d2-916c-15bd70f6670f	4	32296368	34301508	942	0.2391
6bc4a981-de91-46d2-916c-15bd70f6670f	4	34302285	52121021	7910	0.3325
6bc4a981-de91-46d2-916c-15bd70f6670f	4	52127213	67164679	8840	0.3056
6bc4a981-de91-46d2-916c-15bd70f6670f	4	67165329	130193028	35127	0.3317
6bc4a981-de91-46d2-916c-15bd70f6670f	4	130194328	135936899	2478	0.2772
6bc4a981-de91-46d2-916c-15bd70f6670f	4	135939583	160692986	14266	0.3394
6bc4a981-de91-46d2-916c-15bd70f6670f	4	160696526	164127964	1982	0.285
6bc4a981-de91-46d2-916c-15bd70f6670f	4	164128130	178166169	7657	0.3297
6bc4a981-de91-46d2-916c-15bd70f6670f	4	178166215	181263734	1346	0.2482
6bc4a981-de91-46d2-916c-15bd70f6670f	4	181263798	181821118	458	0.311
6bc4a981-de91-46d2-916c-15bd70f6670f	4	181821196	181830044	3	-1.1568
6bc4a981-de91-46d2-916c-15bd70f6670f	4	181830114	187842528	2698	0.3331
6bc4a981-de91-46d2-916c-15bd70f6670f	5	913983	1287276	53	0.422
6bc4a981-de91-46d2-916c-15bd70f6670f	5	1287425	1287904	3	-0.6376
6bc4a981-de91-46d2-916c-15bd70f6670f	5	1288500	2812877	877	0.3538
6bc4a981-de91-46d2-916c-15bd70f6670f	5	2814767	4375749	1253	0.2427
