GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	3301765	21971792	10512	-0.2315
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	22108654	22340487	153	0.2022
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	22343478	57181430	18741	-0.2376
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	57181451	57275656	81	-0.2856
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	57275724	57388076	91	-0.802
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	57388347	66790061	6794	-0.26
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	66790357	109726206	25133	-0.291
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	109727232	157939918	10520	-0.2562
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	157941489	158040572	68	0.5029
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	158040754	159938603	1260	-0.2693
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	159940547	159942875	2	-1.9822
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	159943389	187187732	17923	-0.2703
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	187191224	193581427	3810	-0.3087
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	193582954	193588971	2	-2.4269
a8bbc616-f4a4-4133-9bc2-35a82c99829d	1	193589751	247650984	34523	-0.2829
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	480597	83042032	48289	-0.2536
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	83049082	83155397	55	-0.9358
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	83158328	84406902	742	-0.2684
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	84410539	84410992	2	-1.99
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	84411166	123484614	16478	-0.2461
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	123484634	123602963	2	1.489
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	123602994	140780189	8219	-0.2583
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	140785242	140890043	51	-0.8348
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	140898864	194229738	30323	-0.2702
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	194230617	194230783	2	-2.4136
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	194239204	197107546	1294	-0.2553
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	197110892	197440548	166	0.0783
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	197442833	201865097	2510	-0.2719
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	201869596	201874380	4	-1.8289
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	201874859	234494012	19728	-0.2612
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	234495485	237069677	1730	-0.2005
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	237071943	237072209	2	-1.5577
a8bbc616-f4a4-4133-9bc2-35a82c99829d	2	237072277	241537572	2496	-0.2167
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	2170634	16807411	9082	-0.128
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	16808205	31220281	8365	-0.1568
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	31220847	31222847	2	-1.6306
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	31223306	37346781	3623	-0.1574
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	37350112	71278171	20049	-0.1303
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	71281432	111070245	19274	-0.1661
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	111070658	116107926	3007	-0.146
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	116114328	116570247	360	-0.7741
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	116572974	117757553	911	-0.1828
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	117760367	143826414	14615	-0.1315
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	143826754	174761246	15917	-0.1659
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	174761504	175330411	405	-0.6635
a8bbc616-f4a4-4133-9bc2-35a82c99829d	3	175331395	197812401	11503	-0.1547
a8bbc616-f4a4-4133-9bc2-35a82c99829d	4	1059384	3107715	784	0.1536
a8bbc616-f4a4-4133-9bc2-35a82c99829d	4	3108143	10348420	4098	0.216
a8bbc616-f4a4-4133-9bc2-35a82c99829d	4	10349324	180335019	95065	0.1292
a8bbc616-f4a4-4133-9bc2-35a82c99829d	4	180335625	180604429	240	-0.3707
a8bbc616-f4a4-4133-9bc2-35a82c99829d	4	181157671	182266033	910	0.0902
a8bbc616-f4a4-4133-9bc2-35a82c99829d	4	182268945	182614883	250	-0.6155
a8bbc616-f4a4-4133-9bc2-35a82c99829d	4	183286625	187842528	2084	0.1666
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	913983	1287904	56	0.4923
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	1288500	2667054	733	0.7484
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	2667518	2953674	245	0.4461
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	2955634	3006292	53	0.7732
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	3012404	3264207	230	0.4351
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	3265732	3653898	339	0.7371
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	3653935	3902391	212	0.4558
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	3903190	7673865	2967	0.7042
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	7675785	7854176	142	0.4419
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	7862330	7997432	120	0.7039
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	7998876	8259529	191	0.4821
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	8262555	8751794	366	0.6785
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	8752437	11200233	1749	0.9181
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	11202537	11375862	140	0.6906
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	11376433	11698175	245	0.9223
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	11702695	16694258	2666	0.703
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	16694418	17011661	181	0.8558
a8bbc616-f4a4-4133-9bc2-35a82c99829d	5	17024944	22269726	2467	0.674
