GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	3301765	5030959	1259	0.0774
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	5033681	62463883	31303	-0.7621
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	62475245	192450875	60500	0.0353
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	192450930	192451767	3	-1.8779
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	192452097	241413626	31836	0.0375
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	241413794	241417983	3	-1.7823
3f30b69f-77aa-4ece-850a-75060bdc60ec	1	241418117	247650984	3184	0.0436
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	480597	176818676	94324	0.0289
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	176819488	226074028	27530	-0.0051
3f30b69f-77aa-4ece-850a-75060bdc60ec	2	226074425	241537572	9007	0.0241
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	2170634	75130612	43390	0.0279
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	75133934	185170856	55785	0.0075
3f30b69f-77aa-4ece-850a-75060bdc60ec	3	185170940	197812401	6938	0.0324
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	1059384	18854588	10966	0.044
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	18860026	18866761	5	-1.1541
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	18868906	18953032	60	-0.027
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	18955622	18956482	3	-2.519
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	18956603	126676176	59104	0.0141
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	126676685	126743486	52	-1.0787
3f30b69f-77aa-4ece-850a-75060bdc60ec	4	126750787	187842528	32225	0.0144
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	913983	38690407	22231	0.0221
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	38693016	38693207	2	-2.5685
3f30b69f-77aa-4ece-850a-75060bdc60ec	5	38693613	180934240	77841	0.0284
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	1011760	28227482	18125	0.0333
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	28227731	34052150	1712	0.0742
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	34055068	34058712	2	-2.1821
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	34064077	44417344	6258	0.0634
3f30b69f-77aa-4ece-850a-75060bdc60ec	6	44417803	170596889	70087	0.0223
3f30b69f-77aa-4ece-850a-75060bdc60ec	7	664936	158592540	81179	0.0312
3f30b69f-77aa-4ece-850a-75060bdc60ec	8	667625	144182542	81381	0.0237
3f30b69f-77aa-4ece-850a-75060bdc60ec	9	789794	2949812	1472	-0.8044
3f30b69f-77aa-4ece-850a-75060bdc60ec	9	2951475	2952527	4	-4.1316
3f30b69f-77aa-4ece-850a-75060bdc60ec	9	2953905	7871852	2796	-0.7683
3f30b69f-77aa-4ece-850a-75060bdc60ec	9	7876295	8061232	105	0.0489
3f30b69f-77aa-4ece-850a-75060bdc60ec	9	8063475	9238929	825	-0.8067
3f30b69f-77aa-4ece-850a-75060bdc60ec	9	9239154	9445270	39	0.0435
3f30b69f-77aa-4ece-850a-75060bdc60ec	9	9447625	9530755	74	-0.7161
