GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
499cad1d-5d42-4834-8b88-42aec6523e07	1	3301765	34369357	16622	0.0358
499cad1d-5d42-4834-8b88-42aec6523e07	1	34369579	119072209	50328	0.0085
499cad1d-5d42-4834-8b88-42aec6523e07	1	119075491	185071657	22303	0.0456
499cad1d-5d42-4834-8b88-42aec6523e07	1	185075487	199387388	8281	0.0196
499cad1d-5d42-4834-8b88-42aec6523e07	1	199387491	236068554	23660	0.0503
499cad1d-5d42-4834-8b88-42aec6523e07	1	236101466	247650984	7287	-0.4649
499cad1d-5d42-4834-8b88-42aec6523e07	2	480597	241537572	130938	0.0066
499cad1d-5d42-4834-8b88-42aec6523e07	3	2170634	197812401	106145	0.0079
499cad1d-5d42-4834-8b88-42aec6523e07	4	1059384	6399133	2842	0.0934
499cad1d-5d42-4834-8b88-42aec6523e07	4	6399471	6399824	2	-2.5758
499cad1d-5d42-4834-8b88-42aec6523e07	4	6401005	51955153	25317	0.0508
499cad1d-5d42-4834-8b88-42aec6523e07	4	51956008	120348710	38407	0.0122
499cad1d-5d42-4834-8b88-42aec6523e07	4	120349784	120379729	34	-0.6318
499cad1d-5d42-4834-8b88-42aec6523e07	4	120380665	185378502	34347	0.0128
499cad1d-5d42-4834-8b88-42aec6523e07	4	185378604	187842528	1511	0.0511
499cad1d-5d42-4834-8b88-42aec6523e07	5	913983	5397664	3067	0.046
499cad1d-5d42-4834-8b88-42aec6523e07	5	5398113	5511877	78	-0.5897
499cad1d-5d42-4834-8b88-42aec6523e07	5	5513512	5829718	259	0.0278
499cad1d-5d42-4834-8b88-42aec6523e07	5	5830456	5966212	113	-0.5457
499cad1d-5d42-4834-8b88-42aec6523e07	5	5966617	6048880	90	-0.0084
499cad1d-5d42-4834-8b88-42aec6523e07	5	6052420	6178755	93	-0.5182
499cad1d-5d42-4834-8b88-42aec6523e07	5	6179015	7933418	1283	0.0268
499cad1d-5d42-4834-8b88-42aec6523e07	5	7933858	8340197	336	-0.5578
499cad1d-5d42-4834-8b88-42aec6523e07	5	8346971	8385067	17	0.0365
499cad1d-5d42-4834-8b88-42aec6523e07	5	8385182	8439243	31	-0.6373
499cad1d-5d42-4834-8b88-42aec6523e07	5	8439747	8643178	182	0.0409
499cad1d-5d42-4834-8b88-42aec6523e07	5	8645161	9096329	327	-0.5185
499cad1d-5d42-4834-8b88-42aec6523e07	5	9099551	9746187	516	0.0366
499cad1d-5d42-4834-8b88-42aec6523e07	5	9747311	9883040	121	-0.5435
499cad1d-5d42-4834-8b88-42aec6523e07	5	9883489	11648152	1170	0.0421
499cad1d-5d42-4834-8b88-42aec6523e07	5	11650898	11855080	141	-0.5913
499cad1d-5d42-4834-8b88-42aec6523e07	5	11857205	11883020	32	0.0954
499cad1d-5d42-4834-8b88-42aec6523e07	5	11891615	12045529	77	-0.5797
499cad1d-5d42-4834-8b88-42aec6523e07	5	12053579	12589832	280	0.0289
499cad1d-5d42-4834-8b88-42aec6523e07	5	12592699	12624741	20	-0.5548
499cad1d-5d42-4834-8b88-42aec6523e07	5	12629839	17287669	2446	0.0311
499cad1d-5d42-4834-8b88-42aec6523e07	5	17290650	17427728	73	-0.4587
499cad1d-5d42-4834-8b88-42aec6523e07	5	17432602	18121494	239	0.0471
499cad1d-5d42-4834-8b88-42aec6523e07	5	18125209	18258594	101	-0.5177
499cad1d-5d42-4834-8b88-42aec6523e07	5	18259583	19486044	636	0.0137
499cad1d-5d42-4834-8b88-42aec6523e07	5	19486137	19527962	34	1.479
499cad1d-5d42-4834-8b88-42aec6523e07	5	19530899	19790114	131	-0.0284
499cad1d-5d42-4834-8b88-42aec6523e07	5	19795489	19878222	54	-0.5542
499cad1d-5d42-4834-8b88-42aec6523e07	5	19880078	23922754	1958	0.0186
499cad1d-5d42-4834-8b88-42aec6523e07	5	23923518	24048364	53	-0.6278
499cad1d-5d42-4834-8b88-42aec6523e07	5	24058001	38009108	7738	0.0351
499cad1d-5d42-4834-8b88-42aec6523e07	5	38009509	133385624	49254	0.0114
499cad1d-5d42-4834-8b88-42aec6523e07	5	133386219	147393723	8327	0.0388
499cad1d-5d42-4834-8b88-42aec6523e07	5	147395814	147395912	2	-1.9371
499cad1d-5d42-4834-8b88-42aec6523e07	5	147395936	168114143	13389	0.0298
499cad1d-5d42-4834-8b88-42aec6523e07	5	168114145	168115583	2	-2.2877
499cad1d-5d42-4834-8b88-42aec6523e07	5	168115651	180934240	7395	0.0476
499cad1d-5d42-4834-8b88-42aec6523e07	6	1011760	40638777	23804	-0.5715
499cad1d-5d42-4834-8b88-42aec6523e07	6	40639469	40641321	3	-0.0586
499cad1d-5d42-4834-8b88-42aec6523e07	6	40642962	41033780	296	1.0873
499cad1d-5d42-4834-8b88-42aec6523e07	6	41034456	41082156	35	0.3427
499cad1d-5d42-4834-8b88-42aec6523e07	6	41085953	41093854	6	1.1575
499cad1d-5d42-4834-8b88-42aec6523e07	6	41095101	41216121	59	0.4463
499cad1d-5d42-4834-8b88-42aec6523e07	6	41216773	43070353	1052	1.069
499cad1d-5d42-4834-8b88-42aec6523e07	6	43070365	43071350	8	0.2943
499cad1d-5d42-4834-8b88-42aec6523e07	6	43071679	43188916	49	1.0682
499cad1d-5d42-4834-8b88-42aec6523e07	6	43190151	44667851	854	0.4672
499cad1d-5d42-4834-8b88-42aec6523e07	6	44669077	44729376	45	1.0221
499cad1d-5d42-4834-8b88-42aec6523e07	6	44730528	44763231	13	0.4746
499cad1d-5d42-4834-8b88-42aec6523e07	6	44768798	45980842	677	1.053
499cad1d-5d42-4834-8b88-42aec6523e07	6	46109269	46958100	559	0.4398
499cad1d-5d42-4834-8b88-42aec6523e07	6	46960032	46960083	2	2.0214
499cad1d-5d42-4834-8b88-42aec6523e07	6	46963821	47341375	298	0.4642
499cad1d-5d42-4834-8b88-42aec6523e07	6	47346708	48111282	483	1.0445
499cad1d-5d42-4834-8b88-42aec6523e07	6	48115272	50237502	1073	0.4291
499cad1d-5d42-4834-8b88-42aec6523e07	6	50241170	50391548	89	1.0905
499cad1d-5d42-4834-8b88-42aec6523e07	6	50397004	50483299	46	0.4871
499cad1d-5d42-4834-8b88-42aec6523e07	6	50483802	50524232	16	1.0529
499cad1d-5d42-4834-8b88-42aec6523e07	6	50524292	57347009	4228	0.433
499cad1d-5d42-4834-8b88-42aec6523e07	6	61527062	170596889	62387	0.0004
499cad1d-5d42-4834-8b88-42aec6523e07	7	664936	6416236	2145	0.0349
499cad1d-5d42-4834-8b88-42aec6523e07	7	6422572	6423015	3	-2.3272
499cad1d-5d42-4834-8b88-42aec6523e07	7	6423420	76051187	35965	0.0138
499cad1d-5d42-4834-8b88-42aec6523e07	7	76051776	136252489	31488	-0.0039
499cad1d-5d42-4834-8b88-42aec6523e07	7	136254152	158592540	11583	0.02
499cad1d-5d42-4834-8b88-42aec6523e07	8	667625	5335408	2525	-0.5793
499cad1d-5d42-4834-8b88-42aec6523e07	8	5335985	5336475	2	-6.6511
499cad1d-5d42-4834-8b88-42aec6523e07	8	5336676	16017398	5232	-0.5763
499cad1d-5d42-4834-8b88-42aec6523e07	8	16017656	144182542	73580	0.0072
499cad1d-5d42-4834-8b88-42aec6523e07	9	789794	33689730	20310	-0.0248
499cad1d-5d42-4834-8b88-42aec6523e07	9	33693890	104868614	26890	0.0097
499cad1d-5d42-4834-8b88-42aec6523e07	9	104868630	104899280	58	0.5586
499cad1d-5d42-4834-8b88-42aec6523e07	9	104899837	112962191	5661	0.014
499cad1d-5d42-4834-8b88-42aec6523e07	9	112962210	112962269	2	-2.2237
499cad1d-5d42-4834-8b88-42aec6523e07	9	112966137	138044505	14825	0.0241
499cad1d-5d42-4834-8b88-42aec6523e07	10	366509	29177447	20022	-0.0726
499cad1d-5d42-4834-8b88-42aec6523e07	10	29179279	29179300	2	-2.1182
499cad1d-5d42-4834-8b88-42aec6523e07	10	29179450	37380855	5354	-0.0451
499cad1d-5d42-4834-8b88-42aec6523e07	10	37381441	133411599	55104	0.0094
499cad1d-5d42-4834-8b88-42aec6523e07	11	456012	134272740	76777	0.0036
499cad1d-5d42-4834-8b88-42aec6523e07	12	780472	8528534	4323	0.0299
499cad1d-5d42-4834-8b88-42aec6523e07	12	8531510	8555807	15	-0.5468
499cad1d-5d42-4834-8b88-42aec6523e07	12	8556991	9046429	263	0
499cad1d-5d42-4834-8b88-42aec6523e07	12	9052434	9232043	102	-0.5582
499cad1d-5d42-4834-8b88-42aec6523e07	12	9233614	38849391	14828	0.0005
499cad1d-5d42-4834-8b88-42aec6523e07	12	38850359	43494169	2521	-0.2544
499cad1d-5d42-4834-8b88-42aec6523e07	12	43499197	43984978	241	1.1382
499cad1d-5d42-4834-8b88-42aec6523e07	12	43987486	44041395	34	-0.1755
499cad1d-5d42-4834-8b88-42aec6523e07	12	44045970	44051743	5	1.1903
499cad1d-5d42-4834-8b88-42aec6523e07	12	44054046	44078648	17	0.0825
499cad1d-5d42-4834-8b88-42aec6523e07	12	44082214	44094953	10	1.0927
499cad1d-5d42-4834-8b88-42aec6523e07	12	44095149	45179837	618	-0.2312
499cad1d-5d42-4834-8b88-42aec6523e07	12	45181461	45201205	11	1.1318
499cad1d-5d42-4834-8b88-42aec6523e07	12	45202527	45302730	53	0.5618
499cad1d-5d42-4834-8b88-42aec6523e07	12	45304792	45311350	7	0.9162
499cad1d-5d42-4834-8b88-42aec6523e07	12	45315836	46096305	433	-0.2605
499cad1d-5d42-4834-8b88-42aec6523e07	12	46101811	46655248	316	-0.0017
499cad1d-5d42-4834-8b88-42aec6523e07	12	46655379	46794256	92	-0.2295
499cad1d-5d42-4834-8b88-42aec6523e07	12	46795549	47096048	172	1.3262
499cad1d-5d42-4834-8b88-42aec6523e07	12	47098289	47131644	29	0.3454
499cad1d-5d42-4834-8b88-42aec6523e07	12	47132035	47135062	8	0.0227
