GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	3301765	8583948	3312	0.0295
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	8591566	9080019	269	0.5401
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	9081253	27308826	9418	0.029
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	27314904	27345434	15	0.8395
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	27353201	27597287	74	0.4939
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	27605187	30940106	1815	0.0268
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	30943162	30945463	2	-1.5876
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	30947040	36195212	2671	0.0344
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	36204302	36233169	13	0.5338
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	36239290	48783733	6953	0.0184
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	48786784	48914586	103	-0.1977
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	48915023	53464046	2062	0.0107
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	53468174	53759199	235	0.5475
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	53761695	112709921	36621	0.0081
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	112711645	112711862	2	-3.0147
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	112721619	114677962	1101	0.004
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	114681879	114683173	2	-1.3006
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	114684872	150051427	3449	0.015
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	150053851	150533787	124	0.5327
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	150544285	153653450	1615	0.023
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	153654379	154265907	223	0.2224
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	154266807	155051833	435	0.0069
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	155058900	155317731	110	0.9199
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	155330989	155474904	64	0.5183
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	155478333	155602916	49	0.8644
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	155608225	167019041	7642	0.0163
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	167022989	167559675	410	0.4602
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	167560100	224750258	36289	0.0061
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	224753435	224781147	23	-0.795
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	1	224781757	247650984	14461	0.0151
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	480597	41483417	24427	0.0117
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	41487113	41885580	372	0.541
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	41885647	42419010	352	0.6753
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	42423068	42773076	189	0.5384
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	42788579	47096155	3016	0.0039
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	47111792	47751907	361	0.4893
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	47754957	70029123	12567	0.0097
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	70031855	70198457	83	0.5244
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	70200325	85681903	8387	0.0097
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	85683010	86412951	351	0.5328
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	86416624	127000322	16787	0.0144
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	127000916	128217305	597	0.533
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	128217568	141607528	6798	0.0144
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	141609829	141785113	167	0.5045
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	141785204	177503454	21168	0.0015
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	177503772	178041236	332	0.1661
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	178048057	225237313	26501	0.0002
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	225238955	225278530	28	0.483
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	225279188	232597385	4031	0.0094
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	232601052	232797634	91	0.5503
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	2	232798183	241537572	5439	0.017
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	3	2170634	117447746	64415	0.0093
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	3	117448124	117512904	47	0.5318
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	3	117513540	180923141	33791	0.0079
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	3	180927196	183058822	1115	-0.856
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	3	183061011	195428692	7224	0.0157
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	3	196017117	196770477	293	-0.8659
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	3	197242908	197812401	152	0.0197
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	1059384	1777074	226	-0.0077
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	1790291	1802549	10	0.6263
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	1814963	4817681	1366	0.0155
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	4817838	6687929	1443	0.0586
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	6690706	73370488	37038	0.0104
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	73371286	73434824	37	0.5252
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	73434893	77554625	2646	-0.0011
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	77559026	77559056	2	-1.7515
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	77564299	83751782	3644	-0.0036
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	83755811	83779940	18	0.5329
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	4	83781254	187842528	56924	0.0053
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	913983	1315228	68	0.9791
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	1321758	2693489	730	-0.9646
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	2696239	2847055	140	2.0293
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	2847643	3050777	164	2.2992
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	3107747	3266242	197	1.7775
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	3266646	3403367	121	0.988
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	3404782	3655690	221	-0.9518
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	3671100	4332056	488	0.9617
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	4335843	4352164	18	-0.8896
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	4352420	4357160	3	0.5091
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	4357924	5680888	1137	-0.9258
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	5715019	5736528	14	1.3998
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	5745075	6179514	377	-0.8661
1387b6c7-48fe-4961-86a7-0bdcbd3fef92	5	6179658	6500082	257	2.2387
