GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e79049b4-162c-40c3-b550-d4961c03fa52	1	3301765	5646537	1661	-0.4807
e79049b4-162c-40c3-b550-d4961c03fa52	1	5647102	5647439	4	-4.2764
e79049b4-162c-40c3-b550-d4961c03fa52	1	5647455	9244672	1993	-0.4984
e79049b4-162c-40c3-b550-d4961c03fa52	1	9247978	9475765	80	-0.0749
e79049b4-162c-40c3-b550-d4961c03fa52	1	9478595	16398666	3501	-0.4803
e79049b4-162c-40c3-b550-d4961c03fa52	1	16399755	54869173	20262	-0.0207
e79049b4-162c-40c3-b550-d4961c03fa52	1	54870424	67402376	9165	0.016
e79049b4-162c-40c3-b550-d4961c03fa52	1	67407098	67610858	154	0.2928
e79049b4-162c-40c3-b550-d4961c03fa52	1	67612253	67671411	51	-0.1289
e79049b4-162c-40c3-b550-d4961c03fa52	1	67671862	146716041	31088	0.0114
e79049b4-162c-40c3-b550-d4961c03fa52	1	149906351	151266930	472	-0.0811
e79049b4-162c-40c3-b550-d4961c03fa52	1	151268066	151498967	88	0.2773
e79049b4-162c-40c3-b550-d4961c03fa52	1	151500420	186370873	22129	0.0182
e79049b4-162c-40c3-b550-d4961c03fa52	1	186371948	187261000	544	0.3637
e79049b4-162c-40c3-b550-d4961c03fa52	1	187261022	187941859	475	0.0016
e79049b4-162c-40c3-b550-d4961c03fa52	1	187943127	187994539	29	0.451
e79049b4-162c-40c3-b550-d4961c03fa52	1	187994961	188030463	21	-0.0962
e79049b4-162c-40c3-b550-d4961c03fa52	1	188030927	188204655	129	0.3614
e79049b4-162c-40c3-b550-d4961c03fa52	1	188211490	189016229	458	0.0414
e79049b4-162c-40c3-b550-d4961c03fa52	1	189020102	189275030	155	0.3944
e79049b4-162c-40c3-b550-d4961c03fa52	1	189279798	189630137	46	-0.0135
e79049b4-162c-40c3-b550-d4961c03fa52	1	189635482	199851354	5975	0.361
e79049b4-162c-40c3-b550-d4961c03fa52	1	199851681	237095547	24407	0.3215
e79049b4-162c-40c3-b550-d4961c03fa52	1	237095946	247650984	6595	0.3441
e79049b4-162c-40c3-b550-d4961c03fa52	2	480597	100003255	52632	0.2077
e79049b4-162c-40c3-b550-d4961c03fa52	2	100006736	100352605	235	0.3592
e79049b4-162c-40c3-b550-d4961c03fa52	2	100354123	140869731	20940	0.2078
e79049b4-162c-40c3-b550-d4961c03fa52	2	140880811	141084430	146	-0.1359
e79049b4-162c-40c3-b550-d4961c03fa52	2	141088432	141148534	42	-0.7707
e79049b4-162c-40c3-b550-d4961c03fa52	2	141150683	141327726	101	0.0578
e79049b4-162c-40c3-b550-d4961c03fa52	2	141327831	141456147	86	-0.303
e79049b4-162c-40c3-b550-d4961c03fa52	2	141456317	211298416	39377	0.1966
e79049b4-162c-40c3-b550-d4961c03fa52	2	211299558	213145987	1198	0.0141
e79049b4-162c-40c3-b550-d4961c03fa52	2	213146692	231147661	11174	0.1885
e79049b4-162c-40c3-b550-d4961c03fa52	2	231148590	231197500	26	0.6035
e79049b4-162c-40c3-b550-d4961c03fa52	2	231206516	236014840	2876	0.1781
e79049b4-162c-40c3-b550-d4961c03fa52	2	236015403	241537572	3217	-0.0347
e79049b4-162c-40c3-b550-d4961c03fa52	3	2170634	3254031	524	-0.4208
e79049b4-162c-40c3-b550-d4961c03fa52	3	3255909	3495042	246	-0.6906
e79049b4-162c-40c3-b550-d4961c03fa52	3	3496652	51588713	27680	-0.4224
e79049b4-162c-40c3-b550-d4961c03fa52	3	51589542	51591066	2	-2.8702
e79049b4-162c-40c3-b550-d4961c03fa52	3	51593852	61141148	5124	-0.4239
e79049b4-162c-40c3-b550-d4961c03fa52	3	61141532	61142344	3	-2.2457
e79049b4-162c-40c3-b550-d4961c03fa52	3	61145227	102106971	21656	-0.4244
e79049b4-162c-40c3-b550-d4961c03fa52	3	102107777	102108710	2	-3.3925
e79049b4-162c-40c3-b550-d4961c03fa52	3	102111504	148740123	25959	-0.4279
e79049b4-162c-40c3-b550-d4961c03fa52	3	148745514	148867677	108	0.1448
e79049b4-162c-40c3-b550-d4961c03fa52	3	148868540	178173951	15050	-0.4209
e79049b4-162c-40c3-b550-d4961c03fa52	3	178174185	178179058	2	-2.9722
e79049b4-162c-40c3-b550-d4961c03fa52	3	178179114	197812401	10305	-0.4266
e79049b4-162c-40c3-b550-d4961c03fa52	4	1059384	7001979	3215	0.3229
e79049b4-162c-40c3-b550-d4961c03fa52	4	7002280	7087259	74	0.8054
e79049b4-162c-40c3-b550-d4961c03fa52	4	7091790	17546221	6994	0.3414
e79049b4-162c-40c3-b550-d4961c03fa52	4	17546335	180318923	89574	0.0072
e79049b4-162c-40c3-b550-d4961c03fa52	4	180318981	181170142	256	-0.4779
e79049b4-162c-40c3-b550-d4961c03fa52	4	181170296	182614883	1147	-0.1304
e79049b4-162c-40c3-b550-d4961c03fa52	4	183286625	186773055	1473	-0.0405
e79049b4-162c-40c3-b550-d4961c03fa52	4	186777739	186869239	59	-0.577
e79049b4-162c-40c3-b550-d4961c03fa52	4	186871959	187842528	549	-0.0174
e79049b4-162c-40c3-b550-d4961c03fa52	5	913983	14035453	8979	0.032
e79049b4-162c-40c3-b550-d4961c03fa52	5	14039435	14039538	2	-2.2735
e79049b4-162c-40c3-b550-d4961c03fa52	5	14042267	118341014	54034	0.0236
e79049b4-162c-40c3-b550-d4961c03fa52	5	118341174	126531272	4803	0.0034
e79049b4-162c-40c3-b550-d4961c03fa52	5	126533745	126533751	2	-1.9617
e79049b4-162c-40c3-b550-d4961c03fa52	5	126536376	133974338	4265	-0.0119
e79049b4-162c-40c3-b550-d4961c03fa52	5	133980091	134163914	119	0.3036
e79049b4-162c-40c3-b550-d4961c03fa52	5	134167308	143813761	5508	-0.0185
e79049b4-162c-40c3-b550-d4961c03fa52	5	143813843	170278157	17419	0.0165
e79049b4-162c-40c3-b550-d4961c03fa52	5	170281687	170323154	2	-2.3474
e79049b4-162c-40c3-b550-d4961c03fa52	5	170323435	173556276	1909	-0.0016
e79049b4-162c-40c3-b550-d4961c03fa52	5	173556350	173817307	260	0.3395
e79049b4-162c-40c3-b550-d4961c03fa52	5	173818617	180934240	3606	-0.01
e79049b4-162c-40c3-b550-d4961c03fa52	6	1011760	2209505	904	-0.1641
e79049b4-162c-40c3-b550-d4961c03fa52	6	2209626	2472379	169	-0.6222
e79049b4-162c-40c3-b550-d4961c03fa52	6	2472677	2473809	3	-4.5092
e79049b4-162c-40c3-b550-d4961c03fa52	6	2474503	3446690	723	-0.6935
e79049b4-162c-40c3-b550-d4961c03fa52	6	3446708	3452011	5	-2.2391
e79049b4-162c-40c3-b550-d4961c03fa52	6	3452785	4948793	960	-0.6755
e79049b4-162c-40c3-b550-d4961c03fa52	6	4951189	7153392	1752	-0.1501
e79049b4-162c-40c3-b550-d4961c03fa52	6	7153500	8483905	968	-0.6881
e79049b4-162c-40c3-b550-d4961c03fa52	6	8484396	11254916	1703	-0.1351
e79049b4-162c-40c3-b550-d4961c03fa52	6	11255125	12600711	1126	0.209
e79049b4-162c-40c3-b550-d4961c03fa52	6	12600921	16138507	2419	-0.2247
e79049b4-162c-40c3-b550-d4961c03fa52	6	16142128	20739788	3198	-0.6713
e79049b4-162c-40c3-b550-d4961c03fa52	6	20741550	22695254	1418	-0.1377
e79049b4-162c-40c3-b550-d4961c03fa52	6	22701631	26190100	2200	0.2162
e79049b4-162c-40c3-b550-d4961c03fa52	6	26197579	26250026	35	-0.2676
e79049b4-162c-40c3-b550-d4961c03fa52	6	26251373	32899215	1718	0.1476
e79049b4-162c-40c3-b550-d4961c03fa52	6	32901268	36960034	2114	-0.1803
e79049b4-162c-40c3-b550-d4961c03fa52	6	36961231	37274113	199	0.0852
e79049b4-162c-40c3-b550-d4961c03fa52	6	37275165	41218620	2861	-0.1608
e79049b4-162c-40c3-b550-d4961c03fa52	6	41222106	41226885	3	-1.4006
e79049b4-162c-40c3-b550-d4961c03fa52	6	41227682	41345738	107	-0.1579
e79049b4-162c-40c3-b550-d4961c03fa52	6	41347498	41352727	2	-2.0092
e79049b4-162c-40c3-b550-d4961c03fa52	6	41353481	46432639	2788	-0.1591
e79049b4-162c-40c3-b550-d4961c03fa52	6	46433433	47111880	491	0.0202
e79049b4-162c-40c3-b550-d4961c03fa52	6	47112791	49240494	1207	-0.1363
e79049b4-162c-40c3-b550-d4961c03fa52	6	49241793	51120809	1032	0.0108
e79049b4-162c-40c3-b550-d4961c03fa52	6	51230728	53302013	1433	-0.149
e79049b4-162c-40c3-b550-d4961c03fa52	6	53307961	104495548	26025	0.0129
e79049b4-162c-40c3-b550-d4961c03fa52	6	104495875	109421257	3029	-0.0263
e79049b4-162c-40c3-b550-d4961c03fa52	6	109421748	110123100	444	0.0185
e79049b4-162c-40c3-b550-d4961c03fa52	6	110127263	110128586	2	-1.8121
e79049b4-162c-40c3-b550-d4961c03fa52	6	110129072	151551365	24885	0.005
e79049b4-162c-40c3-b550-d4961c03fa52	6	151551828	151811814	190	0.364
e79049b4-162c-40c3-b550-d4961c03fa52	6	151811970	170596889	10784	-0.0065
e79049b4-162c-40c3-b550-d4961c03fa52	7	664936	6727724	2292	-0.1998
e79049b4-162c-40c3-b550-d4961c03fa52	7	6727754	16701655	5964	-0.1407
e79049b4-162c-40c3-b550-d4961c03fa52	7	16704788	17879758	306	-0.1874
e79049b4-162c-40c3-b550-d4961c03fa52	7	17879870	17883000	2	-2.2886
e79049b4-162c-40c3-b550-d4961c03fa52	7	17883360	51010299	21240	-0.1491
e79049b4-162c-40c3-b550-d4961c03fa52	7	51012153	51013280	2	-2.488
e79049b4-162c-40c3-b550-d4961c03fa52	7	51013400	56633285	3669	-0.1457
e79049b4-162c-40c3-b550-d4961c03fa52	7	56634561	72478168	4083	0.0258
e79049b4-162c-40c3-b550-d4961c03fa52	7	72478184	76054230	816	-0.0685
e79049b4-162c-40c3-b550-d4961c03fa52	7	76058273	76185458	38	0.27
e79049b4-162c-40c3-b550-d4961c03fa52	7	76185639	77408218	291	-0.0759
e79049b4-162c-40c3-b550-d4961c03fa52	7	77408963	100364181	12209	-0.0012
e79049b4-162c-40c3-b550-d4961c03fa52	7	100365876	100799818	113	0.3375
e79049b4-162c-40c3-b550-d4961c03fa52	7	100807205	102838083	682	-0.0981
e79049b4-162c-40c3-b550-d4961c03fa52	7	102839770	110864949	4735	-0.0004
e79049b4-162c-40c3-b550-d4961c03fa52	7	110865167	110912761	28	-0.4451
e79049b4-162c-40c3-b550-d4961c03fa52	7	110915894	127774552	8878	-0.0017
e79049b4-162c-40c3-b550-d4961c03fa52	7	127776433	130120334	1027	-0.0598
e79049b4-162c-40c3-b550-d4961c03fa52	7	130127796	130348534	123	0.56
e79049b4-162c-40c3-b550-d4961c03fa52	7	130357890	146800935	8987	-0.0154
e79049b4-162c-40c3-b550-d4961c03fa52	7	146802033	147330791	339	-0.2948
e79049b4-162c-40c3-b550-d4961c03fa52	7	147331063	158592540	5964	-0.0345
e79049b4-162c-40c3-b550-d4961c03fa52	8	667625	130224821	73710	0.3421
e79049b4-162c-40c3-b550-d4961c03fa52	8	130229050	130546160	210	0.6299
e79049b4-162c-40c3-b550-d4961c03fa52	8	130549968	144182542	8193	0.3404
e79049b4-162c-40c3-b550-d4961c03fa52	9	789794	8815390	5041	-0.4594
e79049b4-162c-40c3-b550-d4961c03fa52	9	8815681	9737503	476	-0.6573
e79049b4-162c-40c3-b550-d4961c03fa52	9	9737952	37975235	17326	-0.439
e79049b4-162c-40c3-b550-d4961c03fa52	9	37982919	38169572	131	-0.0242
e79049b4-162c-40c3-b550-d4961c03fa52	9	38173018	38284237	69	1.1342
e79049b4-162c-40c3-b550-d4961c03fa52	9	38284570	38520231	201	1.2984
e79049b4-162c-40c3-b550-d4961c03fa52	9	38520414	38752071	215	1.0647
e79049b4-162c-40c3-b550-d4961c03fa52	9	68423153	68437540	11	0.2526
e79049b4-162c-40c3-b550-d4961c03fa52	9	68443275	111378605	28961	0.021
e79049b4-162c-40c3-b550-d4961c03fa52	9	111382059	111945101	354	0.2669
e79049b4-162c-40c3-b550-d4961c03fa52	9	111945114	114980364	1899	0.0196
e79049b4-162c-40c3-b550-d4961c03fa52	9	114982786	116491497	1017	0.3577
e79049b4-162c-40c3-b550-d4961c03fa52	9	116495494	117240262	667	0.0307
e79049b4-162c-40c3-b550-d4961c03fa52	9	117242086	120167042	2281	0.364
e79049b4-162c-40c3-b550-d4961c03fa52	9	120168897	136402033	9179	0.31
e79049b4-162c-40c3-b550-d4961c03fa52	9	136406095	138044505	450	-0.4923
e79049b4-162c-40c3-b550-d4961c03fa52	10	366509	32131146	22374	-0.0131
e79049b4-162c-40c3-b550-d4961c03fa52	10	32131163	32505088	229	0.1711
e79049b4-162c-40c3-b550-d4961c03fa52	10	32513184	35451536	1724	0.0064
e79049b4-162c-40c3-b550-d4961c03fa52	10	35456293	42450960	1885	0.2986
e79049b4-162c-40c3-b550-d4961c03fa52	10	42452522	46041001	2014	0.0233
e79049b4-162c-40c3-b550-d4961c03fa52	10	47084490	49479088	1237	0.4785
e79049b4-162c-40c3-b550-d4961c03fa52	10	49480515	124014262	46402	0.3465
e79049b4-162c-40c3-b550-d4961c03fa52	10	124021299	124468455	215	0.0041
e79049b4-162c-40c3-b550-d4961c03fa52	10	124469139	124756732	195	0.317
e79049b4-162c-40c3-b550-d4961c03fa52	10	124757376	124936631	69	0.6869
e79049b4-162c-40c3-b550-d4961c03fa52	10	124938318	133411599	4847	0.3588
e79049b4-162c-40c3-b550-d4961c03fa52	11	456012	3943357	1191	-0.046
e79049b4-162c-40c3-b550-d4961c03fa52	11	3943575	60771911	31967	0.0163
e79049b4-162c-40c3-b550-d4961c03fa52	11	60772344	74164928	5592	-0.0366
e79049b4-162c-40c3-b550-d4961c03fa52	11	74165598	100098143	15911	0.0136
e79049b4-162c-40c3-b550-d4961c03fa52	11	100101349	116561953	10522	-0.4265
e79049b4-162c-40c3-b550-d4961c03fa52	11	116562995	116579468	15	-1.1756
e79049b4-162c-40c3-b550-d4961c03fa52	11	116581817	134272740	12105	-0.4467
e79049b4-162c-40c3-b550-d4961c03fa52	12	780472	10163198	5150	0.3313
e79049b4-162c-40c3-b550-d4961c03fa52	12	10176036	10176099	2	-1.3212
e79049b4-162c-40c3-b550-d4961c03fa52	12	10204175	45565587	18253	0.3461
e79049b4-162c-40c3-b550-d4961c03fa52	12	45565719	53205527	4078	0.2997
e79049b4-162c-40c3-b550-d4961c03fa52	12	53205556	53360937	81	0.5088
e79049b4-162c-40c3-b550-d4961c03fa52	12	53365012	57889602	2288	0.2948
e79049b4-162c-40c3-b550-d4961c03fa52	12	57890772	109628262	32241	0.3408
e79049b4-162c-40c3-b550-d4961c03fa52	12	109629564	112502379	1331	0.2507
e79049b4-162c-40c3-b550-d4961c03fa52	12	112502394	119815066	4884	0.3337
e79049b4-162c-40c3-b550-d4961c03fa52	12	119815305	120886312	499	0.2628
e79049b4-162c-40c3-b550-d4961c03fa52	12	120886614	122765973	830	0.1211
e79049b4-162c-40c3-b550-d4961c03fa52	12	122768593	123041632	103	0.6069
e79049b4-162c-40c3-b550-d4961c03fa52	12	123044257	132605822	4537	0.2063
e79049b4-162c-40c3-b550-d4961c03fa52	13	18874255	112323357	55934	-0.4349
e79049b4-162c-40c3-b550-d4961c03fa52	13	112323614	112323916	2	-3.2389
e79049b4-162c-40c3-b550-d4961c03fa52	13	112324023	114226675	711	-0.494
e79049b4-162c-40c3-b550-d4961c03fa52	14	20033191	105533894	49724	0.3527
e79049b4-162c-40c3-b550-d4961c03fa52	15	23437561	40439126	8590	0.0174
e79049b4-162c-40c3-b550-d4961c03fa52	15	40443350	71112564	18609	-0.4382
e79049b4-162c-40c3-b550-d4961c03fa52	15	71114206	101344124	17438	-0.0003
e79049b4-162c-40c3-b550-d4961c03fa52	16	603333	4924000	1584	-0.0592
e79049b4-162c-40c3-b550-d4961c03fa52	16	4927449	10095664	3356	0.0305
e79049b4-162c-40c3-b550-d4961c03fa52	16	10097751	31561782	8931	-0.013
e79049b4-162c-40c3-b550-d4961c03fa52	16	31564788	56651168	6919	0.0179
e79049b4-162c-40c3-b550-d4961c03fa52	16	56653148	56698273	34	0.415
e79049b4-162c-40c3-b550-d4961c03fa52	16	56704953	59153657	1460	-0.0312
e79049b4-162c-40c3-b550-d4961c03fa52	16	59153764	66104269	4613	0.0379
e79049b4-162c-40c3-b550-d4961c03fa52	16	66104545	69316258	1498	-0.0407
e79049b4-162c-40c3-b550-d4961c03fa52	16	69317007	69528798	104	0.3421
e79049b4-162c-40c3-b550-d4961c03fa52	16	69529939	78653756	5500	0.0089
e79049b4-162c-40c3-b550-d4961c03fa52	16	78657012	78715786	69	-0.2511
e79049b4-162c-40c3-b550-d4961c03fa52	16	78716991	83932831	4503	0.0362
e79049b4-162c-40c3-b550-d4961c03fa52	16	83934710	86092698	837	-0.0539
e79049b4-162c-40c3-b550-d4961c03fa52	16	86095818	89317317	1705	0.0166
e79049b4-162c-40c3-b550-d4961c03fa52	17	1074619	27201129	9745	-0.4447
e79049b4-162c-40c3-b550-d4961c03fa52	17	27208042	31524217	1858	-0.7614
e79049b4-162c-40c3-b550-d4961c03fa52	17	31525074	31545612	10	-3.0525
e79049b4-162c-40c3-b550-d4961c03fa52	17	31547530	37361579	2728	-0.8447
e79049b4-162c-40c3-b550-d4961c03fa52	17	37363057	39814112	966	-0.4507
e79049b4-162c-40c3-b550-d4961c03fa52	17	39854562	40237596	155	-0.0292
e79049b4-162c-40c3-b550-d4961c03fa52	17	40241375	44208669	1910	-0.4452
e79049b4-162c-40c3-b550-d4961c03fa52	17	44210151	44211293	2	-2.5637
e79049b4-162c-40c3-b550-d4961c03fa52	17	44216242	50104076	2215	-0.4305
e79049b4-162c-40c3-b550-d4961c03fa52	17	50104193	50198891	46	-0.0322
e79049b4-162c-40c3-b550-d4961c03fa52	17	50208408	50579703	206	-0.4317
e79049b4-162c-40c3-b550-d4961c03fa52	17	50582045	75651788	14261	0.3247
e79049b4-162c-40c3-b550-d4961c03fa52	17	75654606	75853501	80	0.6604
e79049b4-162c-40c3-b550-d4961c03fa52	17	75882548	76613603	331	0.2846
e79049b4-162c-40c3-b550-d4961c03fa52	17	76617862	76619567	6	-0.594
e79049b4-162c-40c3-b550-d4961c03fa52	17	76622771	82959812	2605	0.2776
e79049b4-162c-40c3-b550-d4961c03fa52	18	326691	3978547	1663	-0.4311
e79049b4-162c-40c3-b550-d4961c03fa52	18	3981292	3983550	3	-2.6215
e79049b4-162c-40c3-b550-d4961c03fa52	18	3984592	77020484	39597	-0.4335
e79049b4-162c-40c3-b550-d4961c03fa52	18	77023590	77025986	3	-2.6913
e79049b4-162c-40c3-b550-d4961c03fa52	18	77026100	79349796	1433	-0.4422
e79049b4-162c-40c3-b550-d4961c03fa52	19	283868	1728502	290	0.3378
e79049b4-162c-40c3-b550-d4961c03fa52	19	1731832	21726197	7767	0.4698
e79049b4-162c-40c3-b550-d4961c03fa52	19	21727765	22600597	298	0.5951
e79049b4-162c-40c3-b550-d4961c03fa52	19	22600677	23684346	561	0.4901
e79049b4-162c-40c3-b550-d4961c03fa52	19	23688356	23752883	35	0.2773
e79049b4-162c-40c3-b550-d4961c03fa52	19	23753941	28804412	885	0.5642
e79049b4-162c-40c3-b550-d4961c03fa52	19	28804682	28808537	2	-0.8099
e79049b4-162c-40c3-b550-d4961c03fa52	19	28811794	32507901	2719	0.5576
e79049b4-162c-40c3-b550-d4961c03fa52	19	32509870	45680448	6319	0.4874
e79049b4-162c-40c3-b550-d4961c03fa52	19	45683614	45915628	78	0.9268
e79049b4-162c-40c3-b550-d4961c03fa52	19	45916046	56845026	4366	0.4932
e79049b4-162c-40c3-b550-d4961c03fa52	19	56845606	57117284	204	0.8994
e79049b4-162c-40c3-b550-d4961c03fa52	19	57117759	58370362	624	0.5125
e79049b4-162c-40c3-b550-d4961c03fa52	20	472817	2388855	1286	0.0045
e79049b4-162c-40c3-b550-d4961c03fa52	20	2389815	2392527	2	-1.9568
e79049b4-162c-40c3-b550-d4961c03fa52	20	2392644	5224728	1679	0.005
e79049b4-162c-40c3-b550-d4961c03fa52	20	5227905	13677035	5569	0.0426
e79049b4-162c-40c3-b550-d4961c03fa52	20	13681330	13684511	2	-1.7434
e79049b4-162c-40c3-b550-d4961c03fa52	20	13686673	23117410	6808	0.0281
e79049b4-162c-40c3-b550-d4961c03fa52	20	23118559	25030633	1099	0.0105
e79049b4-162c-40c3-b550-d4961c03fa52	20	25030787	37596422	3563	-0.0294
e79049b4-162c-40c3-b550-d4961c03fa52	20	37596571	60309311	15648	0.01
e79049b4-162c-40c3-b550-d4961c03fa52	20	60310100	60310619	2	-1.9266
e79049b4-162c-40c3-b550-d4961c03fa52	20	60310633	63588502	1827	-0.0034
e79049b4-162c-40c3-b550-d4961c03fa52	21	13974127	17058241	1901	-0.1566
e79049b4-162c-40c3-b550-d4961c03fa52	21	17058852	28800079	7572	-0.3867
e79049b4-162c-40c3-b550-d4961c03fa52	21	28800978	28805561	5	-2.128
e79049b4-162c-40c3-b550-d4961c03fa52	21	28805954	33271196	2879	-0.418
e79049b4-162c-40c3-b550-d4961c03fa52	21	33271869	37541990	2674	0.0019
e79049b4-162c-40c3-b550-d4961c03fa52	21	37542055	42081374	3704	0.0482
e79049b4-162c-40c3-b550-d4961c03fa52	21	42081429	46262057	1786	0.0025
e79049b4-162c-40c3-b550-d4961c03fa52	22	16934932	35766523	9108	-0.4594
e79049b4-162c-40c3-b550-d4961c03fa52	22	35768392	37234822	825	-0.2426
e79049b4-162c-40c3-b550-d4961c03fa52	22	37241139	40740215	1541	-0.4781
e79049b4-162c-40c3-b550-d4961c03fa52	22	40748383	40780559	15	0.2747
e79049b4-162c-40c3-b550-d4961c03fa52	22	40787065	48940621	5449	-0.4798
e79049b4-162c-40c3-b550-d4961c03fa52	X	3236359	129052779	51753	0.0462
e79049b4-162c-40c3-b550-d4961c03fa52	X	129052918	129055018	5	-3.4414
e79049b4-162c-40c3-b550-d4961c03fa52	X	129055634	155677414	11720	0.0078
