GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	3301765	31445124	15098	-0.1345
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	31446170	31544633	40	0.297
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	31544989	31550869	7	0.7516
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	31552392	31628660	35	0.3276
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	31632609	48043381	8784	-0.1365
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	48043487	56020144	4371	-0.1893
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	56020661	99681022	27506	-0.2392
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	99682647	99683312	2	-2.3213
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	99683716	108114077	4717	-0.2526
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	108114206	111233355	1622	-0.1678
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	111235846	111237508	2	-2.0045
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	111237559	149907993	5540	-0.2079
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	149909846	157157326	3392	-0.1427
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	157157506	158580102	975	-0.2116
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	158580290	158588352	4	-2.6587
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	158588375	162555148	2454	-0.1773
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	162563793	162715228	131	0.5319
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	162715574	200710954	24027	-0.228
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	200712793	207945603	4523	-0.1594
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	207945851	209248964	1033	-0.2373
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	209249147	209266835	10	-1.1254
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	209271484	213375446	2703	-0.2089
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	213375841	220575490	5012	-0.2639
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	220576296	220581817	3	-2.1886
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	220582893	229817623	5309	-0.2086
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	229819622	229820733	2	-2.2961
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	229820936	236205408	4372	-0.2069
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	236206323	239972472	2971	-0.2619
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	239972633	239973849	3	-1.719
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	239974511	240961189	757	-0.2574
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	240975661	241164711	142	-0.9516
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	1	241164927	247650984	3422	-0.2286
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	480597	23523591	14979	-0.2083
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	23523930	29150041	2589	-0.1287
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	29157527	56775002	15748	-0.2107
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	56784668	56785162	2	-2.3773
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	56786046	57517510	362	-0.209
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	57521889	59991043	1551	-0.2616
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	59993682	74744258	8359	-0.1872
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	74744444	84494768	5255	-0.2409
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	84497325	101317137	4401	-0.1706
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	101321264	108174152	4241	-0.2254
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	108174707	113696452	2267	-0.1603
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	113697429	134032705	10005	-0.2143
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	134033603	136526835	1455	-0.1711
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	136528206	229442726	53245	-0.2287
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	229443387	237797094	4934	-0.1752
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	237797485	238368061	284	-0.1249
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	238371988	238382325	6	0.7084
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	238384745	240109522	974	-0.1281
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	240110703	240129181	16	-0.694
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	2	240130414	241537572	711	-0.0898
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	2170634	9482763	4289	-0.2413
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	9486190	16773251	4727	-0.1867
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	16775949	30662984	7886	-0.254
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	30664898	30664951	2	-2.4562
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	30665623	34541375	2386	-0.2263
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	34543866	34544220	2	-2.4537
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	34546376	42894615	5006	-0.2278
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	42896185	42896190	2	-2.0124
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	42902709	44860270	996	-0.2126
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	44866905	48694054	1978	-0.1533
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	48698125	48779264	27	0.3497
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	48782757	53741420	2145	-0.1468
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	53741712	124696821	38827	-0.2546
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	124697291	130515073	3153	-0.1894
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	130515259	185634894	28392	-0.2569
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	185638214	185768302	60	-2.4873
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	185768692	189137854	2403	-0.212
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	189139135	194347037	3236	-0.2562
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	3	194347325	197812401	1023	-0.1682
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	1059384	3774747	1094	0.6683
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	3775828	5951279	1405	0.5982
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	5956762	10453370	2424	0.6431
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	10460350	29313742	12821	0.5308
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	29313785	36339190	4015	0.4945
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	36340129	37260664	614	0.5386
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	37262958	40946757	2206	0.5754
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	40950344	124538250	44693	0.5133
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	124539196	124541780	3	-1.5424
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	124541870	168327619	23725	0.5118
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	168332025	168332152	2	-1.0277
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	168333259	168960814	488	0.5301
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	168967581	168969916	2	2.0829
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	168970791	181393604	6597	0.5064
67eb3b89-3122-4d46-8987-ef91c6ba1e0f	4	181395994	181404827	8	-0.4952
