GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
365fa3bc-de04-4fe3-bfe4-7564effba492	1	3301765	5646537	1654	-0.4134
365fa3bc-de04-4fe3-bfe4-7564effba492	1	5647102	5647439	4	-4.5185
365fa3bc-de04-4fe3-bfe4-7564effba492	1	5647455	17917486	6191	-0.3992
365fa3bc-de04-4fe3-bfe4-7564effba492	1	17917995	45516654	14767	-0.3727
365fa3bc-de04-4fe3-bfe4-7564effba492	1	45518681	217253635	87156	-0.4185
365fa3bc-de04-4fe3-bfe4-7564effba492	1	217253745	217254182	2	-4.1445
365fa3bc-de04-4fe3-bfe4-7564effba492	1	217254197	234658528	11035	-0.4258
365fa3bc-de04-4fe3-bfe4-7564effba492	1	234658679	234662348	5	-2.78
365fa3bc-de04-4fe3-bfe4-7564effba492	1	234665663	239972472	3809	-0.4542
365fa3bc-de04-4fe3-bfe4-7564effba492	1	239972633	239973057	2	-5.6121
365fa3bc-de04-4fe3-bfe4-7564effba492	1	239973849	247650984	4324	-0.45
365fa3bc-de04-4fe3-bfe4-7564effba492	2	480597	241537572	131429	-0.3964
365fa3bc-de04-4fe3-bfe4-7564effba492	3	2170634	7434910	2692	-0.4405
365fa3bc-de04-4fe3-bfe4-7564effba492	3	7436618	7440114	3	-2.6368
365fa3bc-de04-4fe3-bfe4-7564effba492	3	7440167	41808042	21132	-0.4378
365fa3bc-de04-4fe3-bfe4-7564effba492	3	41808789	53779205	5675	-0.375
365fa3bc-de04-4fe3-bfe4-7564effba492	3	53779645	116551572	33936	-0.4445
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116553956	116796438	203	-4.2133
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116803740	116854145	66	-2.4311
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116854969	116912596	39	-4.3891
365fa3bc-de04-4fe3-bfe4-7564effba492	3	116914094	124631591	4505	-0.426
365fa3bc-de04-4fe3-bfe4-7564effba492	3	124631772	124633881	10	-1.4902
365fa3bc-de04-4fe3-bfe4-7564effba492	3	124634136	189512415	34340	-0.4394
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189514806	189514826	2	-3.1627
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189514852	189626660	95	-0.4611
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189627067	189627325	2	-3.7919
365fa3bc-de04-4fe3-bfe4-7564effba492	3	189627750	197812401	3898	-0.4448
365fa3bc-de04-4fe3-bfe4-7564effba492	4	1059384	1094043	25	0.4562
365fa3bc-de04-4fe3-bfe4-7564effba492	4	1094484	1104127	9	0.8976
365fa3bc-de04-4fe3-bfe4-7564effba492	4	1104155	2700388	552	0.4611
365fa3bc-de04-4fe3-bfe4-7564effba492	4	2700444	2722240	15	-0.5885
365fa3bc-de04-4fe3-bfe4-7564effba492	4	2728546	10744931	4591	0.4654
365fa3bc-de04-4fe3-bfe4-7564effba492	4	10748077	14751206	3041	0.3993
365fa3bc-de04-4fe3-bfe4-7564effba492	4	14761905	14764254	3	-0.8582
365fa3bc-de04-4fe3-bfe4-7564effba492	4	14764319	28037809	8742	0.4039
365fa3bc-de04-4fe3-bfe4-7564effba492	4	28039202	34294241	3614	0.3654
365fa3bc-de04-4fe3-bfe4-7564effba492	4	34295159	35847530	891	0.3963
365fa3bc-de04-4fe3-bfe4-7564effba492	4	35849531	39318965	2427	0.4515
365fa3bc-de04-4fe3-bfe4-7564effba492	4	39320051	73696515	16411	0.3898
365fa3bc-de04-4fe3-bfe4-7564effba492	4	73701795	89534169	9651	0.4168
365fa3bc-de04-4fe3-bfe4-7564effba492	4	89534548	98316611	4681	0.3684
365fa3bc-de04-4fe3-bfe4-7564effba492	4	98319029	114529063	9278	0.406
365fa3bc-de04-4fe3-bfe4-7564effba492	4	114532641	126459182	6733	0.3849
365fa3bc-de04-4fe3-bfe4-7564effba492	4	126462231	126467900	2	-1.3966
365fa3bc-de04-4fe3-bfe4-7564effba492	4	126468395	139133222	6326	0.3706
365fa3bc-de04-4fe3-bfe4-7564effba492	4	139135885	143371004	2572	0.408
365fa3bc-de04-4fe3-bfe4-7564effba492	4	143371005	143371007	3	-0.6506
365fa3bc-de04-4fe3-bfe4-7564effba492	4	143372783	147346817	2015	0.4198
365fa3bc-de04-4fe3-bfe4-7564effba492	4	147346875	151563501	2168	0.3477
365fa3bc-de04-4fe3-bfe4-7564effba492	4	151566534	154189066	1578	0.4215
365fa3bc-de04-4fe3-bfe4-7564effba492	4	154189931	161190162	4141	0.3453
365fa3bc-de04-4fe3-bfe4-7564effba492	4	161190328	161193383	2	-1.3424
365fa3bc-de04-4fe3-bfe4-7564effba492	4	161196333	180604429	10690	0.3368
365fa3bc-de04-4fe3-bfe4-7564effba492	4	181157671	181216168	54	-1.2354
365fa3bc-de04-4fe3-bfe4-7564effba492	4	181223571	181338162	96	-0.7801
365fa3bc-de04-4fe3-bfe4-7564effba492	4	181338213	181573617	199	0.305
365fa3bc-de04-4fe3-bfe4-7564effba492	4	181576582	181912453	271	-0.5409
365fa3bc-de04-4fe3-bfe4-7564effba492	4	181915205	182331824	345	0.3409
365fa3bc-de04-4fe3-bfe4-7564effba492	4	182335076	182351159	8	-0.2408
365fa3bc-de04-4fe3-bfe4-7564effba492	4	182351349	182582458	167	-0.5392
365fa3bc-de04-4fe3-bfe4-7564effba492	4	182584100	187842528	2102	0.3983
365fa3bc-de04-4fe3-bfe4-7564effba492	5	913983	16565960	10349	0.9251
365fa3bc-de04-4fe3-bfe4-7564effba492	5	16566103	31155686	7677	0.8694
365fa3bc-de04-4fe3-bfe4-7564effba492	5	31156067	36403178	3094	0.9248
365fa3bc-de04-4fe3-bfe4-7564effba492	5	36403445	36404072	2	2.6789
365fa3bc-de04-4fe3-bfe4-7564effba492	5	36405360	36433215	27	0.7775
365fa3bc-de04-4fe3-bfe4-7564effba492	5	36434024	81907876	22563	0.9262
365fa3bc-de04-4fe3-bfe4-7564effba492	5	81908611	93478084	6022	0.8948
365fa3bc-de04-4fe3-bfe4-7564effba492	5	93489696	93528459	22	-0.4566
365fa3bc-de04-4fe3-bfe4-7564effba492	5	93529366	95833045	1204	0.9018
365fa3bc-de04-4fe3-bfe4-7564effba492	5	95833119	97084618	774	0.9816
365fa3bc-de04-4fe3-bfe4-7564effba492	5	97086477	108421651	5205	0.9028
365fa3bc-de04-4fe3-bfe4-7564effba492	5	108422470	108427420	2	-0.9385
365fa3bc-de04-4fe3-bfe4-7564effba492	5	108431910	112736161	2607	0.9144
365fa3bc-de04-4fe3-bfe4-7564effba492	5	112736327	112826244	141	0.7285
365fa3bc-de04-4fe3-bfe4-7564effba492	5	112826260	131881958	11104	0.9009
365fa3bc-de04-4fe3-bfe4-7564effba492	5	131882124	151728033	12165	0.9325
365fa3bc-de04-4fe3-bfe4-7564effba492	5	151729220	169401240	11623	0.9002
365fa3bc-de04-4fe3-bfe4-7564effba492	5	169401312	179378611	5721	0.9552
365fa3bc-de04-4fe3-bfe4-7564effba492	5	179378629	179624537	141	0.909
365fa3bc-de04-4fe3-bfe4-7564effba492	5	179624660	179681196	23	0.4516
365fa3bc-de04-4fe3-bfe4-7564effba492	5	179681247	180934240	582	0.9447
365fa3bc-de04-4fe3-bfe4-7564effba492	6	1011760	24801860	16760	-0.4367
365fa3bc-de04-4fe3-bfe4-7564effba492	6	24804229	46183970	10393	-0.4003
365fa3bc-de04-4fe3-bfe4-7564effba492	6	46184313	136658155	49453	-0.4577
365fa3bc-de04-4fe3-bfe4-7564effba492	6	136665023	143218696	3571	0.4124
365fa3bc-de04-4fe3-bfe4-7564effba492	6	143227144	143227440	3	1.9639
365fa3bc-de04-4fe3-bfe4-7564effba492	6	143228784	170596889	16513	0.4009
365fa3bc-de04-4fe3-bfe4-7564effba492	7	664936	7985680	3084	0.4464
365fa3bc-de04-4fe3-bfe4-7564effba492	7	7985803	10626932	818	0.3999
365fa3bc-de04-4fe3-bfe4-7564effba492	7	10628168	10632110	2	-1.1976
365fa3bc-de04-4fe3-bfe4-7564effba492	7	10632981	23992851	8401	0.4004
365fa3bc-de04-4fe3-bfe4-7564effba492	7	23994297	32279938	5600	0.4494
365fa3bc-de04-4fe3-bfe4-7564effba492	7	32280566	35182607	1682	0.4047
365fa3bc-de04-4fe3-bfe4-7564effba492	7	35183526	38545730	2438	0.4657
365fa3bc-de04-4fe3-bfe4-7564effba492	7	38547630	50097067	7087	0.4182
365fa3bc-de04-4fe3-bfe4-7564effba492	7	50101716	51124623	833	0.4538
365fa3bc-de04-4fe3-bfe4-7564effba492	7	51124777	75533626	8256	0.3722
365fa3bc-de04-4fe3-bfe4-7564effba492	7	75533848	78980614	1650	0.4283
365fa3bc-de04-4fe3-bfe4-7564effba492	7	78982759	79483314	339	-0.5092
365fa3bc-de04-4fe3-bfe4-7564effba492	7	79491190	104313876	12444	0.402
365fa3bc-de04-4fe3-bfe4-7564effba492	7	104317510	107809588	2120	0.4584
365fa3bc-de04-4fe3-bfe4-7564effba492	7	107810600	108712836	477	0.4121
365fa3bc-de04-4fe3-bfe4-7564effba492	7	108713452	126603964	9508	0.3859
365fa3bc-de04-4fe3-bfe4-7564effba492	7	126604276	143465551	9337	0.4265
365fa3bc-de04-4fe3-bfe4-7564effba492	7	143465871	147902596	2282	0.3779
365fa3bc-de04-4fe3-bfe4-7564effba492	7	147910432	158592540	5537	0.4298
365fa3bc-de04-4fe3-bfe4-7564effba492	8	667625	9883147	4156	-0.4914
365fa3bc-de04-4fe3-bfe4-7564effba492	8	9883180	9883353	2	-3.935
365fa3bc-de04-4fe3-bfe4-7564effba492	8	9883968	54504652	24911	-0.455
365fa3bc-de04-4fe3-bfe4-7564effba492	8	54508666	54508802	2	-3.2125
365fa3bc-de04-4fe3-bfe4-7564effba492	8	54508860	82949340	16600	-0.4505
365fa3bc-de04-4fe3-bfe4-7564effba492	8	82953212	82953387	2	-2.808
365fa3bc-de04-4fe3-bfe4-7564effba492	8	82953923	123855134	23328	-0.4525
365fa3bc-de04-4fe3-bfe4-7564effba492	8	123866392	134549911	7732	-0.4148
365fa3bc-de04-4fe3-bfe4-7564effba492	8	134553025	138322477	2682	-0.4672
