GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
26a14093-45da-4f34-b8c9-b2f09c44f845	1	3301765	3886613	306	-0.2396
26a14093-45da-4f34-b8c9-b2f09c44f845	1	3888534	21581921	9987	-0.1984
26a14093-45da-4f34-b8c9-b2f09c44f845	1	21590741	21771173	117	0.2451
26a14093-45da-4f34-b8c9-b2f09c44f845	1	21775623	23005076	684	-0.1748
26a14093-45da-4f34-b8c9-b2f09c44f845	1	23011270	23326452	164	0.2774
26a14093-45da-4f34-b8c9-b2f09c44f845	1	23330157	32565141	4351	-0.1925
26a14093-45da-4f34-b8c9-b2f09c44f845	1	32566811	32906586	133	0.3112
26a14093-45da-4f34-b8c9-b2f09c44f845	1	32911416	47860749	8178	-0.1989
26a14093-45da-4f34-b8c9-b2f09c44f845	1	47862978	51448914	1755	-0.256
26a14093-45da-4f34-b8c9-b2f09c44f845	1	51450226	55942785	2733	-0.2174
26a14093-45da-4f34-b8c9-b2f09c44f845	1	55942849	84385623	18230	-0.2607
26a14093-45da-4f34-b8c9-b2f09c44f845	1	84385847	94075458	5978	-0.2361
26a14093-45da-4f34-b8c9-b2f09c44f845	1	94076293	108044755	8179	-0.2624
26a14093-45da-4f34-b8c9-b2f09c44f845	1	108045750	117172127	5625	-0.2131
26a14093-45da-4f34-b8c9-b2f09c44f845	1	117172404	119899280	1598	-0.2549
26a14093-45da-4f34-b8c9-b2f09c44f845	1	119904099	162011771	6474	-0.1981
26a14093-45da-4f34-b8c9-b2f09c44f845	1	162013197	200646389	24679	-0.2551
26a14093-45da-4f34-b8c9-b2f09c44f845	1	200649815	207676604	4393	-0.2118
26a14093-45da-4f34-b8c9-b2f09c44f845	1	207678266	247650984	26047	-0.2555
26a14093-45da-4f34-b8c9-b2f09c44f845	2	480597	9808346	5787	-0.2146
26a14093-45da-4f34-b8c9-b2f09c44f845	2	9809447	9810242	3	-1.3354
26a14093-45da-4f34-b8c9-b2f09c44f845	2	9813820	13328804	2447	-0.1953
26a14093-45da-4f34-b8c9-b2f09c44f845	2	13330410	23145368	6543	-0.2439
26a14093-45da-4f34-b8c9-b2f09c44f845	2	23146679	34945628	6240	-0.2136
26a14093-45da-4f34-b8c9-b2f09c44f845	2	34953431	34957294	4	-2.5382
26a14093-45da-4f34-b8c9-b2f09c44f845	2	34961216	34961551	2	-0.9418
26a14093-45da-4f34-b8c9-b2f09c44f845	2	34968003	36454476	732	-0.2407
26a14093-45da-4f34-b8c9-b2f09c44f845	2	36456127	36456647	3	-1.1728
26a14093-45da-4f34-b8c9-b2f09c44f845	2	36456854	36459152	3	-3.5355
26a14093-45da-4f34-b8c9-b2f09c44f845	2	36462950	140559335	51861	-0.2291
26a14093-45da-4f34-b8c9-b2f09c44f845	2	140562436	141224554	409	-1.0857
26a14093-45da-4f34-b8c9-b2f09c44f845	2	141226768	221606293	46017	-0.2427
26a14093-45da-4f34-b8c9-b2f09c44f845	2	221606740	221606796	2	1.3494
26a14093-45da-4f34-b8c9-b2f09c44f845	2	221607842	230082787	5273	-0.2609
26a14093-45da-4f34-b8c9-b2f09c44f845	2	230084615	241537572	6715	-0.2034
26a14093-45da-4f34-b8c9-b2f09c44f845	3	2170634	8588632	3678	-0.2664
26a14093-45da-4f34-b8c9-b2f09c44f845	3	8591906	18620985	6373	-0.232
26a14093-45da-4f34-b8c9-b2f09c44f845	3	18622242	41677233	13830	-0.2647
26a14093-45da-4f34-b8c9-b2f09c44f845	3	41681187	47561573	3074	-0.2051
26a14093-45da-4f34-b8c9-b2f09c44f845	3	47563078	47971307	178	0.2925
26a14093-45da-4f34-b8c9-b2f09c44f845	3	47975411	53240586	2127	-0.2008
26a14093-45da-4f34-b8c9-b2f09c44f845	3	53240672	70644907	11407	-0.2671
26a14093-45da-4f34-b8c9-b2f09c44f845	3	70645158	72641594	1449	-0.2229
26a14093-45da-4f34-b8c9-b2f09c44f845	3	72643136	81463400	4861	-0.2782
26a14093-45da-4f34-b8c9-b2f09c44f845	3	81465901	81479432	8	-1.2683
26a14093-45da-4f34-b8c9-b2f09c44f845	3	81480968	121484367	19693	-0.2677
26a14093-45da-4f34-b8c9-b2f09c44f845	3	121486979	122964507	756	-0.2247
26a14093-45da-4f34-b8c9-b2f09c44f845	3	122965192	123216576	189	0.2855
26a14093-45da-4f34-b8c9-b2f09c44f845	3	123217572	130520676	4159	-0.2265
26a14093-45da-4f34-b8c9-b2f09c44f845	3	130520880	182636140	27363	-0.2701
26a14093-45da-4f34-b8c9-b2f09c44f845	3	182636155	187944212	2801	-0.2212
26a14093-45da-4f34-b8c9-b2f09c44f845	3	187945349	194343614	4077	-0.2707
26a14093-45da-4f34-b8c9-b2f09c44f845	3	194343649	197812401	1036	-0.2134
26a14093-45da-4f34-b8c9-b2f09c44f845	4	1059384	3534449	995	0.7047
26a14093-45da-4f34-b8c9-b2f09c44f845	4	3534865	3569235	7	-0.0869
26a14093-45da-4f34-b8c9-b2f09c44f845	4	3571076	10429107	3920	0.6902
26a14093-45da-4f34-b8c9-b2f09c44f845	4	10429159	37180861	17450	0.6174
26a14093-45da-4f34-b8c9-b2f09c44f845	4	37182657	39307142	1541	0.678
26a14093-45da-4f34-b8c9-b2f09c44f845	4	39309262	54241451	5874	0.6157
26a14093-45da-4f34-b8c9-b2f09c44f845	4	54249536	54254390	7	-0.1311
26a14093-45da-4f34-b8c9-b2f09c44f845	4	54254415	78146386	13326	0.61
26a14093-45da-4f34-b8c9-b2f09c44f845	4	78147209	78513875	275	0.7041
26a14093-45da-4f34-b8c9-b2f09c44f845	4	78513948	131643869	29697	0.6053
26a14093-45da-4f34-b8c9-b2f09c44f845	4	131644361	131964859	82	0.3942
26a14093-45da-4f34-b8c9-b2f09c44f845	4	131974296	151241110	10468	0.6051
26a14093-45da-4f34-b8c9-b2f09c44f845	4	151243427	153710809	1398	0.6516
26a14093-45da-4f34-b8c9-b2f09c44f845	4	153710910	182282460	16071	0.6031
26a14093-45da-4f34-b8c9-b2f09c44f845	4	182285949	187842528	2321	0.6485
26a14093-45da-4f34-b8c9-b2f09c44f845	5	913983	1021104	52	0.7476
26a14093-45da-4f34-b8c9-b2f09c44f845	5	1287276	1351423	27	0.3252
26a14093-45da-4f34-b8c9-b2f09c44f845	5	1359823	8527732	5421	0.6606
26a14093-45da-4f34-b8c9-b2f09c44f845	5	8528213	8958158	318	0.5955
26a14093-45da-4f34-b8c9-b2f09c44f845	5	8958767	15260868	4097	0.6358
26a14093-45da-4f34-b8c9-b2f09c44f845	5	15260945	31200010	8145	0.5999
26a14093-45da-4f34-b8c9-b2f09c44f845	5	31200455	81458804	25411	0.6319
26a14093-45da-4f34-b8c9-b2f09c44f845	5	81459392	86417175	2684	0.6098
26a14093-45da-4f34-b8c9-b2f09c44f845	5	86420120	86420311	2	-0.7497
26a14093-45da-4f34-b8c9-b2f09c44f845	5	86425593	131976158	24685	0.6092
26a14093-45da-4f34-b8c9-b2f09c44f845	5	131976634	135728800	2417	0.6655
26a14093-45da-4f34-b8c9-b2f09c44f845	5	135729040	139431876	2118	0.6108
26a14093-45da-4f34-b8c9-b2f09c44f845	5	139437401	143847127	2475	0.6649
26a14093-45da-4f34-b8c9-b2f09c44f845	5	143851225	150019403	3961	0.6112
26a14093-45da-4f34-b8c9-b2f09c44f845	5	150019501	151649578	1102	0.6708
26a14093-45da-4f34-b8c9-b2f09c44f845	5	151649600	168667312	11083	0.6116
26a14093-45da-4f34-b8c9-b2f09c44f845	5	168667450	179619970	6450	0.6664
26a14093-45da-4f34-b8c9-b2f09c44f845	5	179620002	179676602	25	0.356
26a14093-45da-4f34-b8c9-b2f09c44f845	5	179676725	180934240	586	0.6966
26a14093-45da-4f34-b8c9-b2f09c44f845	6	1011760	19651232	13196	-0.251
26a14093-45da-4f34-b8c9-b2f09c44f845	6	19652356	24874566	3699	-0.2819
26a14093-45da-4f34-b8c9-b2f09c44f845	6	24875011	27506748	1146	-0.2294
26a14093-45da-4f34-b8c9-b2f09c44f845	6	27506941	27509320	3	-1.4378
26a14093-45da-4f34-b8c9-b2f09c44f845	6	27737819	29655817	763	-0.2285
26a14093-45da-4f34-b8c9-b2f09c44f845	6	29655962	34714830	1535	-0.1718
26a14093-45da-4f34-b8c9-b2f09c44f845	6	34715699	45962789	6888	-0.2299
26a14093-45da-4f34-b8c9-b2f09c44f845	6	45963158	101951404	29102	-0.2838
26a14093-45da-4f34-b8c9-b2f09c44f845	6	101957135	102006670	41	-1.0633
26a14093-45da-4f34-b8c9-b2f09c44f845	6	102008605	102063192	36	-0.2464
26a14093-45da-4f34-b8c9-b2f09c44f845	6	102065480	102073719	9	-1.5184
26a14093-45da-4f34-b8c9-b2f09c44f845	6	102076780	120385131	10323	-0.2685
26a14093-45da-4f34-b8c9-b2f09c44f845	6	120388261	127302279	3947	-0.3065
26a14093-45da-4f34-b8c9-b2f09c44f845	6	127310582	165523850	24304	-0.2687
26a14093-45da-4f34-b8c9-b2f09c44f845	6	165527990	165537164	13	-1.4085
26a14093-45da-4f34-b8c9-b2f09c44f845	6	165541138	170596889	2019	-0.2555
26a14093-45da-4f34-b8c9-b2f09c44f845	7	664936	756025	24	0.1541
26a14093-45da-4f34-b8c9-b2f09c44f845	7	761727	7308193	2447	0.3071
26a14093-45da-4f34-b8c9-b2f09c44f845	7	7308567	24110460	9909	0.2457
26a14093-45da-4f34-b8c9-b2f09c44f845	7	24111478	24162479	66	-0.232
26a14093-45da-4f34-b8c9-b2f09c44f845	7	24164999	52097285	18202	0.2644
26a14093-45da-4f34-b8c9-b2f09c44f845	7	52097345	98793156	19768	0.2307
26a14093-45da-4f34-b8c9-b2f09c44f845	7	98793727	107876264	4396	0.2746
26a14093-45da-4f34-b8c9-b2f09c44f845	7	107876941	127290639	10311	0.2186
26a14093-45da-4f34-b8c9-b2f09c44f845	7	127291699	128756528	721	0.2873
26a14093-45da-4f34-b8c9-b2f09c44f845	7	128756628	138701802	5882	0.2501
26a14093-45da-4f34-b8c9-b2f09c44f845	7	138702047	140448102	883	0.3066
26a14093-45da-4f34-b8c9-b2f09c44f845	7	140448227	148960026	4473	0.2447
26a14093-45da-4f34-b8c9-b2f09c44f845	7	148962524	158592540	4828	0.2897
26a14093-45da-4f34-b8c9-b2f09c44f845	8	667625	4927010	2215	0.6545
26a14093-45da-4f34-b8c9-b2f09c44f845	8	4940046	6389318	472	0.2496
26a14093-45da-4f34-b8c9-b2f09c44f845	8	6389373	13848235	3372	0.6537
26a14093-45da-4f34-b8c9-b2f09c44f845	8	13848310	16914220	2274	0.6018
26a14093-45da-4f34-b8c9-b2f09c44f845	8	16917806	18538435	1340	0.6407
26a14093-45da-4f34-b8c9-b2f09c44f845	8	18546454	18811318	230	0.9258
26a14093-45da-4f34-b8c9-b2f09c44f845	8	18811830	29662345	7587	0.655
26a14093-45da-4f34-b8c9-b2f09c44f845	8	29662955	81377315	27646	0.617
26a14093-45da-4f34-b8c9-b2f09c44f845	8	81381229	92868937	6131	0.5919
26a14093-45da-4f34-b8c9-b2f09c44f845	8	92870766	93874351	565	0.6235
26a14093-45da-4f34-b8c9-b2f09c44f845	8	93880249	93933059	36	0.9971
26a14093-45da-4f34-b8c9-b2f09c44f845	8	93934495	99764715	3502	0.6173
26a14093-45da-4f34-b8c9-b2f09c44f845	8	99765660	103553213	2287	0.6452
26a14093-45da-4f34-b8c9-b2f09c44f845	8	103559264	122450956	10791	0.6024
26a14093-45da-4f34-b8c9-b2f09c44f845	8	122451306	133871425	8113	0.6502
26a14093-45da-4f34-b8c9-b2f09c44f845	8	133872650	138713993	3612	0.6191
26a14093-45da-4f34-b8c9-b2f09c44f845	8	138714105	142814142	1621	0.6705
26a14093-45da-4f34-b8c9-b2f09c44f845	8	142814486	143162209	150	0.954
26a14093-45da-4f34-b8c9-b2f09c44f845	8	143162239	144182542	241	0.6841
26a14093-45da-4f34-b8c9-b2f09c44f845	9	789794	11275227	6342	-0.2409
26a14093-45da-4f34-b8c9-b2f09c44f845	9	12527414	14251244	1234	-1.1416
26a14093-45da-4f34-b8c9-b2f09c44f845	9	14251918	14252209	2	-4.0493
26a14093-45da-4f34-b8c9-b2f09c44f845	9	14252231	34401766	13221	-1.0797
26a14093-45da-4f34-b8c9-b2f09c44f845	9	34407650	34911882	275	-0.1863
26a14093-45da-4f34-b8c9-b2f09c44f845	9	34915608	38752071	2367	-1.079
26a14093-45da-4f34-b8c9-b2f09c44f845	9	68423153	88657644	14103	-0.2633
26a14093-45da-4f34-b8c9-b2f09c44f845	9	88658034	100833453	7633	-0.2213
26a14093-45da-4f34-b8c9-b2f09c44f845	9	100833699	109580279	5857	-0.2599
26a14093-45da-4f34-b8c9-b2f09c44f845	9	109583689	109583826	3	-1.588
26a14093-45da-4f34-b8c9-b2f09c44f845	9	109584647	121518905	8471	-0.2504
26a14093-45da-4f34-b8c9-b2f09c44f845	9	121520928	121521130	2	-1.8876
26a14093-45da-4f34-b8c9-b2f09c44f845	9	121522134	121893770	198	-0.2514
26a14093-45da-4f34-b8c9-b2f09c44f845	9	121895059	128708871	3945	-0.2102
26a14093-45da-4f34-b8c9-b2f09c44f845	9	128718721	128878753	53	0.3103
26a14093-45da-4f34-b8c9-b2f09c44f845	9	128885613	138044505	4572	-0.1884
26a14093-45da-4f34-b8c9-b2f09c44f845	10	366509	14890240	10683	-0.2179
26a14093-45da-4f34-b8c9-b2f09c44f845	10	14890370	38393663	15484	-0.2566
26a14093-45da-4f34-b8c9-b2f09c44f845	10	38394675	43108538	472	-0.1828
