GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
36250bb2-38da-4c65-b287-ae4757a07fec	1	3301765	31216669	14994	-0.2029
36250bb2-38da-4c65-b287-ae4757a07fec	1	31218014	31218730	2	-2.35
36250bb2-38da-4c65-b287-ae4757a07fec	1	31219188	45296194	7644	-0.2098
36250bb2-38da-4c65-b287-ae4757a07fec	1	45297870	52988258	3675	-0.2582
36250bb2-38da-4c65-b287-ae4757a07fec	1	52989427	54651847	1074	-0.2062
36250bb2-38da-4c65-b287-ae4757a07fec	1	54652305	106386393	32177	-0.3049
36250bb2-38da-4c65-b287-ae4757a07fec	1	106387147	106469985	53	-0.953
36250bb2-38da-4c65-b287-ae4757a07fec	1	106472267	109265065	1596	-0.3082
36250bb2-38da-4c65-b287-ae4757a07fec	1	109272258	112319772	2047	-0.2327
36250bb2-38da-4c65-b287-ae4757a07fec	1	112321350	151138555	5145	-0.2761
36250bb2-38da-4c65-b287-ae4757a07fec	1	151139451	162017763	5968	-0.223
36250bb2-38da-4c65-b287-ae4757a07fec	1	162018416	190068478	18435	-0.2917
36250bb2-38da-4c65-b287-ae4757a07fec	1	190070024	190437201	210	-0.9553
36250bb2-38da-4c65-b287-ae4757a07fec	1	190439044	195726758	3162	-0.3221
36250bb2-38da-4c65-b287-ae4757a07fec	1	195727623	195727634	2	-2.8076
36250bb2-38da-4c65-b287-ae4757a07fec	1	195730709	201201443	3174	-0.3038
36250bb2-38da-4c65-b287-ae4757a07fec	1	201201991	202543290	832	-0.9409
36250bb2-38da-4c65-b287-ae4757a07fec	1	202544885	203534759	670	-0.2305
36250bb2-38da-4c65-b287-ae4757a07fec	1	203540920	203544349	2	-2.0038
36250bb2-38da-4c65-b287-ae4757a07fec	1	203544678	213958800	6936	-0.2648
36250bb2-38da-4c65-b287-ae4757a07fec	1	213958947	219566624	3898	-0.3363
36250bb2-38da-4c65-b287-ae4757a07fec	1	219567111	236440911	10527	-0.2772
36250bb2-38da-4c65-b287-ae4757a07fec	1	236440928	242782336	4919	-0.3218
36250bb2-38da-4c65-b287-ae4757a07fec	1	242782721	247650984	2252	-0.2806
36250bb2-38da-4c65-b287-ae4757a07fec	2	480597	12477381	7755	-0.2501
36250bb2-38da-4c65-b287-ae4757a07fec	2	12477833	23044610	6928	-0.2951
36250bb2-38da-4c65-b287-ae4757a07fec	2	23045303	49059484	14638	-0.2538
36250bb2-38da-4c65-b287-ae4757a07fec	2	49060844	59770909	5858	-0.3009
36250bb2-38da-4c65-b287-ae4757a07fec	2	59773001	65397213	2945	-0.2399
36250bb2-38da-4c65-b287-ae4757a07fec	2	65397987	68321101	2109	-0.3069
36250bb2-38da-4c65-b287-ae4757a07fec	2	68322749	75869692	4209	-0.2352
36250bb2-38da-4c65-b287-ae4757a07fec	2	75870533	82200381	3343	-0.3191
36250bb2-38da-4c65-b287-ae4757a07fec	2	82200556	88106415	2518	-0.2526
36250bb2-38da-4c65-b287-ae4757a07fec	2	88106738	88109661	2	-2.299
36250bb2-38da-4c65-b287-ae4757a07fec	2	88109845	113252628	9582	-0.2461
36250bb2-38da-4c65-b287-ae4757a07fec	2	113253214	134285919	10345	-0.2795
36250bb2-38da-4c65-b287-ae4757a07fec	2	134289572	136905650	1590	-0.2533
36250bb2-38da-4c65-b287-ae4757a07fec	2	136908258	156970970	11268	-0.3069
36250bb2-38da-4c65-b287-ae4757a07fec	2	156985288	158312049	739	-0.2592
36250bb2-38da-4c65-b287-ae4757a07fec	2	158313519	158431079	68	-0.981
36250bb2-38da-4c65-b287-ae4757a07fec	2	158439895	230211574	41379	-0.2907
36250bb2-38da-4c65-b287-ae4757a07fec	2	230212878	241537572	6614	-0.2335
36250bb2-38da-4c65-b287-ae4757a07fec	3	2170634	8591906	3678	0.1481
36250bb2-38da-4c65-b287-ae4757a07fec	3	8595770	14042160	3507	0.199
36250bb2-38da-4c65-b287-ae4757a07fec	3	14048473	14048843	2	-1.8304
36250bb2-38da-4c65-b287-ae4757a07fec	3	14050213	17925943	2456	0.188
36250bb2-38da-4c65-b287-ae4757a07fec	3	17926352	35440410	10237	0.1328
36250bb2-38da-4c65-b287-ae4757a07fec	3	35440781	35441258	2	-1.4356
36250bb2-38da-4c65-b287-ae4757a07fec	3	35442680	36544596	750	0.0918
36250bb2-38da-4c65-b287-ae4757a07fec	3	36544780	44395396	4619	0.1761
36250bb2-38da-4c65-b287-ae4757a07fec	3	44396975	50751155	2934	0.2205
36250bb2-38da-4c65-b287-ae4757a07fec	3	50751623	61138660	5516	0.1584
36250bb2-38da-4c65-b287-ae4757a07fec	3	61141148	71029720	7230	0.127
36250bb2-38da-4c65-b287-ae4757a07fec	3	71032434	72611428	1161	0.2124
36250bb2-38da-4c65-b287-ae4757a07fec	3	72613010	76401809	2004	0.1326
36250bb2-38da-4c65-b287-ae4757a07fec	3	76405453	97099207	8696	0.0881
36250bb2-38da-4c65-b287-ae4757a07fec	3	97102247	116492362	10885	0.1269
36250bb2-38da-4c65-b287-ae4757a07fec	3	116493396	116654066	116	-0.3219
36250bb2-38da-4c65-b287-ae4757a07fec	3	116657625	121817042	2981	0.1196
36250bb2-38da-4c65-b287-ae4757a07fec	3	121819951	130407705	4899	0.1761
36250bb2-38da-4c65-b287-ae4757a07fec	3	130408509	161675845	17147	0.1325
36250bb2-38da-4c65-b287-ae4757a07fec	3	161676175	166971944	2136	0.0757
36250bb2-38da-4c65-b287-ae4757a07fec	3	166972244	169630044	1513	0.1074
36250bb2-38da-4c65-b287-ae4757a07fec	3	169630215	172733098	1727	0.1646
36250bb2-38da-4c65-b287-ae4757a07fec	3	172733651	183028735	5188	0.1103
36250bb2-38da-4c65-b287-ae4757a07fec	3	183029274	193785940	6321	0.1563
36250bb2-38da-4c65-b287-ae4757a07fec	3	193791160	193906955	70	-0.3487
36250bb2-38da-4c65-b287-ae4757a07fec	3	193911180	197812401	1302	0.2014
36250bb2-38da-4c65-b287-ae4757a07fec	4	1059384	10954965	5326	0.5286
36250bb2-38da-4c65-b287-ae4757a07fec	4	10956339	28170056	11736	0.4473
36250bb2-38da-4c65-b287-ae4757a07fec	4	28170896	36045007	4558	0.4085
36250bb2-38da-4c65-b287-ae4757a07fec	4	36045622	42518804	4052	0.4809
36250bb2-38da-4c65-b287-ae4757a07fec	4	42519684	59239094	7362	0.4386
36250bb2-38da-4c65-b287-ae4757a07fec	4	59240898	67014337	4236	0.3961
36250bb2-38da-4c65-b287-ae4757a07fec	4	67014398	75569396	4217	0.4301
36250bb2-38da-4c65-b287-ae4757a07fec	4	75571607	84041500	5156	0.4628
36250bb2-38da-4c65-b287-ae4757a07fec	4	84042499	125937032	23701	0.4245
36250bb2-38da-4c65-b287-ae4757a07fec	4	125937907	125940693	2	2.3125
36250bb2-38da-4c65-b287-ae4757a07fec	4	125943872	135831848	4593	0.399
36250bb2-38da-4c65-b287-ae4757a07fec	4	135831880	135909021	33	-0.0063
36250bb2-38da-4c65-b287-ae4757a07fec	4	135909550	151697332	8867	0.4273
36250bb2-38da-4c65-b287-ae4757a07fec	4	151698637	154203568	1512	0.4761
36250bb2-38da-4c65-b287-ae4757a07fec	4	154204270	182427677	15867	0.4182
36250bb2-38da-4c65-b287-ae4757a07fec	4	182428277	187842528	2205	0.4774
36250bb2-38da-4c65-b287-ae4757a07fec	5	913983	4388929	2200	0.507
36250bb2-38da-4c65-b287-ae4757a07fec	5	4391540	18024691	8854	0.4644
36250bb2-38da-4c65-b287-ae4757a07fec	5	18024899	31334328	7118	0.4153
36250bb2-38da-4c65-b287-ae4757a07fec	5	31334379	43604395	7169	0.4653
36250bb2-38da-4c65-b287-ae4757a07fec	5	43608576	52988250	2058	0.4217
36250bb2-38da-4c65-b287-ae4757a07fec	5	52988345	81323227	15984	0.4669
36250bb2-38da-4c65-b287-ae4757a07fec	5	81323651	131867108	27391	0.4338
36250bb2-38da-4c65-b287-ae4757a07fec	5	131867231	143870166	7065	0.4962
36250bb2-38da-4c65-b287-ae4757a07fec	5	143870314	148748079	3049	0.4386
36250bb2-38da-4c65-b287-ae4757a07fec	5	148748469	151644491	1998	0.5099
36250bb2-38da-4c65-b287-ae4757a07fec	5	151645580	161542669	6570	0.4573
36250bb2-38da-4c65-b287-ae4757a07fec	5	161543587	166825143	3184	0.4149
36250bb2-38da-4c65-b287-ae4757a07fec	5	166825472	168810733	1386	0.4537
36250bb2-38da-4c65-b287-ae4757a07fec	5	168812576	180367208	6812	0.521
36250bb2-38da-4c65-b287-ae4757a07fec	5	180370429	180637969	113	-0.2554
36250bb2-38da-4c65-b287-ae4757a07fec	5	180641741	180934240	79	0.5036
36250bb2-38da-4c65-b287-ae4757a07fec	6	1011760	7134168	4531	-0.2714
36250bb2-38da-4c65-b287-ae4757a07fec	6	7137767	12839522	3967	-0.3189
36250bb2-38da-4c65-b287-ae4757a07fec	6	12841753	18500726	3829	-0.2693
36250bb2-38da-4c65-b287-ae4757a07fec	6	18500786	24517477	4332	-0.3303
36250bb2-38da-4c65-b287-ae4757a07fec	6	24517549	44803304	9911	-0.2526
36250bb2-38da-4c65-b287-ae4757a07fec	6	44803485	170596889	70360	-0.3293
36250bb2-38da-4c65-b287-ae4757a07fec	7	664936	3002026	766	0.5789
36250bb2-38da-4c65-b287-ae4757a07fec	7	3011306	4127027	486	0.1907
36250bb2-38da-4c65-b287-ae4757a07fec	7	4127041	8584916	2014	0.5073
36250bb2-38da-4c65-b287-ae4757a07fec	7	8587943	20662578	6708	0.4337
36250bb2-38da-4c65-b287-ae4757a07fec	7	20666446	20670414	2	-1.4959
36250bb2-38da-4c65-b287-ae4757a07fec	7	20671025	21392904	525	0.4419
