GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ab185b04-9b48-4c41-989e-1b2e4590ee5a	1	3301765	247650984	128408	-0.0776
ab185b04-9b48-4c41-989e-1b2e4590ee5a	2	480597	27762302	16865	0.3237
ab185b04-9b48-4c41-989e-1b2e4590ee5a	2	27765850	27850112	42	0.7385
ab185b04-9b48-4c41-989e-1b2e4590ee5a	2	27852258	236225019	111085	0.3129
ab185b04-9b48-4c41-989e-1b2e4590ee5a	2	236226223	236235174	2	-1.9307
ab185b04-9b48-4c41-989e-1b2e4590ee5a	2	236235662	241537572	3088	0.3329
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	2170634	46659223	26350	-0.0752
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	46660109	46660272	2	-2.3969
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	46665706	48674644	766	-0.1337
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	48674989	48677880	4	-1.5099
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	48687680	52445866	1431	-0.0875
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	52447311	52562382	56	0.2719
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	52570963	58236205	3701	-0.077
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	58236571	58236705	2	-3.1859
ab185b04-9b48-4c41-989e-1b2e4590ee5a	3	58240514	197812401	73744	-0.0788
ab185b04-9b48-4c41-989e-1b2e4590ee5a	4	1059384	7283718	3410	-0.0784
ab185b04-9b48-4c41-989e-1b2e4590ee5a	4	7284042	7285852	2	-3.4381
ab185b04-9b48-4c41-989e-1b2e4590ee5a	4	7286976	180393490	95572	-0.073
ab185b04-9b48-4c41-989e-1b2e4590ee5a	4	180393946	180458998	51	-0.6696
ab185b04-9b48-4c41-989e-1b2e4590ee5a	4	180461478	182473340	1200	-0.0602
ab185b04-9b48-4c41-989e-1b2e4590ee5a	4	182482527	183286625	93	-0.6558
ab185b04-9b48-4c41-989e-1b2e4590ee5a	4	183288582	187842528	2059	-0.0901
ab185b04-9b48-4c41-989e-1b2e4590ee5a	5	914118	150413161	81224	-0.0787
ab185b04-9b48-4c41-989e-1b2e4590ee5a	5	150413228	150504882	38	0.4878
ab185b04-9b48-4c41-989e-1b2e4590ee5a	5	150508171	180934240	18743	-0.0905
ab185b04-9b48-4c41-989e-1b2e4590ee5a	6	1011760	36263282	20830	-0.0824
ab185b04-9b48-4c41-989e-1b2e4590ee5a	6	36264645	36305310	33	0.3955
ab185b04-9b48-4c41-989e-1b2e4590ee5a	6	36305540	45774929	5961	-0.0977
ab185b04-9b48-4c41-989e-1b2e4590ee5a	6	45775213	45775256	2	-2.9977
ab185b04-9b48-4c41-989e-1b2e4590ee5a	6	45775549	161560502	65107	-0.0767
ab185b04-9b48-4c41-989e-1b2e4590ee5a	6	161560607	161566018	2	-2.2987
ab185b04-9b48-4c41-989e-1b2e4590ee5a	6	161567735	170596889	4221	-0.0839
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	664936	20728331	9909	0.3471
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	20730552	21231678	378	-0.6732
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	21231929	21253057	10	0.3255
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	21254312	21655597	275	-0.6732
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	21655662	21694456	23	0.3943
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	21700827	40923607	12585	-0.6703
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	40923876	41094648	140	-0.0359
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	41101189	41508112	276	0.3875
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	41509237	42032728	372	-0.0251
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	42032884	42194664	143	-0.6732
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	42201609	42227003	21	0.2156
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	42227737	42230932	4	-0.8185
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	42232050	42342922	64	0.2868
ab185b04-9b48-4c41-989e-1b2e4590ee5a	7	42343773	42687333	246	-0.6066
