GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	3301765	26450977	12653	-0.2099
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	26455064	26455812	2	-3.4228
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	26456189	50446079	12473	-0.2242
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	50449796	50474090	19	-2.5943
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	50474269	51011416	164	-1.3076
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	51011662	59756708	5786	-0.2416
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	59757553	59757660	2	-2.5673
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	59758172	64947934	3672	-0.2602
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	64952156	85950054	12528	-0.2967
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	85950172	85997467	39	-0.8497
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	85997957	108047376	12918	-0.2934
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	108048560	192447070	33122	-0.2673
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	192449678	192451498	5	-2.0851
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	192451767	199437069	4082	-0.3247
6c2af050-1558-41f9-b865-ebcfd83d44bf	1	199442108	247650984	30900	-0.273
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	480597	26946672	16499	-0.245
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	26954478	27653871	281	0.483
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	27657188	38447778	5695	-0.2513
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	38448623	38449304	4	-6.2716
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	38449467	135183905	47672	-0.2504
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	135186024	204863933	38411	-0.2843
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	204864517	204864572	2	-3.5273
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	204864640	215921811	6689	-0.2844
6c2af050-1558-41f9-b865-ebcfd83d44bf	2	215930368	241537572	15514	-0.2401
6c2af050-1558-41f9-b865-ebcfd83d44bf	3	2170634	8410119	3461	0.3989
