GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fcb181fe-de38-4d26-846a-00c718238ecd	1	3301765	19816649	9238	-0.3202
fcb181fe-de38-4d26-846a-00c718238ecd	1	19817650	19817839	2	-4.4005
fcb181fe-de38-4d26-846a-00c718238ecd	1	19818487	100328865	46971	-0.287
fcb181fe-de38-4d26-846a-00c718238ecd	1	100330328	100330564	2	-4.5118
fcb181fe-de38-4d26-846a-00c718238ecd	1	100332480	106859479	3444	-0.297
fcb181fe-de38-4d26-846a-00c718238ecd	1	106859534	106860580	6	-1.6716
fcb181fe-de38-4d26-846a-00c718238ecd	1	106860607	109278685	1344	-0.2998
fcb181fe-de38-4d26-846a-00c718238ecd	1	109279544	171619443	20239	-0.264
fcb181fe-de38-4d26-846a-00c718238ecd	1	171622049	171644974	25	-0.8881
fcb181fe-de38-4d26-846a-00c718238ecd	1	171645543	173749868	1339	-0.2465
fcb181fe-de38-4d26-846a-00c718238ecd	1	173753406	199980575	15562	-0.2993
fcb181fe-de38-4d26-846a-00c718238ecd	1	199981355	200022882	27	-0.9041
fcb181fe-de38-4d26-846a-00c718238ecd	1	200028275	202063180	1414	-0.3311
fcb181fe-de38-4d26-846a-00c718238ecd	1	202063378	202088056	13	-1.3387
fcb181fe-de38-4d26-846a-00c718238ecd	1	202088366	203222776	681	-0.3144
fcb181fe-de38-4d26-846a-00c718238ecd	1	203226561	203293672	44	0.5969
fcb181fe-de38-4d26-846a-00c718238ecd	1	203294284	205013715	1222	-0.2276
fcb181fe-de38-4d26-846a-00c718238ecd	1	205014051	205014246	2	-2.5957
fcb181fe-de38-4d26-846a-00c718238ecd	1	205014630	223686543	12331	-0.2834
fcb181fe-de38-4d26-846a-00c718238ecd	1	223686561	223728830	38	0.219
fcb181fe-de38-4d26-846a-00c718238ecd	1	223731516	235345880	7285	-0.2947
fcb181fe-de38-4d26-846a-00c718238ecd	1	235354102	245430866	6895	-0.3377
fcb181fe-de38-4d26-846a-00c718238ecd	1	245436209	245930755	382	-3.6403
fcb181fe-de38-4d26-846a-00c718238ecd	1	245941074	247650984	489	-0.3095
fcb181fe-de38-4d26-846a-00c718238ecd	2	480597	28362289	17242	-0.2755
fcb181fe-de38-4d26-846a-00c718238ecd	2	28372375	28679163	201	0.5985
fcb181fe-de38-4d26-846a-00c718238ecd	2	28680862	103158977	36977	-0.2698
fcb181fe-de38-4d26-846a-00c718238ecd	2	103163459	103163604	2	-3.4218
fcb181fe-de38-4d26-846a-00c718238ecd	2	103163758	111858909	4430	-0.2679
fcb181fe-de38-4d26-846a-00c718238ecd	2	111865911	111897665	16	0.524
fcb181fe-de38-4d26-846a-00c718238ecd	2	111900694	136236348	12163	-0.2956
fcb181fe-de38-4d26-846a-00c718238ecd	2	136240598	136362752	92	-0.9372
fcb181fe-de38-4d26-846a-00c718238ecd	2	136362807	195540981	32974	-0.2836
fcb181fe-de38-4d26-846a-00c718238ecd	2	195544628	195562336	7	-1.8037
fcb181fe-de38-4d26-846a-00c718238ecd	2	195564459	200625031	2924	-0.2854
fcb181fe-de38-4d26-846a-00c718238ecd	2	200625536	200714020	73	0.7338
fcb181fe-de38-4d26-846a-00c718238ecd	2	200715917	200850707	96	0.436
fcb181fe-de38-4d26-846a-00c718238ecd	2	200851605	224650765	14374	-0.2937
fcb181fe-de38-4d26-846a-00c718238ecd	2	224650810	224651368	4	-3.6641
fcb181fe-de38-4d26-846a-00c718238ecd	2	224651751	241537572	9940	-0.2869
fcb181fe-de38-4d26-846a-00c718238ecd	3	2170634	115924430	63084	0.1723
fcb181fe-de38-4d26-846a-00c718238ecd	3	115925520	116095094	104	-0.3673
fcb181fe-de38-4d26-846a-00c718238ecd	3	116095533	116612285	400	0.1345
fcb181fe-de38-4d26-846a-00c718238ecd	3	116616667	116621543	3	-1.8693
fcb181fe-de38-4d26-846a-00c718238ecd	3	116622080	116845438	203	-1.0899
fcb181fe-de38-4d26-846a-00c718238ecd	3	116848809	116854145	6	-1.9462
fcb181fe-de38-4d26-846a-00c718238ecd	3	116854969	116887989	21	-3.5394
fcb181fe-de38-4d26-846a-00c718238ecd	3	116890745	116912596	18	-0.9914
fcb181fe-de38-4d26-846a-00c718238ecd	3	116914094	138860173	12441	0.1904
fcb181fe-de38-4d26-846a-00c718238ecd	3	138860208	138903216	31	-0.3327
fcb181fe-de38-4d26-846a-00c718238ecd	3	138910321	152595640	7333	0.1964
fcb181fe-de38-4d26-846a-00c718238ecd	3	152596428	169103286	8194	0.1495
fcb181fe-de38-4d26-846a-00c718238ecd	3	169104280	174446076	2909	0.1824
fcb181fe-de38-4d26-846a-00c718238ecd	3	174456704	174836135	224	-0.4359
fcb181fe-de38-4d26-846a-00c718238ecd	3	174839858	174922478	64	-1.0926
fcb181fe-de38-4d26-846a-00c718238ecd	3	174927526	175108799	118	-0.4005
fcb181fe-de38-4d26-846a-00c718238ecd	3	175108971	188212725	6758	0.1675
fcb181fe-de38-4d26-846a-00c718238ecd	3	188213864	188215573	2	-2.0505
fcb181fe-de38-4d26-846a-00c718238ecd	3	188217061	197812401	4883	0.1901
fcb181fe-de38-4d26-846a-00c718238ecd	4	1059384	56763170	31412	0.1511
fcb181fe-de38-4d26-846a-00c718238ecd	4	56766659	56894110	85	-0.1551
fcb181fe-de38-4d26-846a-00c718238ecd	4	56896918	180604429	68386	0.1518
fcb181fe-de38-4d26-846a-00c718238ecd	4	181157671	181192278	31	-0.93
fcb181fe-de38-4d26-846a-00c718238ecd	4	181192467	181276794	66	-0.2071
fcb181fe-de38-4d26-846a-00c718238ecd	4	181276820	181293647	12	-0.6276
fcb181fe-de38-4d26-846a-00c718238ecd	4	181293762	181556233	227	0.0821
fcb181fe-de38-4d26-846a-00c718238ecd	4	181559073	181661032	38	-0.5261
fcb181fe-de38-4d26-846a-00c718238ecd	4	181661536	183429733	873	0.0926
fcb181fe-de38-4d26-846a-00c718238ecd	4	183434571	187823060	1972	0.1853
fcb181fe-de38-4d26-846a-00c718238ecd	4	187823573	187842528	13	-0.1665
fcb181fe-de38-4d26-846a-00c718238ecd	5	913983	1340343	73	0.4218
fcb181fe-de38-4d26-846a-00c718238ecd	5	1344240	1349896	3	-0.1588
fcb181fe-de38-4d26-846a-00c718238ecd	5	1350479	1375862	18	-0.7747
fcb181fe-de38-4d26-846a-00c718238ecd	5	1375932	2004094	108	-0.2746
fcb181fe-de38-4d26-846a-00c718238ecd	5	2006665	2583912	507	0.553
fcb181fe-de38-4d26-846a-00c718238ecd	5	2586578	7806084	4203	-0.3202
fcb181fe-de38-4d26-846a-00c718238ecd	5	7812332	9627996	1433	0.5448
fcb181fe-de38-4d26-846a-00c718238ecd	5	9630922	9890650	209	1.0449
fcb181fe-de38-4d26-846a-00c718238ecd	5	9891089	10148369	226	0.541
fcb181fe-de38-4d26-846a-00c718238ecd	5	10150128	11738540	1005	-0.3459
fcb181fe-de38-4d26-846a-00c718238ecd	5	11743459	12035881	189	0.5166
fcb181fe-de38-4d26-846a-00c718238ecd	5	12041508	12042135	2	-0.9896
fcb181fe-de38-4d26-846a-00c718238ecd	5	12045529	14883327	1694	0.5412
fcb181fe-de38-4d26-846a-00c718238ecd	5	14883583	32550151	9313	0.4951
fcb181fe-de38-4d26-846a-00c718238ecd	5	32560518	118050709	43741	0.5337
fcb181fe-de38-4d26-846a-00c718238ecd	5	118050779	118050792	2	2.9638
fcb181fe-de38-4d26-846a-00c718238ecd	5	118050908	133810182	9077	0.5204
fcb181fe-de38-4d26-846a-00c718238ecd	5	133810351	133841611	35	0.6889
fcb181fe-de38-4d26-846a-00c718238ecd	5	133841999	133998189	119	1.0052
fcb181fe-de38-4d26-846a-00c718238ecd	5	133998297	134001920	5	1.6426
fcb181fe-de38-4d26-846a-00c718238ecd	5	134014976	134080567	43	0.8241
fcb181fe-de38-4d26-846a-00c718238ecd	5	134081557	134445896	184	0.5212
fcb181fe-de38-4d26-846a-00c718238ecd	5	134445927	134479782	25	0.8542
fcb181fe-de38-4d26-846a-00c718238ecd	5	134487387	134588854	68	1.202
fcb181fe-de38-4d26-846a-00c718238ecd	5	134589614	134709754	35	0.794
fcb181fe-de38-4d26-846a-00c718238ecd	5	134710057	139635904	2865	0.5107
fcb181fe-de38-4d26-846a-00c718238ecd	5	139640337	142164048	1170	0.6017
fcb181fe-de38-4d26-846a-00c718238ecd	5	142169603	149340524	4754	0.529
fcb181fe-de38-4d26-846a-00c718238ecd	5	149342284	149429287	62	0.8693
fcb181fe-de38-4d26-846a-00c718238ecd	5	149430738	158263947	5809	0.5189
fcb181fe-de38-4d26-846a-00c718238ecd	5	158264824	159117539	579	0.6608
fcb181fe-de38-4d26-846a-00c718238ecd	5	159117927	169691811	6920	0.5124
fcb181fe-de38-4d26-846a-00c718238ecd	5	169693203	169736782	39	0.9265
fcb181fe-de38-4d26-846a-00c718238ecd	5	169736846	172596603	1812	0.5594
fcb181fe-de38-4d26-846a-00c718238ecd	5	172599283	172613362	23	0.9201
fcb181fe-de38-4d26-846a-00c718238ecd	5	172620520	172805019	60	1.2344
fcb181fe-de38-4d26-846a-00c718238ecd	5	172805618	172833384	24	0.9814
fcb181fe-de38-4d26-846a-00c718238ecd	5	172833414	172854938	22	0.6332
fcb181fe-de38-4d26-846a-00c718238ecd	5	172856080	172872176	21	0.9897
fcb181fe-de38-4d26-846a-00c718238ecd	5	172875406	173609783	459	0.5472
fcb181fe-de38-4d26-846a-00c718238ecd	5	173611846	173801323	183	1.1488
fcb181fe-de38-4d26-846a-00c718238ecd	5	173803614	173834594	35	0.6419
fcb181fe-de38-4d26-846a-00c718238ecd	5	173840292	173853602	15	0.2553
fcb181fe-de38-4d26-846a-00c718238ecd	5	173855779	173986275	84	0.6698
fcb181fe-de38-4d26-846a-00c718238ecd	5	173990742	174371051	316	-0.3294
fcb181fe-de38-4d26-846a-00c718238ecd	5	174371382	180934240	3166	0.5146
fcb181fe-de38-4d26-846a-00c718238ecd	6	1011760	7023421	4454	-0.2943
fcb181fe-de38-4d26-846a-00c718238ecd	6	7023516	7033433	4	-3.3544
fcb181fe-de38-4d26-846a-00c718238ecd	6	7033598	25051801	12504	-0.3256
fcb181fe-de38-4d26-846a-00c718238ecd	6	25052423	29575996	1743	-0.2363
fcb181fe-de38-4d26-846a-00c718238ecd	6	29594073	38649140	3782	-0.3049
fcb181fe-de38-4d26-846a-00c718238ecd	6	38649944	38655224	6	-1.8129
fcb181fe-de38-4d26-846a-00c718238ecd	6	38655769	44215021	3584	-0.3131
fcb181fe-de38-4d26-846a-00c718238ecd	6	44217820	44272028	24	0.3199
fcb181fe-de38-4d26-846a-00c718238ecd	6	44272456	46874796	1511	-0.263
fcb181fe-de38-4d26-846a-00c718238ecd	6	46875154	51951886	2988	-0.3398
fcb181fe-de38-4d26-846a-00c718238ecd	6	51953792	53045921	726	-0.2555
fcb181fe-de38-4d26-846a-00c718238ecd	6	53049715	53364630	216	0.5591
fcb181fe-de38-4d26-846a-00c718238ecd	6	53366010	170596889	65141	-0.3254
fcb181fe-de38-4d26-846a-00c718238ecd	7	664936	13919847	6234	0.4739
