GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	1	3301765	5128894	1270	-0.2177
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	1	5132643	47878718	22491	-0.179
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	1	47879273	109220206	36986	-0.2409
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	1	109223247	161957073	12991	-0.1933
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	1	161959375	247650984	54615	-0.2341
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	480597	7425895	4242	-0.2406
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	7426568	12954574	3758	-0.1835
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	12954954	17805901	3082	-0.2386
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	17807374	17808199	3	-3.5975
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	17808233	113882313	48483	-0.2111
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	113882452	230161112	64565	-0.2279
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	230161402	231350413	656	-0.1827
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	231351383	231352276	2	-2.3127
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	2	231356739	241537572	5966	-0.1786
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	2170634	41202144	23289	-0.236
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	41202169	52980513	5520	-0.1801
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	52980708	119808929	36409	-0.2574
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	119810758	119810842	2	-2.6828
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	119810869	128710537	4994	-0.2239
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	128711771	128712082	3	-2.302
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	128714553	129767633	459	-0.1664
02c9e3f9-7b0a-4921-8a02-9b340bfe4b37	3	129776064	194445521	34369	-0.2445
