GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a796c599-8450-419f-8a93-b62db685bc07	1	3301765	40542674	19780	-0.4727
a796c599-8450-419f-8a93-b62db685bc07	1	40544782	233240450	99392	-0.4291
a796c599-8450-419f-8a93-b62db685bc07	1	233240586	244932850	8056	-0.4933
a796c599-8450-419f-8a93-b62db685bc07	1	244936197	244936576	2	-3.168
a796c599-8450-419f-8a93-b62db685bc07	1	244936916	247650984	1177	-0.5063
a796c599-8450-419f-8a93-b62db685bc07	2	480597	20422388	12990	-0.404
a796c599-8450-419f-8a93-b62db685bc07	2	20423181	20703406	196	0.2127
a796c599-8450-419f-8a93-b62db685bc07	2	20705237	136439707	57640	-0.3993
a796c599-8450-419f-8a93-b62db685bc07	2	136440220	213520188	43036	-0.3761
a796c599-8450-419f-8a93-b62db685bc07	2	213522940	238543457	15354	-0.3986
a796c599-8450-419f-8a93-b62db685bc07	2	238545062	240247774	950	-1.3152
a796c599-8450-419f-8a93-b62db685bc07	2	240252008	240260669	9	-3.9338
a796c599-8450-419f-8a93-b62db685bc07	2	240260785	241126083	382	-1.2539
a796c599-8450-419f-8a93-b62db685bc07	2	241126835	241129927	3	-5.0519
a796c599-8450-419f-8a93-b62db685bc07	2	241131456	241537572	221	-1.2095
a796c599-8450-419f-8a93-b62db685bc07	3	2170634	24993924	13264	-0.4358
a796c599-8450-419f-8a93-b62db685bc07	3	24999011	25000073	3	-2.9231
a796c599-8450-419f-8a93-b62db685bc07	3	25001355	66693913	24261	-0.4415
a796c599-8450-419f-8a93-b62db685bc07	3	66693975	66694466	2	-3.2467
a796c599-8450-419f-8a93-b62db685bc07	3	66694514	68863730	1426	-0.4375
a796c599-8450-419f-8a93-b62db685bc07	3	68872375	69046770	144	0.5751
a796c599-8450-419f-8a93-b62db685bc07	3	69055601	88972656	10992	-0.4428
a796c599-8450-419f-8a93-b62db685bc07	3	88973266	89456920	358	-3.105
a796c599-8450-419f-8a93-b62db685bc07	3	89459350	94669289	578	-0.4906
a796c599-8450-419f-8a93-b62db685bc07	3	94678984	94685615	5	-2.1518
a796c599-8450-419f-8a93-b62db685bc07	3	94694455	104899712	5459	-0.4212
a796c599-8450-419f-8a93-b62db685bc07	3	104899772	104899778	2	-3.0388
a796c599-8450-419f-8a93-b62db685bc07	3	104900148	148239226	23930	-0.4174
a796c599-8450-419f-8a93-b62db685bc07	3	148239920	148239934	2	-2.5676
a796c599-8450-419f-8a93-b62db685bc07	3	148240148	152614553	2658	-0.406
a796c599-8450-419f-8a93-b62db685bc07	3	152614884	152615267	2	-3.0283
a796c599-8450-419f-8a93-b62db685bc07	3	152616952	156421879	1910	-0.424
a796c599-8450-419f-8a93-b62db685bc07	3	156422960	156428691	3	-2.7857
a796c599-8450-419f-8a93-b62db685bc07	3	156429698	197812401	21065	-0.425
a796c599-8450-419f-8a93-b62db685bc07	4	1059384	25216188	15122	0.5297
a796c599-8450-419f-8a93-b62db685bc07	4	25218282	25437889	122	1.1279
a796c599-8450-419f-8a93-b62db685bc07	4	25438583	181550860	84499	0.5726
a796c599-8450-419f-8a93-b62db685bc07	4	181551410	187842528	2875	-0.4853
a796c599-8450-419f-8a93-b62db685bc07	5	913983	15331173	9889	0.5771
