GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
117463db-2904-42a4-a9c6-b8345a25be7d	1	3301765	55840204	28110	-0.4373
117463db-2904-42a4-a9c6-b8345a25be7d	1	55842498	109756928	32886	-0.4845
117463db-2904-42a4-a9c6-b8345a25be7d	1	109759690	119984772	6484	-0.4567
117463db-2904-42a4-a9c6-b8345a25be7d	1	146716041	152014151	859	-0.0058
117463db-2904-42a4-a9c6-b8345a25be7d	1	152019898	162297451	5783	0.0446
117463db-2904-42a4-a9c6-b8345a25be7d	1	162298033	186347600	15892	0.0077
117463db-2904-42a4-a9c6-b8345a25be7d	1	186347975	200177245	8006	-0.0206
117463db-2904-42a4-a9c6-b8345a25be7d	1	200177275	200796573	408	0.0018
117463db-2904-42a4-a9c6-b8345a25be7d	1	200800165	206963993	3848	0.0554
117463db-2904-42a4-a9c6-b8345a25be7d	1	206964064	247650984	26291	0.0071
117463db-2904-42a4-a9c6-b8345a25be7d	2	480597	43015168	25268	-0.4308
117463db-2904-42a4-a9c6-b8345a25be7d	2	43019628	43019765	2	-2.6354
117463db-2904-42a4-a9c6-b8345a25be7d	2	43020614	105308227	30182	-0.4333
117463db-2904-42a4-a9c6-b8345a25be7d	2	105308490	105308624	2	-5.3266
117463db-2904-42a4-a9c6-b8345a25be7d	2	105308854	138351302	16285	-0.4254
117463db-2904-42a4-a9c6-b8345a25be7d	2	138352428	229708785	52416	-0.4502
117463db-2904-42a4-a9c6-b8345a25be7d	2	229710191	241537572	6694	-0.4229
117463db-2904-42a4-a9c6-b8345a25be7d	3	2170634	74231054	42955	-0.0021
117463db-2904-42a4-a9c6-b8345a25be7d	3	74231178	123324029	24232	-0.035
117463db-2904-42a4-a9c6-b8345a25be7d	3	123324784	143894695	11535	0.0002
117463db-2904-42a4-a9c6-b8345a25be7d	3	143896590	193177672	25826	-0.0321
117463db-2904-42a4-a9c6-b8345a25be7d	3	193180830	194249639	663	0.011
117463db-2904-42a4-a9c6-b8345a25be7d	3	194250413	194251028	2	-1.7975
117463db-2904-42a4-a9c6-b8345a25be7d	3	194252860	197812401	1072	0.0069
117463db-2904-42a4-a9c6-b8345a25be7d	4	1059384	10347271	4852	0.4371
117463db-2904-42a4-a9c6-b8345a25be7d	4	10348032	181170296	94562	0.3405
117463db-2904-42a4-a9c6-b8345a25be7d	4	181172231	181325303	126	-0.641
117463db-2904-42a4-a9c6-b8345a25be7d	4	181327260	181353162	27	-1.4415
