GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f857dc5c-69e3-4980-89df-44a20c0098a7	1	3301765	5261079	1390	-0.114
f857dc5c-69e3-4980-89df-44a20c0098a7	1	5262158	10648561	2872	-0.031
f857dc5c-69e3-4980-89df-44a20c0098a7	1	10659509	10661202	7	-0.7167
f857dc5c-69e3-4980-89df-44a20c0098a7	1	10661309	13473667	1110	-0.0181
f857dc5c-69e3-4980-89df-44a20c0098a7	1	13475756	14868948	1095	-0.0717
f857dc5c-69e3-4980-89df-44a20c0098a7	1	14869132	18260321	1762	-0.0163
f857dc5c-69e3-4980-89df-44a20c0098a7	1	18263126	18263454	3	-1.418
f857dc5c-69e3-4980-89df-44a20c0098a7	1	18264160	40615682	11729	-0.0124
f857dc5c-69e3-4980-89df-44a20c0098a7	1	40615978	42807837	1315	-0.0569
f857dc5c-69e3-4980-89df-44a20c0098a7	1	42808082	48099060	2838	-0.0181
f857dc5c-69e3-4980-89df-44a20c0098a7	1	48100702	48308566	124	0.1059
f857dc5c-69e3-4980-89df-44a20c0098a7	1	48310271	56936309	4946	-0.0254
f857dc5c-69e3-4980-89df-44a20c0098a7	1	56936348	58118896	1037	-0.0704
f857dc5c-69e3-4980-89df-44a20c0098a7	1	58121939	72643374	9467	-0.024
f857dc5c-69e3-4980-89df-44a20c0098a7	1	72643389	74525241	1005	-0.1029
f857dc5c-69e3-4980-89df-44a20c0098a7	1	74525718	74532066	10	0.5928
f857dc5c-69e3-4980-89df-44a20c0098a7	1	74535154	76306643	1138	-0.1111
f857dc5c-69e3-4980-89df-44a20c0098a7	1	76306733	77956679	959	-0.0256
f857dc5c-69e3-4980-89df-44a20c0098a7	1	77960599	84503103	3936	0.0229
f857dc5c-69e3-4980-89df-44a20c0098a7	1	84504882	85262266	527	-0.0197
f857dc5c-69e3-4980-89df-44a20c0098a7	1	85262981	86220163	666	0.1884
f857dc5c-69e3-4980-89df-44a20c0098a7	1	86220891	94177550	4777	-0.0187
f857dc5c-69e3-4980-89df-44a20c0098a7	1	94177975	96013819	1237	0.0317
f857dc5c-69e3-4980-89df-44a20c0098a7	1	96013839	101806926	3541	-0.0177
f857dc5c-69e3-4980-89df-44a20c0098a7	1	101807549	104145728	1039	-0.1075
f857dc5c-69e3-4980-89df-44a20c0098a7	1	104147965	106114520	950	-0.1703
f857dc5c-69e3-4980-89df-44a20c0098a7	1	106116276	107580248	1028	-0.1074
f857dc5c-69e3-4980-89df-44a20c0098a7	1	107580545	116615523	5552	-0.0395
f857dc5c-69e3-4980-89df-44a20c0098a7	1	116618642	118129161	917	0.111
f857dc5c-69e3-4980-89df-44a20c0098a7	1	118132338	119261664	616	0.1864
f857dc5c-69e3-4980-89df-44a20c0098a7	1	119263111	152630615	1646	0.1183
f857dc5c-69e3-4980-89df-44a20c0098a7	1	152630845	153687256	670	-0.0057
f857dc5c-69e3-4980-89df-44a20c0098a7	1	153693134	161081061	4179	-0.0407
f857dc5c-69e3-4980-89df-44a20c0098a7	1	161081344	164498009	2303	-0.0012
f857dc5c-69e3-4980-89df-44a20c0098a7	1	164498064	166009666	1302	-0.0714
f857dc5c-69e3-4980-89df-44a20c0098a7	1	166012642	187350227	13682	-0.0173
f857dc5c-69e3-4980-89df-44a20c0098a7	1	187350858	187827875	349	-0.0964
f857dc5c-69e3-4980-89df-44a20c0098a7	1	187827927	191249489	1901	-0.162
f857dc5c-69e3-4980-89df-44a20c0098a7	1	191249547	193921001	1748	-0.0483
f857dc5c-69e3-4980-89df-44a20c0098a7	1	193921089	195938713	1093	-0.1236
f857dc5c-69e3-4980-89df-44a20c0098a7	1	195938839	216383698	13169	-0.0511
