GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	3301765	12033527	4966	-0.2498
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	12034625	12045275	4	-2.3771
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	12046586	31148580	10022	-0.2394
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	31150820	31152499	2	-2.2059
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	31152542	54873413	12586	-0.2215
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	54876242	189816359	65163	-0.1918
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	189816853	199851354	5824	-0.1644
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	199851681	239938537	26593	-0.2047
c6d8fc41-c1b5-457f-a769-7ad898fdb889	1	239938673	247650984	4399	-0.2171
c6d8fc41-c1b5-457f-a769-7ad898fdb889	2	480597	135605184	70970	-0.1859
c6d8fc41-c1b5-457f-a769-7ad898fdb889	2	135608863	213275608	43831	-0.1634
c6d8fc41-c1b5-457f-a769-7ad898fdb889	2	213276100	232981045	11878	-0.1839
c6d8fc41-c1b5-457f-a769-7ad898fdb889	2	232984941	232990214	2	-2.0388
c6d8fc41-c1b5-457f-a769-7ad898fdb889	2	232990751	241537572	5316	-0.2058
c6d8fc41-c1b5-457f-a769-7ad898fdb889	3	2170634	66759531	37956	-0.2064
c6d8fc41-c1b5-457f-a769-7ad898fdb889	3	66759594	116969132	26069	-0.1861
c6d8fc41-c1b5-457f-a769-7ad898fdb889	3	116973397	117153401	156	-3.0257
c6d8fc41-c1b5-457f-a769-7ad898fdb889	3	117155250	197812401	42831	-0.1942
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	1059384	10029170	4592	1.0243
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	10030493	23460843	9361	1.0562
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	23460944	23460984	4	0.0955
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	23470498	32296491	5704	1.0704
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	32296837	32301089	7	0.412
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	32305815	39423161	4267	1.0807
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	39424581	41005033	755	0.9896
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	41005571	48067890	3660	1.0786
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	51832470	67945758	9476	-0.2107
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	67947323	177105945	60373	-0.1872
c6d8fc41-c1b5-457f-a769-7ad898fdb889	4	177106619	187842528	5168	-0.2121
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	913983	32722393	19162	0.5864
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	32723092	37237262	2431	0.606
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	37245488	37424519	69	0.3869
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	37424753	93800808	28195	0.6046
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	93802249	97656649	2203	0.6426
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	97657406	133537011	19734	0.6052
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	133537746	142464523	5014	0.5714
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	142465092	171345213	19092	0.5974
c6d8fc41-c1b5-457f-a769-7ad898fdb889	5	171345641	180934240	5152	0.5614
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	1011760	14701945	9908	-0.215
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	14702436	14702992	4	-1.8245
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	14703979	14792245	79	-0.1997
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	14792861	14792885	2	-1.6339
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	14793230	17311615	1589	-0.1934
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	17311829	44291835	14641	-0.2167
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	44294288	141648860	53408	-0.1952
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	141650565	141650770	2	-2.292
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	141651512	147686008	3717	-0.1783
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	147687001	147687744	2	-1.9795
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	147693411	148565526	674	-0.2074
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	148566506	148566527	2	-2.5441
c6d8fc41-c1b5-457f-a769-7ad898fdb889	6	148571473	170596889	12974	-0.2029
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	664936	3288683	1016	0.5007
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	3289876	4060321	206	0.6025
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	4063716	7131631	1101	0.4642
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	7131745	43881906	22794	0.5602
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	43883779	45034200	531	0.4695
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	45049388	55669446	7520	0.5503
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	55669924	69433052	2702	0.4623
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	69436599	72424277	1713	0.5228
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	72424481	77178189	1006	0.4244
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	77179907	97740579	11352	0.5641
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	97740652	102788969	1826	0.4695
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	102804720	152180877	26795	0.5551
c6d8fc41-c1b5-457f-a769-7ad898fdb889	7	152184505	158592540	3351	0.5177
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	667625	27956966	16387	-0.2183
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	27959633	27959967	2	-2.1814
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	27964180	49121066	9798	-0.2272
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	49121742	78320529	17235	-0.1961
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	78321052	78335195	4	-1.6095
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	78335431	138130829	36201	-0.1969
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	138131176	138131668	2	-2.7916
c6d8fc41-c1b5-457f-a769-7ad898fdb889	8	138132671	144182542	2476	-0.2349
c6d8fc41-c1b5-457f-a769-7ad898fdb889	9	789794	21731367	13499	-0.1994
c6d8fc41-c1b5-457f-a769-7ad898fdb889	9	21731368	21732467	2	-2.2207
c6d8fc41-c1b5-457f-a769-7ad898fdb889	9	21732467	127407595	49677	-0.2073
c6d8fc41-c1b5-457f-a769-7ad898fdb889	9	127436587	138044505	5200	-0.2584
c6d8fc41-c1b5-457f-a769-7ad898fdb889	10	366509	133411599	81160	-0.2136
c6d8fc41-c1b5-457f-a769-7ad898fdb889	11	456012	63693638	34675	-0.2138
c6d8fc41-c1b5-457f-a769-7ad898fdb889	11	63698855	71580425	2993	-0.2744
c6d8fc41-c1b5-457f-a769-7ad898fdb889	11	71580444	80358462	4931	-0.2212
c6d8fc41-c1b5-457f-a769-7ad898fdb889	11	80358616	106941970	16371	-0.1955
c6d8fc41-c1b5-457f-a769-7ad898fdb889	11	106944775	134272740	18468	-0.22
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	780472	5781694	3191	0.5784
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	5782828	6510260	455	0.5086
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	6512945	6513180	2	-0.6704
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	6517203	7174457	261	0.5065
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	7176959	31287517	14534	0.5826
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	31289288	32951222	1044	0.5154
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	32953079	48015032	5351	0.5878
c6d8fc41-c1b5-457f-a769-7ad898fdb889	12	48015271	58962495	5824	0.5434
