GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	1	3301765	153195743	69120	-0.1707
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	1	153198462	153198707	4	-2.2533
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	1	153200163	186882084	21262	-0.1688
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	1	186882351	199289510	7143	-0.1331
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	1	199292171	247650984	31105	-0.1767
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	2	480597	37174806	22128	-0.1604
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	2	37174881	37183498	5	-2.0782
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	2	37185792	241537572	108938	-0.1522
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	3	2170634	53241761	29033	-0.1615
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	3	53243251	59552044	4131	-0.1949
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	3	59552554	59553252	2	-2.034
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	3	59554058	69780060	6577	-0.191
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	3	69780108	197812401	66493	-0.1651
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	4	1059384	31231753	18822	-0.1786
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	4	31234187	31234404	2	-2.8821
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	4	31235643	44279427	7401	-0.1683
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	4	44281297	44282061	2	-2.4125
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	4	44282307	187842528	76279	-0.161
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	5	913983	40872740	23711	0.6123
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	5	40873134	41523720	444	0.5037
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	5	41523876	82512565	19528	0.6115
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	5	82515081	133998603	27977	0.6305
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	5	134000463	178212452	27225	0.6159
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	5	178212941	179358031	676	0.7105
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	5	179362755	180934240	757	0.6314
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	6	1011760	170596889	96257	-0.1699
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	664936	22695909	11348	-0.1667
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	22696317	22696827	2	-3.2738
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	22699143	25469600	2042	-0.1771
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	25470335	25471609	3	-2.483
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	25472546	68704595	21722	-0.1818
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	68704736	68704829	2	-3.373
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	68708086	131576000	31619	-0.1839
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	131576888	131590251	13	-0.8579
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	7	131590319	158592540	14517	-0.1776
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	8	667625	12727927	5215	0.5993
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	8	12728221	48855086	20652	0.5863
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	8	48858275	117053680	38446	0.6042
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	8	117059406	117070045	11	-0.3833
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	8	117072228	144182542	17266	0.6
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	9	789794	138044505	67828	-0.177
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	10	366509	45550453	28000	-0.185
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	10	45552008	50716389	1481	-0.078
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	10	50719256	123179512	45140	-0.1792
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	10	123182435	123182832	2	-2.1424
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	10	123185699	133411599	5963	-0.1804
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	456012	3786995	1089	-0.1335
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	3787114	58078712	30313	-0.1919
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	58078839	68764920	4370	-0.1588
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	68769366	68769371	2	-2.5736
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	68769544	77301259	4481	-0.1813
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	77303350	84140933	4382	-0.223
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	84141173	119632805	22134	-0.183
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	119634241	119634715	2	-2.4091
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	119636530	123401601	2731	-0.2049
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	123403929	123581067	140	-0.3881
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	11	123582821	134272740	7231	-0.1959
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	12	780472	31459250	18396	0.6083
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	12	31459693	32938990	940	0.5334
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	12	32939064	58396366	10672	0.6181
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	12	58397157	58829037	335	0.487
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	12	58833387	92481037	20218	0.6079
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	12	92483786	120398000	17517	0.5867
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	12	120398422	132605822	5705	0.6094
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	13	18874255	85716420	38378	-0.1719
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	13	85718534	85719403	5	-1.5973
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	13	85723496	114226675	17997	-0.1686
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	14	20033191	102175769	48065	-0.1692
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	14	102178468	102178838	2	-2.7714
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	14	102183114	105533894	1244	-0.1711
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	15	23437561	101344124	44379	-0.1791
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	16	603333	5024951	1658	0.6414
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	16	5025632	6507650	1017	0.5482
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	16	6509696	6514333	8	-0.3581
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	16	6514394	81338346	33361	0.5908
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	16	81338795	83760390	2199	0.616
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	16	83760392	83760401	2	-0.982
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	16	83760419	89317317	2682	0.6359
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	17	1074619	82959812	36997	-0.1736
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	18	326691	79349796	42562	-0.1839
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	19	283868	21495996	7903	-0.1452
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	19	21497382	32417101	4529	-0.1923
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	19	32418610	49251802	7830	-0.1544
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	19	49252233	49252403	2	-3.049
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	19	49253778	49377132	51	-0.0822
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	19	49379357	58370362	3693	0.6219
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	20	472817	3000742	1686	0.6285
50ab5e94-748b-41f3-a8b8-4fa8e4512a67	20	3001104	61713452	34869	0.5827
