GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	1	3301765	87718970	48164	-0.6419
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	1	87719476	97242691	5801	0.1668
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	1	97245871	107412444	5606	-0.6439
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	1	107412681	108613662	674	0.1548
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	1	108614257	116651448	4976	-0.6422
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	1	116663714	247650984	63104	0.1566
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	480597	3001685	1006	0.2178
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	3003281	11847461	6062	-0.6384
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	11847806	11851739	6	-3.0919
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	11852257	41655501	17149	-0.6391
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	41656389	41657072	2	-3.5267
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	41658633	44275649	1667	-0.6569
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	44276990	44335710	24	-3.9789
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	44336418	73866669	16816	-0.6296
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	73866706	74112183	184	-3.2399
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	74115410	88831554	7150	-0.6393
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	94675825	231261722	74735	0.1656
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	2	231265132	241537572	6041	0.2018
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	3	2170634	147165860	80319	0.159
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	3	147166820	147342480	25	-0.3366
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	3	147346009	169402950	11294	0.1571
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	3	169403392	169403632	2	-2.0323
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	3	169405552	197812401	14678	0.1606
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	4	1059384	44154323	26205	0.1571
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	4	44156243	48067890	1933	-0.697
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	4	51832470	78700285	15074	0.1488
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	4	78701254	107916653	16276	-0.6824
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	4	107916955	180250524	39527	0.1496
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	4	180250910	180349270	71	-0.6756
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	4	180349836	187842528	3445	0.1803
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	913983	1300469	62	0.6676
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	1308959	1428688	64	-0.6597
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	1880474	2523647	517	0.7221
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	2523740	15353899	9193	-0.6907
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	15361869	16614589	414	0.7132
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	16621618	18442123	918	-0.6908
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	18458441	18804949	201	0.6858
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	18809311	19155021	130	-0.5474
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	19156899	19173853	12	0.8518
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	19177268	21974659	1290	-0.667
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	21976378	22001290	6	-0.1012
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	22002945	22882191	423	0.6742
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	22885290	23065517	112	1.3495
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	23067978	23128283	46	0.6744
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	23132117	23698713	333	-0.687
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	23701290	34827939	6099	0.6757
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	34833276	36701556	1293	0.1747
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	36702340	39691505	1791	0.6812
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	39692063	39777997	60	0.1514
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	39779711	40039162	144	0.6714
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	40040355	40108847	52	0.2588
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	40109072	40379587	180	0.6958
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	5	40389511	180934240	76844	0.1621
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	1011760	100922982	55357	0.1664
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	100923311	107671531	3832	-0.6793
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	107671597	107671744	2	-3.148
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	107671838	107866829	186	-0.6809
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	107868735	111073399	1863	0.1729
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	111073435	122148826	5961	-0.6826
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	122150555	122294279	64	0.2105
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	6	122294548	170596889	28849	-0.6836
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	7	664936	8019603	3087	0.1759
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	7	8024879	8025481	3	-1.6808
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	7	8031606	158592540	78241	0.1541
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	667625	5039421	2317	-0.7049
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	5042567	5043369	4	-3.7383
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	5046487	15050386	4668	-0.6898
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	15051504	15051830	3	-5.8276
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	15052536	32329669	11890	-0.6864
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	32332240	32340134	16	-4.3046
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	32340397	41520250	4918	-0.6996
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	41530970	53237492	4302	0.1544
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	53237506	53237545	2	-2.0163
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	8	53237571	144182542	53260	0.155
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	9	789794	21839133	13385	-0.6546
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	9	21846286	22019733	110	-2.5542
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	9	22020524	28586158	3998	-0.654
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	9	28981483	116607349	37907	0.1582
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	9	116608400	119377721	2094	-0.6541
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	9	119378508	138044505	10300	0.1907
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	10	366509	14399394	10186	0.1809
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	10	14399717	120021531	61933	0.1591
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	10	120021884	133411599	8520	0.1822
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	456012	1662334	384	0.1634
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	1878795	2079679	40	-0.5534
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	2080053	2080087	2	-2.3004
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	2080165	14700455	8286	0.1766
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	14702166	14703482	2	-1.9517
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	14705068	23610063	6247	0.1542
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	23617448	23823613	100	-0.6518
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	23824754	26513775	1642	0.644
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	26521708	28544370	1222	0.1511
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	28545069	29430011	524	1.0229
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	29430521	30893499	943	0.177
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	30893763	31136848	153	0.6587
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	31137027	31138900	2	-1.7451
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	31141106	31445033	131	0.5916
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	11	31452281	134272740	57255	0.1577
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	12	780472	16261493	8711	-0.6359
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	12	16275804	16558413	219	0.1447
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	12	16560463	25061686	5075	-0.6556
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	12	25061712	132605822	59674	0.1551
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	13	18874255	70577247	28994	0.1543
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	13	70578229	71153993	351	-0.6772
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	13	71157284	114226675	27097	0.1564
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	14	20033191	27077990	3442	0.1666
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	14	27078096	27946044	360	-0.6187
0389b7f4-3b8e-48ab-8cbe-9b0523668dd2	14	27953339	105533894	45559	0.1665
