GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	3301765	4166952	466	-1.1069
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	4167260	4167404	2	-4.259
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	4173716	11531747	4205	-1.0362
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	11538613	12057844	255	-0.4301
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	12059512	15175985	1706	-1.0913
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	15176043	15223062	56	-3.322
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	15224029	15275540	42	-1.9478
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	15281289	15592244	168	-1.0282
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	15592573	15670363	41	-0.4088
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	15674246	16187746	182	-0.0527
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	16187874	16471261	116	-0.4018
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	16999460	17122610	101	-0.0332
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	17129208	19173834	1466	-0.4184
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	19174619	19296174	43	-0.9634
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	19296937	20058265	523	-0.4192
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	20058291	20246128	132	-0.8391
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	20246145	21740240	801	-0.4067
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	21740845	21783579	26	0.0064
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	21783826	22168351	132	0.492
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	22170210	22277308	82	0.287
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	22277396	28285526	2767	-0.0546
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	28286371	28872925	201	0.2389
3c8a901a-645d-401d-938b-abc7d6e2ad2a	1	28882444	40185117	6155	-0.0326
