GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	3301765	4134652	456	0.269
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	4137358	5929921	1393	-1.1932
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	5930444	6408568	190	-0.2027
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	6415626	12083236	2866	-1.0875
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	12084377	16433121	2307	-0.1992
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	16434707	16470247	21	0.2956
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	16471261	20504007	2436	-0.2056
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	20509501	20539210	17	0.3281
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	20539386	21199228	360	-0.2388
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21201666	21358952	73	0.3376
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21361264	21538057	56	0.7067
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21540071	21554105	12	0.2553
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21556327	21776342	140	-0.236
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21780507	21837671	20	0.2178
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21838233	21944210	62	-0.1695
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21944482	21967332	13	0.4205
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	21969814	22464455	227	-0.2103
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	22466159	22651390	95	-1.0959
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	22654121	22654193	2	-6.9381
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	22654271	23151649	325	-1.0676
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	23154091	25152361	1054	-0.2387
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	25153245	25371978	27	-0.8375
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	25373504	25568362	25	-0.1722
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	25570265	26522133	484	-1.1126
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	26523804	39328434	6612	-0.2263
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	39339630	39638789	136	0.289
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	39702915	41412940	880	-0.2184
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	41413008	41437636	12	0.4186
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	41438350	42915394	945	-0.2254
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	42921631	43008874	73	0.3432
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	43011286	54017091	5648	-0.2198
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	54019912	54311889	184	0.3277
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	54318188	73075772	12668	-0.2405
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	73079229	73250091	98	0.2486
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	73250100	73379280	57	0.5659
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	73381662	73449192	45	0.2678
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	73453840	74642183	660	-0.319
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	74644454	77650269	1895	0.2499
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	77652851	83439640	3299	0.2158
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	83439684	87980017	3096	0.2732
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	87981643	98077442	6035	-0.2591
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	98078251	101458770	2119	0.24
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	101459443	104170045	1302	0.2001
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	104176222	104199028	19	-0.3029
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	104204629	107377582	1753	0.197
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	107377597	150377292	7949	0.2665
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	150494291	169765336	12208	-0.2393
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	169769555	169775811	8	-1.4934
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	169778242	169879189	95	-0.1974
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	169886435	169991408	91	-1.1351
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	169995965	177112185	4055	-0.2407
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	177112540	177215587	78	0.2369
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	177215954	184900322	5110	-0.2191
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	184900809	193139074	4813	-0.2891
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	193144163	193186325	71	-0.9177
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	193191928	194379763	864	-0.255
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	194384786	194454817	56	-1.1486
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	194495592	195547662	510	-0.2803
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	195548377	196287368	464	-1.1168
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	196300118	199869919	1939	-0.2873
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	199869936	206975033	4504	-0.2257
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	206975114	213319964	4356	-0.2878
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	213324124	213550902	176	-1.1266
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	213550982	219777765	4377	-0.3039
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	219778611	220344073	350	0.6219
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	220345101	220357837	11	0.1552
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	220358450	220366094	6	0.5136
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	220369631	235178081	9305	-0.2376
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	235184493	235272215	40	-1.0604
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	235272638	241036749	4302	-0.2614
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	241047168	241243135	155	-1.0783
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	241246902	243979136	1716	-0.2411
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	243983478	245705061	965	0.6656
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	245710534	245830185	88	0.3092
8aa24da8-071b-4cd2-a1d8-480ee049c863	1	245831140	247650984	608	0.6235
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	480597	15317411	9506	-0.2093
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	15326987	15530249	117	-1.0566
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	15535967	26736380	6964	-0.2176
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	26740379	26750135	13	0.4603
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	26755939	33187468	3294	-0.2048
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	33187980	33373150	116	-1.0522
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	33373325	48981505	9327	-0.2331
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	48981895	53130504	2195	-0.3054
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	53131067	54538037	609	-0.2266
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	54605125	54984658	298	0.2956
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	54984748	59572502	2619	-0.2571
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	59573143	68790692	5384	-0.2226
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	68790772	68790888	2	-1.8949
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	68791655	75806863	4007	-0.2296
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	75807973	81883401	3243	-0.2839
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	81883535	81884390	2	-2.0693
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	81886769	83620444	875	-0.2991
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	83622573	85721808	1193	0.2426
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	85722273	85987977	190	0.465
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	85988537	100195184	2771	0.2664
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	100195441	100392923	156	0.9909
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	100395836	114420900	7622	0.2796
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	114420979	114422030	2	-1.1959
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	114422336	114827788	235	0.2865
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	114828127	118248314	1535	0.2293
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	118249242	122260263	2454	0.31
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	122260444	126421023	1758	0.2206
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	126424198	137199071	5609	0.2856
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	137201063	140317995	1366	0.2161
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	140322289	141171380	540	-0.271
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	141174229	153383285	7256	0.2467
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	153383795	153471406	45	-0.3687
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	153472158	157661726	2229	0.2106
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	157661972	160576433	1800	0.293
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	160580567	161623767	642	0.2344
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	161625925	161844571	88	-0.0259
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	161864698	167068281	2906	0.2468
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	167069849	169558931	1654	0.2838
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	169564805	169595584	17	-0.2049
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	169599707	180099481	6580	0.2845
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	180100312	194851060	7190	0.2397
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	194854741	196519665	729	-0.2214
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	196521248	200036971	1931	0.2557
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	200040437	208382659	4837	-0.2075
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	208383008	214602685	3667	-0.2727
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	214604270	229465891	9553	-0.2117
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	229471343	232139725	1212	-1.0773
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	232141633	232141640	2	-6.5078
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	232142392	233324589	574	-1.1208
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	233326182	233326656	3	-4.7601
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	233327174	237664712	2955	-1.0816
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	237664758	237665428	2	-6.5123
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	237665783	238562828	484	-1.0795
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	238563458	238582762	18	-4.7003
8aa24da8-071b-4cd2-a1d8-480ee049c863	2	238584241	241537572	1556	-1.1415
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	2170634	11612533	5562	-0.2375
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	11612938	11614614	2	-2.2286
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	11618938	13234107	1127	-0.2598
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	13234548	13239950	4	-1.7485
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	13240856	16049666	1780	-0.2304
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	16051065	16123626	52	0.1859
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	16123911	16827414	558	-0.2387
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	16828652	16932270	60	0.2499
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	16934154	17239872	179	-0.3186
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	17244223	17377255	80	-1.1249
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	17377499	25939090	4882	-0.2759
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	26419435	26737517	219	-1.0852
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	26737846	31646029	3197	-0.2641
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	31652418	31684568	20	-1.0008
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	31685111	37474715	3409	-0.2619
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	37475538	37518154	34	-0.952
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	37518252	37523352	10	-3.2693
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	37528908	37620770	82	-1.133
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	37621347	52153466	7480	-0.2344
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	52155842	52264970	40	0.2957
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	52269846	52891989	280	-0.2587
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	52892671	52977203	45	0.5495
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	52977737	53179109	113	0.9311
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	53179641	53298986	69	0.6291
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	53301715	62165421	5114	-0.2326
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	62166781	73891104	8607	0.2813
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	73891461	76934273	1441	0.2068
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	76934314	78712418	1011	0.2502
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	78719225	78941385	130	-0.2932
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	78945890	82887415	2149	0.2406
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	82890602	94638749	3768	0.1908
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	94647157	94708195	25	-0.3918
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	94715687	102880752	4234	0.2257
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	102882265	102911202	19	-0.3352
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	102913823	105908525	1815	0.2053
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	105909248	109417599	1882	0.2542
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	109418858	114519822	2949	0.1914
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	114521297	115267585	394	-0.2772
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	115269533	118620485	2375	0.154
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	118620499	139293139	11452	0.214
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	139297068	139402879	82	0.5119
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	139402917	143874533	2541	0.2137
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	143878084	148849733	2322	0.1595
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	148854166	150223183	836	0.2424
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	150229026	150331993	61	0.6398
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	150333803	157596419	4085	0.1918
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	157597124	162122116	2441	0.1776
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	162122797	167555514	2188	0.1125
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	167556544	180963006	7083	0.172
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	180971435	181108003	70	-0.4658
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	181121010	184179380	1250	0.1796
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	184180057	184239929	29	0.5494
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	184240129	188167648	2493	0.2071
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	188168612	188610350	310	-0.3407
8aa24da8-071b-4cd2-a1d8-480ee049c863	3	188614715	197812401	4627	0.2171
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	1059384	3174783	828	0.2174
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	3177808	3418113	139	-0.3053
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	3427347	4496867	388	0.2418
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	4497222	4670335	122	-0.1627
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	4672114	9898009	2985	0.2698
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	9898231	12937171	2349	0.213
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	12937467	20734992	5342	0.2586
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	20737839	24653992	2632	0.1984
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	24658421	26648491	1329	0.2565
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	26650020	26699747	15	-0.3168
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	26709493	27635806	597	0.2216
8aa24da8-071b-4cd2-a1d8-480ee049c863	4	27639617	35620668	4647	0.1724
