GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	3301765	8035647	3049	0.0385
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	8036148	12370544	2088	-0.0178
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	12371149	15035860	1475	0.0446
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	15036048	15039744	2	1.3613
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	15040194	16467652	682	0.0223
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	16467775	17242490	192	-0.3292
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	17243791	17244801	2	-1.9746
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	17245727	30793010	7269	-0.2964
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	30794326	91528218	36317	0.0424
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	91529029	91569746	39	0.3867
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	91570606	91583457	13	0.0847
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	91583745	108665524	9684	-0.035
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	108673894	109028555	206	0.2603
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	109067737	112805948	2373	-0.0521
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	112808307	112808779	3	-1.2646
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	112809562	119084502	3835	-0.0346
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	119084604	119403528	185	0.023
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	119403575	119419686	11	0.5397
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	119420831	150036820	441	0.0585
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	150036884	161840458	6199	0.0235
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	161840817	164426058	1941	0.0849
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	164426144	164430445	2	-1.6329
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	164430946	177985070	8967	0.0585
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	177993049	178109108	82	0.373
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	178109221	183725604	3715	0.0262
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	183725652	199391952	9186	0.0518
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	199396599	205222539	3855	0.0162
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	205235128	205468772	142	0.3627
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	205469786	225884298	13258	0.0507
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	225886459	226946108	630	-0.0299
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	226952071	237257381	6842	0.0429
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	237257709	243586607	4488	0.0778
71b0e121-a5ad-4b9a-8003-417c8fe715f7	1	243586678	247650984	1931	0.0371
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	480597	38549579	22717	0.3676
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	38551960	38727277	91	0.6348
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	38753905	39072173	182	0.2913
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	39072971	41904071	1747	0.3851
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	41906292	41906436	5	-0.331
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	41906511	43145980	791	0.3267
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	43150241	43157125	7	-0.4699
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	43157902	69151524	15085	0.3632
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	69153142	70441759	767	0.2953
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	70443151	76151855	3135	0.3428
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	76151918	84151459	4221	0.378
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	84154266	100423494	4007	0.3409
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	100425836	100827343	302	0.6146
71b0e121-a5ad-4b9a-8003-417c8fe715f7	2	100828048	241537572	78610	0.3589
71b0e121-a5ad-4b9a-8003-417c8fe715f7	3	2170634	8638430	3689	-0.4058
71b0e121-a5ad-4b9a-8003-417c8fe715f7	3	8638470	15582921	4468	-0.4474
71b0e121-a5ad-4b9a-8003-417c8fe715f7	3	15583550	24945776	5136	-0.4064
71b0e121-a5ad-4b9a-8003-417c8fe715f7	3	24947447	24949139	2	-3.6399
71b0e121-a5ad-4b9a-8003-417c8fe715f7	3	24950202	117224163	50564	-0.4097
71b0e121-a5ad-4b9a-8003-417c8fe715f7	3	117226233	117696017	337	-0.8282
71b0e121-a5ad-4b9a-8003-417c8fe715f7	3	117701570	197812401	42190	-0.4068
71b0e121-a5ad-4b9a-8003-417c8fe715f7	4	1059384	10090203	4621	0.0327
71b0e121-a5ad-4b9a-8003-417c8fe715f7	4	10091854	25050509	10427	0.0666
71b0e121-a5ad-4b9a-8003-417c8fe715f7	4	25051163	183561518	86038	0.0438
