GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	3302046	27941987	13195	-0.4455
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	27942195	27943535	2	-2.9704
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	27944226	32353429	2265	-0.4243
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	32365942	32428780	29	0.1217
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	32451982	119391420	51973	-0.441
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	119392438	149909846	399	0.4269
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	149910462	151811390	728	-0.011
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	151813896	153235425	859	0.1071
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	153238306	162382504	5186	0.0238
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	162382694	164486745	1519	0.0952
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	164486878	181954433	11556	0.0397
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	181956295	183597778	1123	-0.0204
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	183598047	198383306	8663	0.0416
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	198383308	204093280	3602	0.0024
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	204098153	204175121	75	0.3793
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	204176157	213100207	6020	0.0291
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	213100875	213682245	359	0.3898
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	213683044	213759478	69	0.0621
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	213760024	214808262	797	0.391
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	214810473	215262458	332	0.0695
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	215263508	234667903	12481	0.377
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	234668406	240545854	4316	0.3376
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	1	240546781	247650984	3864	0.3788
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	480597	72678576	42876	0.3604
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	72678896	99649959	9549	0.3354
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	99652854	113950285	7830	0.3533
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	113951151	116497058	1363	0.4103
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	116497187	130957083	7284	0.3451
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	130960269	131182921	102	-0.0645
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	131188740	134635540	1604	0.3535
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	134637073	135249405	318	0.0009
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	135252652	135978550	311	0.3387
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	135979036	138704735	1361	0.0336
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	138705317	139562617	513	0.3508
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	139568392	159239876	11465	0.002
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	159242021	159318483	51	0.3867
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	2	159318543	241537572	47490	0.0097
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	2170634	11351613	5413	0.0364
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	11351794	11551539	112	-0.431
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	11552053	13013995	999	0.0278
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	13014076	13046812	26	0.4138
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	13046907	52835034	22501	0.0284
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	52836116	53067810	129	0.3814
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	53069245	59649201	4318	0.0403
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	59649489	70604547	7141	0.062
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	70606217	77502832	4192	0.015
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	77506297	83176235	3063	0.073
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	83183369	152674637	36020	0.0295
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	152675973	152903492	127	0.2531
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	152904107	188163515	18092	0.0143
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	188164955	192682181	2940	0.0551
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	3	192683305	197812401	2001	0.0054
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	1059384	24626426	14770	0.0369
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	24626529	35055952	6272	-0.0062
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	35058027	56777782	10462	0.0229
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	56782993	76191437	10304	-0.4616
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	76191939	77100056	600	0.0194
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	77100460	130004884	29912	-0.469
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	130006306	130675487	343	0.0266
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	130676552	130723723	39	0.3127
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	130735308	131018350	164	0.0128
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	131019052	131493264	35	0.7049
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	131494153	131643869	80	0.3832
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	131644361	132491303	358	-0.4238
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	132491896	132929564	312	0.0306
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	132929804	133440773	135	0.416
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	133451317	145841048	6813	-0.4674
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	145843567	145853423	10	0.3383
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	145854148	148416256	1547	-0.4772
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	148416547	149135223	406	0.0393
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	149142108	150997179	882	-0.4502
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	151103174	151510618	182	0.0003
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	151516654	151697332	88	0.3145
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	151698637	152153726	326	-0.001
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	152154901	155564975	2032	-0.4787
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	155566988	157606081	1272	0.048
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	4	157612617	187842528	15909	-0.4694
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	914118	7351510	4611	-0.5477
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	7354874	7924929	372	0.0068
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	7930588	7931168	5	-1.3159
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	7932296	10446104	1966	0.058
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	10448135	14801957	2655	-0.49
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	14802002	14802401	2	-2.2197
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	14802444	16665604	776	-0.4524
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	16666298	16771531	58	0.0034
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	16772867	18767486	1028	-0.5113
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	18777092	18992718	63	0.1152
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	19017511	23705839	2325	-0.458
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	23709765	33588230	5816	0.0271
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	33588311	53453120	7957	0.0531
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	53455194	172776374	68956	0.0258
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	172776510	172854938	70	0.3891
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	172856080	180932089	4281	0.0296
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	5	180932733	180934240	5	-0.3366
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	1011760	10155100	6666	0.385
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	10155424	11852418	1083	0.322
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	11852605	42614518	17658	0.364
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	42620080	44314163	856	0.3185
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	44315061	53584466	5550	0.3791
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	53584503	56416990	1856	0.4264
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	56417804	56430859	17	0.9078
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	56443349	65358273	2212	0.4132
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	65358978	84401762	10878	0.3792
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	84402396	88503461	2353	0.0452
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	88506120	89364308	513	0.361
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	89365640	93327440	2518	0.0084
31c0a89c-deca-4a99-8c8d-ff0a4152cc40	6	93327682	94567775	287	0.3733
