GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	3301765	8839847	3448	-0.4688
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	8841892	15900948	3643	-0.003
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	15907072	16090490	64	0.357
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	16097604	19635407	2016	0.0079
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	19636380	19703188	44	0.4551
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	19706714	21498495	1026	-0.0049
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	21498543	21612222	68	0.2151
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	21612277	21639636	23	-0.0857
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	21640853	23071719	793	-0.1947
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	23075189	27376554	1910	-0.2634
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	27378398	29096439	662	-0.1706
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	29100084	36091325	3850	-0.0979
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	36092018	47868818	6378	-0.2082
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	47868980	50466617	1408	-0.1258
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	50469359	53474056	1397	-0.2066
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	53474116	55313714	1144	-0.1087
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	55314811	58044697	2268	-0.0308
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	58047749	73011960	9766	-0.1503
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	73015080	73016313	2	-2.2541
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	73016477	85064473	7235	-0.1221
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	85064531	101709896	10272	-0.0787
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	101710863	106675214	2412	0.0214
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	106676153	112509564	3674	-0.0942
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	112512314	112512351	2	-1.8195
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	112512401	117710713	3269	-0.0778
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	117711015	151691956	1972	0.0067
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	151693162	153274022	956	0.111
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	153275182	156753853	1572	0.0457
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	156755161	162925017	4009	0.0856
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	162925032	165452003	1957	0.1403
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	165452021	186270670	13506	0.0972
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	186271013	197680538	6567	0.1565
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	197684034	200215218	1581	0.1168
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	200218376	208257505	5152	0.0601
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	208262681	210216072	1505	0.1267
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	210216575	213679735	2232	0.077
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	213680808	220957846	5015	0.137
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	220959551	237140439	10278	0.0828
740ed154-d2e9-41cb-ad4f-db90423f4d6c	1	237140619	247650984	6569	0.1278
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	480597	7630531	4328	0.0884
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	7633189	11986288	2964	0.0333
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	11989203	23617167	7862	0.0785
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	23617231	29425861	2801	0.0016
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	29426028	41955946	6916	0.0684
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	41960121	48607301	4276	0.0233
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	48607957	60502074	6642	0.0889
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	60504680	62378835	877	-0.0371
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	62380963	65144935	1390	0.0345
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	65152824	65156829	4	-1.3597
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	65163149	67854240	1975	0.0791
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	67854363	75337060	4170	0.0446
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	75337786	84841508	5149	0.0949
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	84842949	97949025	2205	0.0279
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	97951557	97956380	2	-1.665
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	97957281	102629772	2822	0.0265
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	102631684	111911067	4794	0.0687
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	111911258	112099608	115	0.311
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	112100065	113985028	979	0.0193
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	113985440	118528732	2256	0.0998
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	118529609	120260496	1053	0.0398
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	120260961	138909202	9148	-0.4131
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	138913197	229684697	52601	0.0764
740ed154-d2e9-41cb-ad4f-db90423f4d6c	2	229684719	241537572	6778	0.0396
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	2170634	9339566	4255	0.0919
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	9339771	16816067	4835	0.0262
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	16817334	26722584	5421	0.084
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	26723235	26725186	2	-1.9773
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	26727327	36091859	5798	0.0776
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	36092975	36094217	3	1.7984
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	36094469	36194944	101	0.06
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	36195677	36199126	2	-1.1712
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	36199413	37480413	751	0.0965
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	37480435	52879362	7915	0.0234
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	52879765	56653776	2718	0.0685
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	56654852	58412126	970	0.0046
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	58412739	73603264	10024	0.0732
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	73604017	99137095	11108	0.1158
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	99137299	101940101	1429	0.0483
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	101942309	111712122	5433	0.102
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	111712505	116467692	2922	0.0632
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	116470687	118558674	1517	0.1088
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	118559381	143010538	13672	0.0544
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	143010741	149405332	3109	0.1162
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	149407280	157410821	4510	0.0589
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	157413642	169538768	5943	0.1102
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	169539343	172794744	1814	0.048
740ed154-d2e9-41cb-ad4f-db90423f4d6c	3	172803927	178468200	2639	0.1126
