GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3a9f554e-420f-422a-b377-9ef347a926cf	1	62920	462894	19	0.7831
3a9f554e-420f-422a-b377-9ef347a926cf	1	599171	12832455	6464	-0.3663
3a9f554e-420f-422a-b377-9ef347a926cf	1	12850124	12867264	4	-2.2162
3a9f554e-420f-422a-b377-9ef347a926cf	1	12868035	16679281	2143	-0.3455
3a9f554e-420f-422a-b377-9ef347a926cf	1	16679483	16958425	84	-0.6824
3a9f554e-420f-422a-b377-9ef347a926cf	1	16959715	20556710	2500	-0.3374
3a9f554e-420f-422a-b377-9ef347a926cf	1	20556929	20557323	4	-2.1372
3a9f554e-420f-422a-b377-9ef347a926cf	1	20558448	34626073	7632	-0.3385
3a9f554e-420f-422a-b377-9ef347a926cf	1	34637053	34637435	6	-2.2125
3a9f554e-420f-422a-b377-9ef347a926cf	1	34637541	34638226	5	-0.6126
3a9f554e-420f-422a-b377-9ef347a926cf	1	34638263	34638878	8	-3.7472
3a9f554e-420f-422a-b377-9ef347a926cf	1	34638890	72297687	23519	-0.3159
3a9f554e-420f-422a-b377-9ef347a926cf	1	72302735	72345465	48	0.9303
3a9f554e-420f-422a-b377-9ef347a926cf	1	72346221	105470754	20736	-0.3093
3a9f554e-420f-422a-b377-9ef347a926cf	1	105476583	105479753	17	0.7427
3a9f554e-420f-422a-b377-9ef347a926cf	1	105481433	113224635	5252	-0.303
3a9f554e-420f-422a-b377-9ef347a926cf	1	113225129	113233139	4	-2.1845
3a9f554e-420f-422a-b377-9ef347a926cf	1	113233561	152583051	6836	-0.3092
3a9f554e-420f-422a-b377-9ef347a926cf	1	152583230	152614118	35	0.7891
3a9f554e-420f-422a-b377-9ef347a926cf	1	152618018	152784330	162	-0.3411
3a9f554e-420f-422a-b377-9ef347a926cf	1	152785214	152796224	39	0.3356
3a9f554e-420f-422a-b377-9ef347a926cf	1	152801429	158896783	3565	-0.3329
3a9f554e-420f-422a-b377-9ef347a926cf	1	158898711	158899969	2	3.4027
3a9f554e-420f-422a-b377-9ef347a926cf	1	158905028	210593654	34789	-0.306
3a9f554e-420f-422a-b377-9ef347a926cf	1	210593761	210598056	2	-4.7044
3a9f554e-420f-422a-b377-9ef347a926cf	1	210599098	248930189	26190	-0.324
3a9f554e-420f-422a-b377-9ef347a926cf	2	12784	14208790	10599	-0.2997
3a9f554e-420f-422a-b377-9ef347a926cf	2	14212200	14229064	60	0.7473
3a9f554e-420f-422a-b377-9ef347a926cf	2	14232571	34450400	13128	-0.2889
3a9f554e-420f-422a-b377-9ef347a926cf	2	34456427	34502800	48	0.2278
3a9f554e-420f-422a-b377-9ef347a926cf	2	34511446	35750907	859	-0.3089
3a9f554e-420f-422a-b377-9ef347a926cf	2	35752724	35762850	6	-1.7798
3a9f554e-420f-422a-b377-9ef347a926cf	2	35762881	52514599	11965	-0.292
3a9f554e-420f-422a-b377-9ef347a926cf	2	52516787	52527743	8	-1.3951
3a9f554e-420f-422a-b377-9ef347a926cf	2	52531615	64886019	7844	-0.2919
3a9f554e-420f-422a-b377-9ef347a926cf	2	64886847	64886933	2	-3.4205
3a9f554e-420f-422a-b377-9ef347a926cf	2	64892875	97115744	15711	-0.2885
3a9f554e-420f-422a-b377-9ef347a926cf	2	97118174	97354016	51	0.0881
3a9f554e-420f-422a-b377-9ef347a926cf	2	97354835	106263639	5512	-0.2839
3a9f554e-420f-422a-b377-9ef347a926cf	2	106264257	106270799	12	-1.9331
3a9f554e-420f-422a-b377-9ef347a926cf	2	106270952	141068363	20524	-0.2817
3a9f554e-420f-422a-b377-9ef347a926cf	2	141069793	141477512	267	-0.6235
3a9f554e-420f-422a-b377-9ef347a926cf	2	141477527	146103836	2776	-0.2641
3a9f554e-420f-422a-b377-9ef347a926cf	2	146103878	146109366	26	0.3081
3a9f554e-420f-422a-b377-9ef347a926cf	2	146120238	158929428	7607	-0.2643
3a9f554e-420f-422a-b377-9ef347a926cf	2	158930941	158931281	2	-5.4574
3a9f554e-420f-422a-b377-9ef347a926cf	2	158931342	218840152	36160	-0.2688
3a9f554e-420f-422a-b377-9ef347a926cf	2	218843239	219146370	132	-1.0564
3a9f554e-420f-422a-b377-9ef347a926cf	2	219146943	241841244	14370	-0.2869
