GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	3301765	14908398	6470	-0.5026
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	14911366	14911559	2	-2.8522
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	14912258	16080825	639	-0.5137
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	16082309	16137101	25	0.5265
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	16148206	54946507	20294	-0.5016
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	54951154	119984772	40058	-0.5462
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	146716041	151143521	441	0.2667
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	151143803	151185558	16	0.9671
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	151195484	156860426	2755	0.2979
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	156862987	156898307	22	0.8487
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	1	156899255	247650984	57881	0.2633
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	2	480597	241537572	130856	-0.502
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	2170634	13021429	6454	0.2697
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	13024175	13052324	30	0.8735
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	13057079	17848673	3032	0.2799
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	17848735	43649494	15150	0.2452
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	43650272	47231395	1988	0.2927
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	47232646	47276640	23	0.9384
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	47280597	51859961	1777	0.267
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	51863243	52223619	129	0.8261
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	52230891	52774224	215	0.3054
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	52775509	52858487	61	0.855
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	52862961	58297995	3609	0.2584
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	58303045	58358429	33	0.8351
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	58358994	129590420	38342	0.2494
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	129590612	129611757	16	0.9222
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	129616601	183076795	27894	0.2396
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	183084216	183153511	44	0.773
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	3	183159454	197812401	7552	0.2516
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	4	1059384	2772038	625	-0.0846
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	4	2773225	10276928	4151	-0.0467
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	4	10277205	22864535	8789	-0.1069
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	4	23017125	52303498	14848	0.2465
33d5ecfd-6c11-4e35-98e0-4bf334bc3d09	4	52310405	187842528	74169	-0.1175
