GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	1	3301765	247650984	128715	-0.1667
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	2	480597	241537572	131105	-0.1465
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	3	2170634	130149891	71007	-0.1679
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	3	130152692	139553128	5268	0.31
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	3	139554075	175214913	18518	0.502
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	3	175215438	176054456	165	0.195
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	3	176055600	197812401	11355	0.4882
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	4	1059384	133477111	73296	-0.1586
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	4	133480780	133483488	2	-2.4712
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	4	133484360	187842528	29248	-0.1491
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	5	913983	170583783	94781	0.4968
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	5	170585822	170588200	3	-1.3656
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	5	170590660	180934240	5536	0.4638
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	6	1011760	170596889	96336	-0.1631
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	664936	7127996	2299	0.4355
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	7128062	55669924	30652	0.4954
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	55673408	73563534	4563	0.4462
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	73563568	76417007	804	0.3561
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	76420672	77725973	363	0.4402
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	77728096	97873828	10993	0.5048
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	97882049	102806782	1744	0.4012
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	7	102807005	158592540	29951	0.4887
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	8	667625	50634581	26760	-0.183
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	8	50637285	138290237	52397	-0.1596
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	8	138291592	144182542	2330	-0.1869
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	9	789794	31195001	18691	-0.1553
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	9	31196130	31234840	36	-2.0954
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	9	31242465	103615256	27713	-0.1677
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	9	103615821	103626915	5	-1.8007
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	9	103627176	138044505	21412	-0.1786
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	10	366509	44391787	27340	-0.1758
0aac83d9-dfb0-4aa8-9fc4-b12acef7fdee	10	44392481	44392682	2	-3.0247
