GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	3301765	44816032	22337	-0.0932
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	44823546	54292240	4767	-0.1408
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	54292628	54842737	304	-0.0875
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	54842897	68174418	9717	-0.1846
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	68174603	83028484	8400	-0.2426
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	83030220	94142051	6816	-0.2039
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	94143690	94144335	5	-2.167
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	94144631	107225777	7464	-0.2358
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	107226206	107226237	2	-2.0159
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	107229072	108505980	737	-0.2346
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	108506009	149914031	7073	-0.1671
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	149918981	161476338	6116	-0.1313
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	161476341	185334360	15757	-0.1902
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	185334601	199816453	8413	-0.2509
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	199816514	200489055	479	-0.1804
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	200491435	201940520	970	-0.13
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	201943373	201943780	3	-1.8678
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	201945136	206982929	3078	-0.1203
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	206983103	214522970	5248	-0.1819
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	214523665	219568498	3434	-0.2403
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	219569402	236981213	10944	-0.1746
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	236981488	244193416	5148	-0.2152
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	1	244198927	247650984	1495	-0.1767
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	480597	12441170	7686	-0.1649
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	12442576	23171016	6992	-0.2055
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	23177621	33205536	5090	-0.1386
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	33205683	42030912	4959	-0.1941
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	42031406	48834970	4322	-0.1464
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	48839840	60043770	6142	-0.2178
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	60043931	75918465	9005	-0.1665
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	75919629	84272135	4434	-0.2237
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	84276046	122782095	16034	-0.1651
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	122786558	122798598	14	-3.819
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	122798613	122834553	23	-0.3359
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	122838883	122841897	3	-1.9479
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	122842090	136482100	6352	-0.1779
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	136482140	203709272	37018	-0.2261
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	203709525	203714390	3	-2.6459
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	203716144	211116737	4514	-0.205
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	211118083	211118592	3	-2.2056
1944f75c-cb8f-4674-bdf9-bb6a8079dc29	2	211119219	216042649	3035	-0.2403
