GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	3301765	103185132	58198	-0.3149
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	103185621	106150307	1271	-0.3852
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	106152554	235877762	62532	-0.3171
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	235877829	242083169	4719	-0.3565
17decefd-123d-41be-ad0a-9c27ed5f1f16	1	242083541	247650984	2819	-0.3243
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	480597	83023449	48246	-0.2924
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	83023673	83023917	3	-2.8
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	83030188	155626446	34202	-0.2956
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	155626548	155626551	2	-2.4863
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	155627204	193236178	21282	-0.2832
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	193239011	193249368	6	-0.986
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	193249855	193280646	18	-2.6925
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	193280908	193284955	4	-1.3124
17decefd-123d-41be-ad0a-9c27ed5f1f16	2	193293755	241537572	28259	-0.29
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	2170634	47146978	26835	0.367
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	47157301	52286896	1987	0.3081
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	52287296	82862860	18945	0.365
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	82863769	84125845	509	0.3161
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	84129146	85610251	657	0.2432
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	85610696	97580075	4098	0.3115
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	97580571	101417629	2076	0.3676
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	101418718	105458644	2315	0.3305
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	105458835	163826056	32297	0.3724
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	163830983	166762990	1225	0.2906
17decefd-123d-41be-ad0a-9c27ed5f1f16	3	166763420	197812401	16177	0.3598
17decefd-123d-41be-ad0a-9c27ed5f1f16	4	1059384	3098235	782	0.3043
17decefd-123d-41be-ad0a-9c27ed5f1f16	4	3107701	5474449	1330	0.3409
17decefd-123d-41be-ad0a-9c27ed5f1f16	4	5480073	5480964	2	-0.8188
17decefd-123d-41be-ad0a-9c27ed5f1f16	4	5489071	16432929	7295	0.3267
17decefd-123d-41be-ad0a-9c27ed5f1f16	4	16434007	23692076	4694	0.2827
17decefd-123d-41be-ad0a-9c27ed5f1f16	4	23692464	27507999	2530	0.3177
