GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
820a642e-893a-49ed-b73a-00bceaad9edd	1	3301765	32961719	15747	-0.394
820a642e-893a-49ed-b73a-00bceaad9edd	1	32969186	53084515	10705	-0.3539
820a642e-893a-49ed-b73a-00bceaad9edd	1	53085621	53086208	2	-3.1439
820a642e-893a-49ed-b73a-00bceaad9edd	1	53088633	191680824	67368	-0.3298
820a642e-893a-49ed-b73a-00bceaad9edd	1	191685653	199673869	4686	-0.2867
820a642e-893a-49ed-b73a-00bceaad9edd	1	199683713	205804251	4044	-0.3678
820a642e-893a-49ed-b73a-00bceaad9edd	1	205805294	244207648	25514	-0.3359
820a642e-893a-49ed-b73a-00bceaad9edd	1	244207664	247650984	1503	-0.3624
820a642e-893a-49ed-b73a-00bceaad9edd	2	480597	19477987	12425	-0.3129
820a642e-893a-49ed-b73a-00bceaad9edd	2	19480177	19487063	10	-1.3027
820a642e-893a-49ed-b73a-00bceaad9edd	2	19487129	54888015	19919	-0.3039
820a642e-893a-49ed-b73a-00bceaad9edd	2	54888143	54889750	3	-2.0328
820a642e-893a-49ed-b73a-00bceaad9edd	2	54889905	142463338	42529	-0.3058
820a642e-893a-49ed-b73a-00bceaad9edd	2	142463684	214318106	40485	-0.2748
820a642e-893a-49ed-b73a-00bceaad9edd	2	214318153	241537572	16685	-0.3145
820a642e-893a-49ed-b73a-00bceaad9edd	3	2170634	9243695	4190	-0.3296
820a642e-893a-49ed-b73a-00bceaad9edd	3	9244754	14620369	3417	-0.3757
820a642e-893a-49ed-b73a-00bceaad9edd	3	14620830	14813634	129	-0.2943
820a642e-893a-49ed-b73a-00bceaad9edd	3	14815184	14815296	2	-2.1731
820a642e-893a-49ed-b73a-00bceaad9edd	3	14815331	15615125	483	-0.3494
820a642e-893a-49ed-b73a-00bceaad9edd	3	15615340	46689259	18435	-0.3236
820a642e-893a-49ed-b73a-00bceaad9edd	3	46696489	65767501	10680	-0.3553
820a642e-893a-49ed-b73a-00bceaad9edd	3	65767739	65767800	2	-2.8946
820a642e-893a-49ed-b73a-00bceaad9edd	3	65769108	96797195	15287	-0.3322
820a642e-893a-49ed-b73a-00bceaad9edd	3	96797240	119813136	13251	-0.3031
820a642e-893a-49ed-b73a-00bceaad9edd	3	119814409	142076731	12636	-0.3374
820a642e-893a-49ed-b73a-00bceaad9edd	3	142079689	193552321	27006	-0.3181
820a642e-893a-49ed-b73a-00bceaad9edd	3	193555692	197812401	1532	-0.3705
820a642e-893a-49ed-b73a-00bceaad9edd	4	1059384	10248402	4772	0.8214
820a642e-893a-49ed-b73a-00bceaad9edd	4	10248679	25215180	10451	0.8591
820a642e-893a-49ed-b73a-00bceaad9edd	4	25216188	25763571	329	0.7496
820a642e-893a-49ed-b73a-00bceaad9edd	4	25763905	39393133	8369	0.8789
820a642e-893a-49ed-b73a-00bceaad9edd	4	39394894	40843862	652	0.7719
820a642e-893a-49ed-b73a-00bceaad9edd	4	40844007	51928578	3835	0.8751
820a642e-893a-49ed-b73a-00bceaad9edd	4	51928629	57098495	3348	0.8221
820a642e-893a-49ed-b73a-00bceaad9edd	4	57098625	67828568	5984	0.8735
820a642e-893a-49ed-b73a-00bceaad9edd	4	67829055	68142496	137	1.2382
820a642e-893a-49ed-b73a-00bceaad9edd	4	68143316	91227888	13049	0.8767
