GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d42d916b-0232-44e0-8fb8-97d3da177be7	1	3301765	247650984	128527	-0.4516
d42d916b-0232-44e0-8fb8-97d3da177be7	2	480597	65621350	37989	-0.4265
d42d916b-0232-44e0-8fb8-97d3da177be7	2	65622289	65623752	2	-2.9296
d42d916b-0232-44e0-8fb8-97d3da177be7	2	65624178	81884390	9319	-0.4196
d42d916b-0232-44e0-8fb8-97d3da177be7	2	81886769	81969821	47	-2.5236
d42d916b-0232-44e0-8fb8-97d3da177be7	2	82090732	241537572	83582	-0.4219
d42d916b-0232-44e0-8fb8-97d3da177be7	3	2170634	91462299	50804	-0.4809
d42d916b-0232-44e0-8fb8-97d3da177be7	3	94015345	115867214	11907	0.4318
d42d916b-0232-44e0-8fb8-97d3da177be7	3	115870648	115873919	7	-0.745
d42d916b-0232-44e0-8fb8-97d3da177be7	3	115877397	115886749	9	0.3684
d42d916b-0232-44e0-8fb8-97d3da177be7	3	115891529	116107926	132	-0.4257
d42d916b-0232-44e0-8fb8-97d3da177be7	3	116114328	117085211	777	0.422
d42d916b-0232-44e0-8fb8-97d3da177be7	3	117092325	117532545	329	-0.4812
d42d916b-0232-44e0-8fb8-97d3da177be7	3	117534643	122755693	2811	0.4314
d42d916b-0232-44e0-8fb8-97d3da177be7	3	122758948	123217572	311	1.0135
d42d916b-0232-44e0-8fb8-97d3da177be7	3	123218022	197812401	39187	0.432
d42d916b-0232-44e0-8fb8-97d3da177be7	4	1059384	6643190	3004	0.4534
d42d916b-0232-44e0-8fb8-97d3da177be7	4	6644493	7059492	245	1.0534
d42d916b-0232-44e0-8fb8-97d3da177be7	4	7065059	40580743	21040	0.4198
d42d916b-0232-44e0-8fb8-97d3da177be7	4	40584333	40640258	45	-0.5636
d42d916b-0232-44e0-8fb8-97d3da177be7	4	40645294	60461594	9194	0.4153
d42d916b-0232-44e0-8fb8-97d3da177be7	4	60464276	60465899	2	2.8211
d42d916b-0232-44e0-8fb8-97d3da177be7	4	60469846	79263719	10007	0.4156
d42d916b-0232-44e0-8fb8-97d3da177be7	4	79266901	79276363	7	-0.5685
d42d916b-0232-44e0-8fb8-97d3da177be7	4	79278729	83224058	2235	0.416
d42d916b-0232-44e0-8fb8-97d3da177be7	4	83225843	83240797	26	0.9679
d42d916b-0232-44e0-8fb8-97d3da177be7	4	83242900	165129407	45130	0.4084
d42d916b-0232-44e0-8fb8-97d3da177be7	4	165129470	165130114	2	-4.7474
d42d916b-0232-44e0-8fb8-97d3da177be7	4	165130234	181161221	8489	0.4103
d42d916b-0232-44e0-8fb8-97d3da177be7	4	181161703	181408851	213	-0.6501
d42d916b-0232-44e0-8fb8-97d3da177be7	4	181440238	181955740	419	0.3376
d42d916b-0232-44e0-8fb8-97d3da177be7	4	181957325	183286625	512	0.1441
d42d916b-0232-44e0-8fb8-97d3da177be7	4	183288582	187842528	2068	0.4471
d42d916b-0232-44e0-8fb8-97d3da177be7	5	913983	16555962	10268	0.4361
d42d916b-0232-44e0-8fb8-97d3da177be7	5	16556454	33598804	9361	0.4083
d42d916b-0232-44e0-8fb8-97d3da177be7	5	33602786	45383300	6314	0.434
d42d916b-0232-44e0-8fb8-97d3da177be7	5	50828231	140244876	49203	0.9957
d42d916b-0232-44e0-8fb8-97d3da177be7	5	140245261	140635324	156	1.3763
d42d916b-0232-44e0-8fb8-97d3da177be7	5	140635623	149243654	5392	0.9927
d42d916b-0232-44e0-8fb8-97d3da177be7	5	149244647	149425083	127	1.3308
d42d916b-0232-44e0-8fb8-97d3da177be7	5	149427300	155752854	4113	0.9916
d42d916b-0232-44e0-8fb8-97d3da177be7	5	155753687	155818838	41	0.3997
d42d916b-0232-44e0-8fb8-97d3da177be7	5	155820893	180934240	15349	0.9967
d42d916b-0232-44e0-8fb8-97d3da177be7	6	1011760	2471385	1069	-0.4944
d42d916b-0232-44e0-8fb8-97d3da177be7	6	2472379	2472677	2	-4.6785
d42d916b-0232-44e0-8fb8-97d3da177be7	6	2473520	33622694	18468	-0.4691
d42d916b-0232-44e0-8fb8-97d3da177be7	6	33627622	34087648	329	0.443
d42d916b-0232-44e0-8fb8-97d3da177be7	6	34088988	145272080	61342	-0.4787
d42d916b-0232-44e0-8fb8-97d3da177be7	6	145272316	145272811	2	-7.5751
d42d916b-0232-44e0-8fb8-97d3da177be7	6	145273437	170596889	14966	-0.4887
d42d916b-0232-44e0-8fb8-97d3da177be7	7	664936	23990370	12204	0.4203
d42d916b-0232-44e0-8fb8-97d3da177be7	7	23991130	37682156	9127	0.4515
d42d916b-0232-44e0-8fb8-97d3da177be7	7	37684329	55603563	11574	0.4286
d42d916b-0232-44e0-8fb8-97d3da177be7	7	55608282	77171272	5432	0.3662
d42d916b-0232-44e0-8fb8-97d3da177be7	7	77174714	146468205	36580	0.4216
d42d916b-0232-44e0-8fb8-97d3da177be7	7	146473826	146602942	51	-0.4577
d42d916b-0232-44e0-8fb8-97d3da177be7	7	146608083	158592540	6392	0.4288
d42d916b-0232-44e0-8fb8-97d3da177be7	8	667625	56939652	30432	-0.4814
d42d916b-0232-44e0-8fb8-97d3da177be7	8	56940475	56940584	2	-2.9815
d42d916b-0232-44e0-8fb8-97d3da177be7	8	56940651	118628367	34901	-0.4752
d42d916b-0232-44e0-8fb8-97d3da177be7	8	118629015	118630064	2	-3.1074
d42d916b-0232-44e0-8fb8-97d3da177be7	8	118634408	144182542	16085	-0.468
d42d916b-0232-44e0-8fb8-97d3da177be7	9	789794	117306327	56147	0.4235
d42d916b-0232-44e0-8fb8-97d3da177be7	9	117307156	117326684	13	-0.4869
d42d916b-0232-44e0-8fb8-97d3da177be7	9	117330938	117349728	23	0.4603
d42d916b-0232-44e0-8fb8-97d3da177be7	9	117350669	117398678	33	-0.4819
d42d916b-0232-44e0-8fb8-97d3da177be7	9	117399085	127405942	6522	0.4448
d42d916b-0232-44e0-8fb8-97d3da177be7	9	127406047	127699766	126	0.9545
d42d916b-0232-44e0-8fb8-97d3da177be7	9	127700919	138044505	5063	0.444
d42d916b-0232-44e0-8fb8-97d3da177be7	10	366509	17035456	12160	0.4456
d42d916b-0232-44e0-8fb8-97d3da177be7	10	17036133	21615109	3190	0.3846
d42d916b-0232-44e0-8fb8-97d3da177be7	10	21617481	34840287	8686	0.4188
d42d916b-0232-44e0-8fb8-97d3da177be7	10	34844705	43779058	2846	0.3783
d42d916b-0232-44e0-8fb8-97d3da177be7	10	43782638	49407760	2372	0.457
d42d916b-0232-44e0-8fb8-97d3da177be7	10	49408718	68333315	10802	0.4133
d42d916b-0232-44e0-8fb8-97d3da177be7	10	68345867	68348078	2	-2.0155
d42d916b-0232-44e0-8fb8-97d3da177be7	10	68374922	68809328	222	0.3369
d42d916b-0232-44e0-8fb8-97d3da177be7	10	68811794	82457667	8425	0.4358
d42d916b-0232-44e0-8fb8-97d3da177be7	10	82503700	82833204	197	0.2794
d42d916b-0232-44e0-8fb8-97d3da177be7	10	82834479	82925834	101	-0.431
d42d916b-0232-44e0-8fb8-97d3da177be7	10	82928972	133411599	31691	0.4279
d42d916b-0232-44e0-8fb8-97d3da177be7	11	456012	46673786	29199	-0.4571
d42d916b-0232-44e0-8fb8-97d3da177be7	11	46677574	46710112	11	0.6279
d42d916b-0232-44e0-8fb8-97d3da177be7	11	46710593	90502955	18931	-0.4474
d42d916b-0232-44e0-8fb8-97d3da177be7	11	90504267	90504281	2	-3.274
d42d916b-0232-44e0-8fb8-97d3da177be7	11	90504403	134272740	28650	-0.4564
d42d916b-0232-44e0-8fb8-97d3da177be7	12	780472	14280831	7642	0.4458
d42d916b-0232-44e0-8fb8-97d3da177be7	12	14282590	14344675	26	1.0011
d42d916b-0232-44e0-8fb8-97d3da177be7	12	14348116	125726208	63141	0.4148
d42d916b-0232-44e0-8fb8-97d3da177be7	12	125726375	125726479	2	-1.7503
d42d916b-0232-44e0-8fb8-97d3da177be7	12	125726548	132605822	2971	0.4103
d42d916b-0232-44e0-8fb8-97d3da177be7	13	18874255	26798771	4193	-0.4741
d42d916b-0232-44e0-8fb8-97d3da177be7	13	26800592	26801387	2	-5.6663
d42d916b-0232-44e0-8fb8-97d3da177be7	13	26802486	114226675	52146	-0.4687
d42d916b-0232-44e0-8fb8-97d3da177be7	14	20033191	22965556	976	0.4449
d42d916b-0232-44e0-8fb8-97d3da177be7	14	22974092	23158781	92	1.0185
d42d916b-0232-44e0-8fb8-97d3da177be7	14	23161498	38177627	8842	0.4415
d42d916b-0232-44e0-8fb8-97d3da177be7	14	38178362	49202506	4953	0.3925
d42d916b-0232-44e0-8fb8-97d3da177be7	14	49202541	78430585	18100	0.4223
d42d916b-0232-44e0-8fb8-97d3da177be7	14	78431972	92312213	8546	0.3957
d42d916b-0232-44e0-8fb8-97d3da177be7	14	92318690	105533894	7874	0.4397
d42d916b-0232-44e0-8fb8-97d3da177be7	15	23437561	43452357	9923	-0.4642
d42d916b-0232-44e0-8fb8-97d3da177be7	15	43456106	43458878	2	-2.7321
d42d916b-0232-44e0-8fb8-97d3da177be7	15	43467365	43931949	131	-0.3944
d42d916b-0232-44e0-8fb8-97d3da177be7	15	43932257	43933758	3	-2.9027
d42d916b-0232-44e0-8fb8-97d3da177be7	15	43934531	62624332	11865	-0.4524
d42d916b-0232-44e0-8fb8-97d3da177be7	15	62624473	62624537	2	-3.3339
d42d916b-0232-44e0-8fb8-97d3da177be7	15	62625815	101344124	22409	-0.4495
d42d916b-0232-44e0-8fb8-97d3da177be7	16	603333	7583591	3048	0.4162
d42d916b-0232-44e0-8fb8-97d3da177be7	16	7586369	7591098	10	-0.7253
d42d916b-0232-44e0-8fb8-97d3da177be7	16	7593245	57725946	18270	0.4231
d42d916b-0232-44e0-8fb8-97d3da177be7	16	57726241	63524304	3525	0.384
d42d916b-0232-44e0-8fb8-97d3da177be7	16	63524377	69213066	3367	0.4153
d42d916b-0232-44e0-8fb8-97d3da177be7	16	69215658	69602641	181	0.9553
d42d916b-0232-44e0-8fb8-97d3da177be7	16	69604606	70413837	252	0.4048
d42d916b-0232-44e0-8fb8-97d3da177be7	16	70420228	70780455	166	0.9025
