GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	1	3301765	46602972	23057	-0.3084
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	1	46603005	239952087	101243	-0.2734
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	1	239954421	247650984	4350	-0.3015
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	2	480597	70114443	41011	-0.2581
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	2	70116958	70154653	25	0.6085
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	2	70162768	122732755	23560	-0.2572
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	2	122733168	214447655	49933	-0.2385
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	2	214449630	241537572	16499	-0.2605
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	3	2170634	197812401	106254	-0.2739
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	4	1059384	53220572	28871	-0.2844
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	4	53222767	53536271	175	-1.0995
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	4	53537809	103758278	28193	-0.273
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	4	103760874	103761033	2	-2.9716
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	4	103762104	146081134	22937	-0.2608
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	4	146082936	146083397	2	-2.0614
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	4	146085961	187842528	22334	-0.2637
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	5	913983	137374432	73853	0.6571
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	5	137374672	142647503	2541	0.6078
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	5	142648130	175256603	21411	0.6566
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	5	175257643	180624599	2436	0.5921
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	5	180628188	180934240	83	0.6837
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	6	1011760	30946775	19080	0.2474
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	6	30946974	37409753	2563	0.1958
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	6	37413859	45774888	5254	0.24
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	6	45774929	45775213	2	-1.4483
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	6	45775256	51712738	3468	0.2637
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	6	51714797	51715127	2	-2.1166
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	6	51715278	170596889	66004	0.2617
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	664936	7124041	2293	0.5702
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	7126532	44526607	22953	0.6525
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	44529411	45099564	265	0.4984
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	45100812	49121079	2790	0.6511
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	49121270	49121473	2	-1.2322
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	49123871	55613605	4609	0.6551
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	55616279	56158728	196	0.4811
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	56162691	69385803	2506	0.5716
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	69385840	71239640	1046	0.653
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	71240411	72928921	762	0.588
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	72929093	72931874	4	1.3028
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	73312738	73389687	32	0.5797
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	73390083	77153003	872	0.4902
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	77155440	97870806	11340	0.6627
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	97870817	102817310	1752	0.5438
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	102817849	109155565	3728	0.6323
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	109155869	128414146	10219	0.6601
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	128414844	132416375	1984	0.6114
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	132416536	138070455	3587	0.6712
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	7	138077536	158592540	10424	0.6304
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	8	667625	144182542	81466	-0.2853
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	9	789794	1819907	446	-0.3162
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	9	1819982	123985849	60162	-0.2731
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	9	123986212	138044505	7226	-0.3259
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	10	366509	45549523	27991	-0.2941
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	10	45550313	49535103	1297	-0.1788
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	10	49535495	133411599	51262	-0.2805
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	456012	16457579	9764	-0.2884
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	16458790	16484716	18	-1.2227
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	16487013	61134962	23381	-0.2826
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	61135774	78730074	7827	-0.327
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	78730368	89642789	6926	-0.2672
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	89646024	89648409	4	-2.0794
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	89650684	103617775	8656	-0.2711
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	103619231	103619928	2	-2.8671
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	11	103622368	134272740	20290	-0.2817
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	780472	30829861	18064	0.6301
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	30830195	32177481	750	0.581
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	32178261	32181558	3	-0.5715
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	32183982	33019652	573	0.5601
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	33019946	48190885	5371	0.6372
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	48192035	57866874	4883	0.5807
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	57868156	62375551	2784	0.6526
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	62375885	62382785	2	2.1532
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	62383166	64619482	1259	0.6283
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	64621634	64634940	19	0.0946
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	64635354	83826558	11893	0.6421
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	83828430	83828764	2	-1.2577
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	83833411	108414169	15438	0.6286
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	108414184	112680197	2064	0.5478
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	112682008	120795447	5180	0.6063
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	120795564	125353708	2245	0.5598
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	125357421	131449682	2891	0.6282
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	131449896	131449969	4	-0.446
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	12	131450216	132605822	362	0.602
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	13	18874255	34251642	9425	-0.2863
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	13	34251789	108407070	43503	-0.2637
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	13	108409009	114226675	3465	-0.308
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	20033191	23602322	1269	0.5883
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	23602751	24025440	248	0.669
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	24030533	24031630	13	-0.026
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	24031792	72951866	28091	0.6399
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	72955551	74459381	729	0.5406
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	74461621	74601697	89	0.6427
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	74602614	74629104	20	1.2031
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	74630117	78183160	2309	0.6102
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	78183578	87140360	5773	0.6678
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	87142202	102035541	9554	0.6297
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	14	102036128	105533894	1294	0.5632
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	15	23437561	101344124	44375	-0.292
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	603333	5328707	1819	0.5498
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	5328743	19405190	6699	0.6084
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	19406858	19409435	2	-1.1201
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	19414073	20065173	331	0.5504
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	20065408	23024773	901	0.6418
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	23026995	25367064	1396	0.5615
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	25368079	26533291	932	0.6551
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	26533415	47443216	2240	0.5697
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	47443964	51246257	2356	0.6155
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	51246855	51249479	2	-0.7701
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	51255682	52964690	1325	0.6448
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	52968466	53638237	482	0.5549
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	53638426	56533192	2135	0.6467
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	56533774	58503607	1176	0.5887
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	58506121	58989057	296	0.5397
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	58993680	66214740	4752	0.6568
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	66216055	66841112	345	0.625
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	66842203	70695353	1581	0.5407
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	16	70695886	89317317	12152	0.6218
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	17	1074619	51600356	20211	-0.326
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	17	51601555	56877361	3518	-0.2757
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	17	56884823	68481030	5986	-0.3282
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	17	68481842	68523669	23	0.615
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	17	68526719	72776654	3108	-0.2915
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	17	72785766	72786024	2	-2.7058
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	17	72787179	82959812	4153	-0.3513
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	18	326691	79349796	42562	-0.2698
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	19	283868	19652953	7647	0.4945
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	19	19657507	34933893	6375	0.5881
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	19	34934566	58370362	10028	0.5288
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	20	472817	6283946	3476	0.5911
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	20	6285213	25320386	13060	0.642
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	20	25320632	37056247	3022	0.555
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	20	37068156	37094427	91	0.3263
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	20	37097999	37736876	374	0.5543
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	20	37739338	63588502	17296	0.6179
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	21	13974127	30220748	10407	-0.2782
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	21	30221247	46262057	10005	-0.3103
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	22	16934932	48940621	16980	-0.3294
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	X	3236359	144422855	58418	0.0012
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	X	144477565	144572481	44	0.9413
4c1c12d0-aad4-47cb-b27a-d3426d4e44a7	X	144575127	155677414	4950	-0.0044
