GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7293f226-7455-428c-b603-9050a23c9742	1	62920	98588	12	0.0528
7293f226-7455-428c-b603-9050a23c9742	1	98602	16721984	8662	-0.3097
7293f226-7455-428c-b603-9050a23c9742	1	16766762	16935752	69	0.0692
7293f226-7455-428c-b603-9050a23c9742	1	16949746	25256850	5251	-0.2982
7293f226-7455-428c-b603-9050a23c9742	1	25266637	25319693	21	-1.6006
7293f226-7455-428c-b603-9050a23c9742	1	25320198	72303233	28694	-0.2951
7293f226-7455-428c-b603-9050a23c9742	1	72303253	72318471	14	-1.0101
7293f226-7455-428c-b603-9050a23c9742	1	72318487	89009572	10958	-0.2935
7293f226-7455-428c-b603-9050a23c9742	1	89012275	89012522	2	-2.8674
7293f226-7455-428c-b603-9050a23c9742	1	89015841	103616762	9076	-0.2935
7293f226-7455-428c-b603-9050a23c9742	1	103620877	103621165	2	1.6666
7293f226-7455-428c-b603-9050a23c9742	1	103697067	105478759	928	-0.317
7293f226-7455-428c-b603-9050a23c9742	1	105479005	105479753	9	-1.4685
7293f226-7455-428c-b603-9050a23c9742	1	105481433	112147704	4592	-0.2893
7293f226-7455-428c-b603-9050a23c9742	1	112153343	112154375	17	-1.9407
7293f226-7455-428c-b603-9050a23c9742	1	112154390	121601998	5166	-0.2974
7293f226-7455-428c-b603-9050a23c9742	1	121705338	152583051	2442	0.1087
7293f226-7455-428c-b603-9050a23c9742	1	152583230	152613762	31	-1.636
7293f226-7455-428c-b603-9050a23c9742	1	152613802	152784062	165	0.0905
7293f226-7455-428c-b603-9050a23c9742	1	152784298	152795783	36	0.4602
7293f226-7455-428c-b603-9050a23c9742	1	152795805	194479104	27982	0.0875
7293f226-7455-428c-b603-9050a23c9742	1	194482281	194485888	2	-1.6638
7293f226-7455-428c-b603-9050a23c9742	1	194487886	196745743	1450	0.0694
7293f226-7455-428c-b603-9050a23c9742	1	196758720	196769493	5	1.0292
7293f226-7455-428c-b603-9050a23c9742	1	196769506	197788606	556	0.1009
7293f226-7455-428c-b603-9050a23c9742	1	197788716	197799377	4	-1.3311
7293f226-7455-428c-b603-9050a23c9742	1	197800410	209897717	8271	0.0918
7293f226-7455-428c-b603-9050a23c9742	1	209908268	209908720	2	-1.8701
7293f226-7455-428c-b603-9050a23c9742	1	209910639	222193326	8592	0.0757
