GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	3301765	170206219	80168	-0.3219
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	170207728	170361359	143	0.0425
0c9e9403-59c4-4c9a-aac2-17bc34947341	1	170361700	247650984	48291	-0.3311
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	480597	41140264	24154	-0.2997
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	41140380	41145494	3	1.4632
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	41357637	114419130	35933	-0.3049
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	114420489	114420900	2	-2.9093
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	114420979	153197695	20466	-0.3115
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	153204252	153205359	5	-2.1388
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	153205966	217830379	36300	-0.3029
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	217831871	218346615	272	0.5362
0c9e9403-59c4-4c9a-aac2-17bc34947341	2	218349681	241537572	13910	-0.3038
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	2170634	38585197	21711	0.4896
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	38588276	50005807	5957	-0.3508
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	50006573	50006579	2	-2.2739
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	50009136	52428830	982	-0.3477
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	52434493	104774481	27901	0.507
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	104774847	104778275	2	-1.4863
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	104778305	115924430	6285	0.501
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	115925520	116107036	110	-0.374
0c9e9403-59c4-4c9a-aac2-17bc34947341	3	116107806	197812401	43415	0.5004
0c9e9403-59c4-4c9a-aac2-17bc34947341	4	1059384	41892030	25104	-0.3525
0c9e9403-59c4-4c9a-aac2-17bc34947341	4	41892929	41894798	2	-2.7159
0c9e9403-59c4-4c9a-aac2-17bc34947341	4	41901044	187842528	77415	-0.349
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	913983	58127504	30508	0.5144
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	58130746	58136448	12	-0.4317
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	58138366	127746480	37558	0.5111
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	127753414	128291839	309	-0.3629
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	128292137	171899096	27223	0.5113
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	171899219	179620142	4104	0.7073
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	179620185	179678327	24	0.236
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	179681196	180901493	566	0.6922
0c9e9403-59c4-4c9a-aac2-17bc34947341	5	180901809	180934240	15	0.4127
0c9e9403-59c4-4c9a-aac2-17bc34947341	6	1011760	170596889	96280	-0.3505
0c9e9403-59c4-4c9a-aac2-17bc34947341	7	664936	55406335	32780	0.5131
0c9e9403-59c4-4c9a-aac2-17bc34947341	7	55406958	67749430	1757	0.4482
0c9e9403-59c4-4c9a-aac2-17bc34947341	7	67751426	158592540	46830	0.5064
0c9e9403-59c4-4c9a-aac2-17bc34947341	8	667625	2157903	761	-0.3657
0c9e9403-59c4-4c9a-aac2-17bc34947341	8	2161451	2161517	2	-2.6323
0c9e9403-59c4-4c9a-aac2-17bc34947341	8	2162151	72892055	39189	-0.3529
0c9e9403-59c4-4c9a-aac2-17bc34947341	8	72894639	134448472	36510	0.5152
0c9e9403-59c4-4c9a-aac2-17bc34947341	8	134448706	135030603	458	-0.3758
0c9e9403-59c4-4c9a-aac2-17bc34947341	8	135030835	135032361	2	-2.2993
0c9e9403-59c4-4c9a-aac2-17bc34947341	8	135032641	144182542	4603	-0.3392
0c9e9403-59c4-4c9a-aac2-17bc34947341	9	789794	2916252	1461	0.5192
0c9e9403-59c4-4c9a-aac2-17bc34947341	9	2916741	120613311	57199	0.4893
0c9e9403-59c4-4c9a-aac2-17bc34947341	9	120614875	138044505	9273	0.5255
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	366509	546343	53	-0.3709
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	546986	692690	38	0.564
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	696205	936432	122	-0.3141
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	939131	15812604	11031	0.517
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	15815333	43680264	15569	0.4901
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	43685063	52009848	3625	0.5225
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	52014689	52024196	13	-0.6226
0c9e9403-59c4-4c9a-aac2-17bc34947341	10	52027389	133411599	50249	0.5029
0c9e9403-59c4-4c9a-aac2-17bc34947341	11	456012	134272740	76844	-0.3326
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	780472	103839232	57872	0.4973
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	103841962	114122509	5993	0.4194
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	114123470	114402236	268	0.4722
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	114415873	115107181	395	-0.3571
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	115108490	115221601	113	0.3947
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	115225406	115667348	444	-0.2966
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	115667940	116407485	533	0.4403
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	116408577	116409112	2	-1.1537
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	116409688	118713206	1435	0.4084
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	118716378	122551883	2029	-0.3276
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	122553253	122933199	158	0.3774
0c9e9403-59c4-4c9a-aac2-17bc34947341	12	122937766	132605822	4521	-0.3478
0c9e9403-59c4-4c9a-aac2-17bc34947341	13	18874255	114226675	56389	-0.336
0c9e9403-59c4-4c9a-aac2-17bc34947341	14	20033191	85178743	37244	-0.3328
0c9e9403-59c4-4c9a-aac2-17bc34947341	14	85180035	85181383	2	-3.0166
0c9e9403-59c4-4c9a-aac2-17bc34947341	14	85182075	105533894	12046	-0.3357
0c9e9403-59c4-4c9a-aac2-17bc34947341	15	23437561	101344124	44358	-0.3242
0c9e9403-59c4-4c9a-aac2-17bc34947341	16	603333	89317317	40828	-0.3338
0c9e9403-59c4-4c9a-aac2-17bc34947341	17	1074619	3123598	824	-0.3315
0c9e9403-59c4-4c9a-aac2-17bc34947341	17	3124141	3125340	5	-4.5253
0c9e9403-59c4-4c9a-aac2-17bc34947341	17	3130792	82959812	36152	-0.3273
0c9e9403-59c4-4c9a-aac2-17bc34947341	18	326691	68671443	37193	-0.3317
0c9e9403-59c4-4c9a-aac2-17bc34947341	18	68675918	69619541	648	0.4959
0c9e9403-59c4-4c9a-aac2-17bc34947341	18	69619667	69619738	2	-3.296
0c9e9403-59c4-4c9a-aac2-17bc34947341	18	69621410	79349796	4723	0.5219
0c9e9403-59c4-4c9a-aac2-17bc34947341	19	283868	6885312	1933	-0.344
0c9e9403-59c4-4c9a-aac2-17bc34947341	19	7112112	19835282	5763	0.9729
0c9e9403-59c4-4c9a-aac2-17bc34947341	19	19836130	51394138	13389	0.4979
0c9e9403-59c4-4c9a-aac2-17bc34947341	19	51394474	55026405	1240	0.569
0c9e9403-59c4-4c9a-aac2-17bc34947341	19	55029157	55029213	2	-1.016
0c9e9403-59c4-4c9a-aac2-17bc34947341	19	55036566	58370362	1708	0.5688
0c9e9403-59c4-4c9a-aac2-17bc34947341	20	472817	37037280	19549	0.5175
0c9e9403-59c4-4c9a-aac2-17bc34947341	20	37037299	37170697	124	0.2469
0c9e9403-59c4-4c9a-aac2-17bc34947341	20	37171650	63588502	17638	0.5297
0c9e9403-59c4-4c9a-aac2-17bc34947341	21	13974127	43951007	19530	-0.3201
0c9e9403-59c4-4c9a-aac2-17bc34947341	21	43953139	43953423	2	-3.215
0c9e9403-59c4-4c9a-aac2-17bc34947341	21	43958417	46262057	871	-0.3276
0c9e9403-59c4-4c9a-aac2-17bc34947341	22	16934932	48940621	16969	-0.33
0c9e9403-59c4-4c9a-aac2-17bc34947341	X	3236359	9372970	1302	-0.0146
0c9e9403-59c4-4c9a-aac2-17bc34947341	X	9373144	9373289	2	-1.9961
0c9e9403-59c4-4c9a-aac2-17bc34947341	X	9373557	155677414	62100	0.0012
