GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
321dab35-c61e-45b9-8af4-17ab9275da5b	1	3301765	23063482	11110	-0.2094
321dab35-c61e-45b9-8af4-17ab9275da5b	1	23068669	28576299	2380	-0.1425
321dab35-c61e-45b9-8af4-17ab9275da5b	1	28579054	36181917	4065	-0.1866
321dab35-c61e-45b9-8af4-17ab9275da5b	1	36187939	36233169	17	0.7574
321dab35-c61e-45b9-8af4-17ab9275da5b	1	36239290	64699330	17129	-0.1921
321dab35-c61e-45b9-8af4-17ab9275da5b	1	64700620	235991919	87273	-0.1661
321dab35-c61e-45b9-8af4-17ab9275da5b	1	235992142	247650984	7454	-0.199
321dab35-c61e-45b9-8af4-17ab9275da5b	2	480597	133873865	69915	-0.1686
321dab35-c61e-45b9-8af4-17ab9275da5b	2	133874258	133893903	22	0.7516
321dab35-c61e-45b9-8af4-17ab9275da5b	2	133896657	180075325	27144	-0.1415
321dab35-c61e-45b9-8af4-17ab9275da5b	2	180075974	180076075	2	-2.6173
321dab35-c61e-45b9-8af4-17ab9275da5b	2	180076759	211116737	16220	-0.1269
321dab35-c61e-45b9-8af4-17ab9275da5b	2	211118083	211119219	4	-1.382
321dab35-c61e-45b9-8af4-17ab9275da5b	2	211123379	216078074	3071	-0.1234
321dab35-c61e-45b9-8af4-17ab9275da5b	2	216085524	241537572	15526	-0.1792
321dab35-c61e-45b9-8af4-17ab9275da5b	3	2170634	6203301	1945	-0.1721
321dab35-c61e-45b9-8af4-17ab9275da5b	3	6203318	14903720	5849	-0.203
321dab35-c61e-45b9-8af4-17ab9275da5b	3	14906366	48795273	19613	-0.1628
321dab35-c61e-45b9-8af4-17ab9275da5b	3	48799749	48889242	24	0.7519
321dab35-c61e-45b9-8af4-17ab9275da5b	3	48892104	53167882	1755	-0.1442
321dab35-c61e-45b9-8af4-17ab9275da5b	3	53172778	66991999	8896	-0.2012
321dab35-c61e-45b9-8af4-17ab9275da5b	3	66992095	81944942	9094	-0.1706
321dab35-c61e-45b9-8af4-17ab9275da5b	3	81945354	81945791	2	-1.9497
321dab35-c61e-45b9-8af4-17ab9275da5b	3	81946010	122855651	20102	-0.1495
321dab35-c61e-45b9-8af4-17ab9275da5b	3	122855707	140817110	10475	-0.1956
321dab35-c61e-45b9-8af4-17ab9275da5b	3	140818843	178205424	18855	-0.1518
321dab35-c61e-45b9-8af4-17ab9275da5b	3	178210186	178210690	2	-1.893
321dab35-c61e-45b9-8af4-17ab9275da5b	3	178210729	192552148	8231	-0.1636
321dab35-c61e-45b9-8af4-17ab9275da5b	3	192552430	192556289	3	-1.6821
321dab35-c61e-45b9-8af4-17ab9275da5b	3	192559475	197812401	2084	-0.1875
321dab35-c61e-45b9-8af4-17ab9275da5b	4	1059384	26332334	15906	-0.2017
321dab35-c61e-45b9-8af4-17ab9275da5b	4	26336173	48016311	12366	-0.1564
321dab35-c61e-45b9-8af4-17ab9275da5b	4	48018915	57052261	3379	-0.1938
321dab35-c61e-45b9-8af4-17ab9275da5b	4	57052738	57053426	2	-2.6755
321dab35-c61e-45b9-8af4-17ab9275da5b	4	57053753	181509960	68684	-0.1515
321dab35-c61e-45b9-8af4-17ab9275da5b	4	181511142	183517539	995	-0.2043
