GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
586958fe-f0d2-466d-be89-af58aea6dc2c	1	3301765	7773370	2897	-0.0455
586958fe-f0d2-466d-be89-af58aea6dc2c	1	7773425	10661202	1371	-0.1133
586958fe-f0d2-466d-be89-af58aea6dc2c	1	10661309	23212517	6931	-0.055
586958fe-f0d2-466d-be89-af58aea6dc2c	1	23213138	29145923	2509	-0.113
586958fe-f0d2-466d-be89-af58aea6dc2c	1	29146182	30624705	1075	-0.027
586958fe-f0d2-466d-be89-af58aea6dc2c	1	30625576	33518706	1260	-0.0968
586958fe-f0d2-466d-be89-af58aea6dc2c	1	33520233	34811039	955	-0.039
586958fe-f0d2-466d-be89-af58aea6dc2c	1	34814188	36569244	783	-0.1033
586958fe-f0d2-466d-be89-af58aea6dc2c	1	36569987	38922124	1415	-0.0383
586958fe-f0d2-466d-be89-af58aea6dc2c	1	38925542	38930398	5	-0.8036
586958fe-f0d2-466d-be89-af58aea6dc2c	1	38933197	41654173	1370	-0.0879
586958fe-f0d2-466d-be89-af58aea6dc2c	1	41658206	42004603	270	-0.577
586958fe-f0d2-466d-be89-af58aea6dc2c	1	42005270	47441932	2758	-0.0878
586958fe-f0d2-466d-be89-af58aea6dc2c	1	47441990	48755631	928	-0.0093
586958fe-f0d2-466d-be89-af58aea6dc2c	1	48755684	62942489	8953	-0.0715
586958fe-f0d2-466d-be89-af58aea6dc2c	1	62944136	62944948	2	-2.4848
586958fe-f0d2-466d-be89-af58aea6dc2c	1	62945637	70453993	5065	-0.0874
586958fe-f0d2-466d-be89-af58aea6dc2c	1	70455054	70594648	111	0.112
586958fe-f0d2-466d-be89-af58aea6dc2c	1	70603424	70752765	106	-0.0783
586958fe-f0d2-466d-be89-af58aea6dc2c	1	70753868	87710295	10067	-0.1047
586958fe-f0d2-466d-be89-af58aea6dc2c	1	87710333	87710376	2	-1.3555
586958fe-f0d2-466d-be89-af58aea6dc2c	1	87710527	109771909	12707	-0.109
586958fe-f0d2-466d-be89-af58aea6dc2c	1	109772255	119614159	6301	-0.0752
586958fe-f0d2-466d-be89-af58aea6dc2c	1	119619529	119691428	54	0.3984
586958fe-f0d2-466d-be89-af58aea6dc2c	1	119696136	152205810	1135	-0.1
