GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6f31f549-75a3-4c9d-a677-e294e868e4c3	1	3301765	32830084	15648	-0.3996
6f31f549-75a3-4c9d-a677-e294e868e4c3	1	32830537	54321736	11486	-0.3001
6f31f549-75a3-4c9d-a677-e294e868e4c3	1	54323255	61384919	5137	-0.3381
6f31f549-75a3-4c9d-a677-e294e868e4c3	1	61387850	98677961	22780	-0.4174
6f31f549-75a3-4c9d-a677-e294e868e4c3	1	98678930	105698955	3797	-0.3594
6f31f549-75a3-4c9d-a677-e294e868e4c3	1	105699435	119979137	8746	-0.4064
6f31f549-75a3-4c9d-a677-e294e868e4c3	1	119979978	247650984	61087	-0.3189
6f31f549-75a3-4c9d-a677-e294e868e4c3	2	480597	31020785	18983	0.0485
6f31f549-75a3-4c9d-a677-e294e868e4c3	2	31021098	31022647	3	-1.8208
6f31f549-75a3-4c9d-a677-e294e868e4c3	2	31022784	241537572	112175	0.0437
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	2170634	116401587	63136	-0.2757
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	116401601	116533773	97	-0.6804
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	116535872	116735112	141	-0.2633
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	116740404	116844487	128	-0.7289
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	116845438	118013815	845	-0.295
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	118013834	118014172	2	-2.2097
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	118014304	122790251	2491	-0.2695
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	122797577	131273270	4802	0.0478
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	131273419	131276238	2	-2.5526
6f31f549-75a3-4c9d-a677-e294e868e4c3	3	131277839	197812401	34668	0.0501
6f31f549-75a3-4c9d-a677-e294e868e4c3	4	1059384	74833302	40692	0.0503
6f31f549-75a3-4c9d-a677-e294e868e4c3	4	74837590	74843911	8	-2.932
6f31f549-75a3-4c9d-a677-e294e868e4c3	4	74845701	114494754	22751	0.0412
