GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
864512c9-938e-42ad-aad5-fbddb2bfae1a	1	3301765	74955556	40687	0.013
864512c9-938e-42ad-aad5-fbddb2bfae1a	1	74958635	75010580	21	0.5418
864512c9-938e-42ad-aad5-fbddb2bfae1a	1	75011423	89144543	8758	0.0015
864512c9-938e-42ad-aad5-fbddb2bfae1a	1	89149747	89264291	57	-0.7971
864512c9-938e-42ad-aad5-fbddb2bfae1a	1	89267976	247650984	79131	0.0078
864512c9-938e-42ad-aad5-fbddb2bfae1a	2	480597	31020785	18970	0.0074
864512c9-938e-42ad-aad5-fbddb2bfae1a	2	31021098	31022647	3	-1.7038
864512c9-938e-42ad-aad5-fbddb2bfae1a	2	31022784	241537572	112097	0.0064
864512c9-938e-42ad-aad5-fbddb2bfae1a	3	2170634	31443857	17470	0.0038
864512c9-938e-42ad-aad5-fbddb2bfae1a	3	31443910	31447658	3	-1.5825
864512c9-938e-42ad-aad5-fbddb2bfae1a	3	31447667	104922358	39171	0.006
864512c9-938e-42ad-aad5-fbddb2bfae1a	3	104925617	104925720	2	-3.4479
864512c9-938e-42ad-aad5-fbddb2bfae1a	3	104926547	197812401	49597	0.0044
864512c9-938e-42ad-aad5-fbddb2bfae1a	4	1059384	92322379	50983	0.0045
864512c9-938e-42ad-aad5-fbddb2bfae1a	4	92324918	92414897	49	0.6298
864512c9-938e-42ad-aad5-fbddb2bfae1a	4	92415528	187842528	51508	-0.0008
864512c9-938e-42ad-aad5-fbddb2bfae1a	5	914118	180934240	100177	0.0027
864512c9-938e-42ad-aad5-fbddb2bfae1a	6	1011760	33006566	19274	0.0058
864512c9-938e-42ad-aad5-fbddb2bfae1a	6	33007237	33007480	2	-2.4448
864512c9-938e-42ad-aad5-fbddb2bfae1a	6	33008795	170596889	77012	0.0048
864512c9-938e-42ad-aad5-fbddb2bfae1a	7	664936	148546372	76239	0.0016
864512c9-938e-42ad-aad5-fbddb2bfae1a	7	148546643	148547476	2	-1.9523
864512c9-938e-42ad-aad5-fbddb2bfae1a	7	148548481	158592540	5028	0.0048
864512c9-938e-42ad-aad5-fbddb2bfae1a	8	667625	144182542	81493	0.0027
864512c9-938e-42ad-aad5-fbddb2bfae1a	9	789794	7582673	4087	0.0065
864512c9-938e-42ad-aad5-fbddb2bfae1a	9	7586590	7623316	33	-1.0472
864512c9-938e-42ad-aad5-fbddb2bfae1a	9	7632353	112454055	48679	0.0037
864512c9-938e-42ad-aad5-fbddb2bfae1a	9	112456108	112462119	11	-0.7714
864512c9-938e-42ad-aad5-fbddb2bfae1a	9	112462542	138044505	15040	0.0067
864512c9-938e-42ad-aad5-fbddb2bfae1a	10	366509	6168349	3740	0.0082
864512c9-938e-42ad-aad5-fbddb2bfae1a	10	6169638	6184926	24	0.5881
864512c9-938e-42ad-aad5-fbddb2bfae1a	10	6186450	124525177	71760	0.0059
864512c9-938e-42ad-aad5-fbddb2bfae1a	10	124531125	124532078	3	-1.9179
864512c9-938e-42ad-aad5-fbddb2bfae1a	10	124532265	133411599	5026	0.0062
864512c9-938e-42ad-aad5-fbddb2bfae1a	11	456012	134272740	76877	0.0061
864512c9-938e-42ad-aad5-fbddb2bfae1a	12	780472	118836617	67080	0.0035
864512c9-938e-42ad-aad5-fbddb2bfae1a	12	118837595	118837693	2	-3.6291
864512c9-938e-42ad-aad5-fbddb2bfae1a	12	118837902	132605822	6606	0.0122
864512c9-938e-42ad-aad5-fbddb2bfae1a	13	18874255	114226675	56390	0.0011
864512c9-938e-42ad-aad5-fbddb2bfae1a	14	20033191	105533894	49331	0.0049
864512c9-938e-42ad-aad5-fbddb2bfae1a	15	23437561	101344124	44378	0.0089
864512c9-938e-42ad-aad5-fbddb2bfae1a	16	603333	89317317	40849	0.0086
864512c9-938e-42ad-aad5-fbddb2bfae1a	17	1074619	43773140	17176	0.0153
864512c9-938e-42ad-aad5-fbddb2bfae1a	17	43776302	43782721	3	-1.945
864512c9-938e-42ad-aad5-fbddb2bfae1a	17	43799368	48061847	1395	0.0349
864512c9-938e-42ad-aad5-fbddb2bfae1a	17	48065318	48067838	2	-1.4437
864512c9-938e-42ad-aad5-fbddb2bfae1a	17	48068379	54577985	3359	0.0246
864512c9-938e-42ad-aad5-fbddb2bfae1a	17	54578856	54582106	2	-1.6494
864512c9-938e-42ad-aad5-fbddb2bfae1a	17	54584863	82959812	15074	0.0261
864512c9-938e-42ad-aad5-fbddb2bfae1a	18	326691	60245470	32547	0.0077
864512c9-938e-42ad-aad5-fbddb2bfae1a	18	60245552	60245641	2	-1.9132
864512c9-938e-42ad-aad5-fbddb2bfae1a	18	60257185	79349796	10018	0.0047
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	283868	23205038	8599	0.017
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	23210484	23211075	2	-1.8896
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	23211534	45911752	10243	0.0179
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	45915628	46932930	460	-0.2094
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	46939950	47890569	375	-0.0101
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	47890785	48200093	216	-0.271
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	48200374	48341610	105	0.0424
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	48347421	52366799	1515	-0.2449
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	52469597	54177068	470	0.0135
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	54177886	55881984	679	-0.2505
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	55882368	56091005	80	0.0165
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	56097272	56938515	496	-0.2279
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	56942848	57434452	320	0.0031
864512c9-938e-42ad-aad5-fbddb2bfae1a	19	57437778	58370362	436	-0.2663
864512c9-938e-42ad-aad5-fbddb2bfae1a	20	472817	1499783	580	0.0042
864512c9-938e-42ad-aad5-fbddb2bfae1a	20	1500582	1507535	2	-2.426
864512c9-938e-42ad-aad5-fbddb2bfae1a	20	1508007	63588502	36652	0.0083
864512c9-938e-42ad-aad5-fbddb2bfae1a	21	13974127	46262057	20422	0.0088
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	16934932	16947925	7	-0.3995
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	16948310	18130790	754	0.0074
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	18130970	24336077	467	-0.3147
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	24336143	24559607	45	0.0103
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	24562049	27295618	2101	-0.3126
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	27300233	27426601	140	-0.0273
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	27429093	28909355	883	-0.2746
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	28911170	28921462	3	-1.8535
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	28921571	32619579	2118	-0.294
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	32619760	32935399	284	-0.0259
864512c9-938e-42ad-aad5-fbddb2bfae1a	22	32936259	48940621	10123	-0.3099
864512c9-938e-42ad-aad5-fbddb2bfae1a	X	3236359	155677414	63409	0.0043
