GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	3301765	218004190	109700	-0.2991
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	218006249	218008896	6	-3.751
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	1	218008915	247650984	18618	-0.3166
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	2	480597	241537572	130732	-0.2783
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	2170634	175003061	94628	0.2433
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	175020005	175093900	49	-0.3037
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	3	175096609	197812401	11596	0.2511
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	4	1059384	59019109	32517	-0.3242
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	4	59019862	59024243	6	-1.8816
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	4	59036255	187842528	69753	-0.3204
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	5	913983	180934240	100278	0.6553
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	6	1011760	157648483	89170	-0.3211
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	6	157648969	157654630	7	-3.0386
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	6	157655373	170596889	6851	-0.3277
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	7	664936	55631059	32883	0.2484
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	7	55634014	75824358	5175	0.1968
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	7	75825134	158592540	43225	0.2417
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	8	667625	6968014	3207	0.9577
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	8	8398802	9822744	908	0.6238
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	8	9823123	11801118	1090	0.9549
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	8	12704441	117009432	59068	0.6504
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	8	117016206	117140390	80	-0.1495
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	8	117145672	144182542	17221	0.6625
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	9	789794	138044505	67645	-0.3023
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	10	366509	2313190	1030	0.2648
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	10	2317863	2319656	4	-1.2987
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	10	2319919	44391787	26304	0.2425
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	10	44392481	44392682	2	-2.5131
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	10	44392695	133411599	53260	0.2479
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	11	456012	134272740	76659	-0.3129
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	12	780472	90729521	49315	0.2458
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	12	90734804	90764549	21	-0.9933
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	12	90771848	132605822	24374	0.2412
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	13	18874255	19157909	194	-0.277
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	13	19158172	19159234	2	-2.9041
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	13	19159709	114226675	56068	-0.3009
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	14	20033191	24025034	1516	0.6455
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	14	24025440	24031436	13	-0.1507
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	14	24031630	105533894	47838	0.6573
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	15	23437561	58457100	18792	-0.2984
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	15	58457476	58542542	76	-1.1244
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	15	58543118	101344124	25390	-0.2858
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	16	603333	89317317	40886	0.2283
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	17	1074619	50050862	19495	-0.2939
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	17	50050969	50052486	3	-3.4151
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	17	50052715	82959812	17403	-0.2967
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	18	326691	79349796	42444	-0.3083
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	19	283868	58370362	24044	0.6276
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	20	472817	59968596	34969	-0.2968
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	20	59968695	59969692	2	-3.2424
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	20	59972608	63588502	2168	-0.307
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	21	13974127	46262057	20364	-0.3008
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	22	16934932	48940621	16914	-0.2991
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	X	3236359	67355570	25354	0.0091
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	X	67368359	67369229	2	-2.1083
eb2d3b3f-7cf2-44b8-a071-a9590f32e0fa	X	67370629	155677414	38079	0.0019
