GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0e68b520-96e7-402c-a522-64995ea316a5	1	3301765	15811279	7065	-0.2981
0e68b520-96e7-402c-a522-64995ea316a5	1	15811564	15811600	2	-2.6574
0e68b520-96e7-402c-a522-64995ea316a5	1	15816465	56439773	21714	-0.2996
0e68b520-96e7-402c-a522-64995ea316a5	1	56440130	217250148	81516	-0.3272
0e68b520-96e7-402c-a522-64995ea316a5	1	217250521	217253745	4	-2.1539
0e68b520-96e7-402c-a522-64995ea316a5	1	217254182	247650984	19283	-0.3297
0e68b520-96e7-402c-a522-64995ea316a5	2	480597	12676102	7899	0.0026
0e68b520-96e7-402c-a522-64995ea316a5	2	12677511	232301058	118554	-0.0162
0e68b520-96e7-402c-a522-64995ea316a5	2	232301297	241537572	5639	0.018
0e68b520-96e7-402c-a522-64995ea316a5	3	2170634	36665216	20688	0.0413
0e68b520-96e7-402c-a522-64995ea316a5	3	36665832	36666744	2	-1.9977
0e68b520-96e7-402c-a522-64995ea316a5	3	36668339	47871213	6423	0.0562
0e68b520-96e7-402c-a522-64995ea316a5	3	47877257	47886252	4	-1.4991
0e68b520-96e7-402c-a522-64995ea316a5	3	47886677	197812401	79988	0.0426
0e68b520-96e7-402c-a522-64995ea316a5	4	1059384	25372477	15307	0.3483
0e68b520-96e7-402c-a522-64995ea316a5	4	25372485	25374453	2	-1.7705
0e68b520-96e7-402c-a522-64995ea316a5	4	25378823	187842528	88109	0.334
0e68b520-96e7-402c-a522-64995ea316a5	5	913983	180934240	101053	0.3504
0e68b520-96e7-402c-a522-64995ea316a5	6	1011760	47168878	28021	0.0595
0e68b520-96e7-402c-a522-64995ea316a5	6	47169230	161967434	65156	0.0388
0e68b520-96e7-402c-a522-64995ea316a5	6	161967675	170596889	3892	0.0596
0e68b520-96e7-402c-a522-64995ea316a5	7	664936	9267788	3419	0.0503
0e68b520-96e7-402c-a522-64995ea316a5	7	9267904	9267923	2	-2.4096
0e68b520-96e7-402c-a522-64995ea316a5	7	9269358	53164787	28004	0.0463
0e68b520-96e7-402c-a522-64995ea316a5	7	53168444	53169666	2	-2.6977
0e68b520-96e7-402c-a522-64995ea316a5	7	53169871	158592540	50471	0.039
0e68b520-96e7-402c-a522-64995ea316a5	8	667625	1771584	534	0.064
0e68b520-96e7-402c-a522-64995ea316a5	8	1772282	1772924	2	-1.9577
0e68b520-96e7-402c-a522-64995ea316a5	8	1775778	14579143	6154	0.0357
0e68b520-96e7-402c-a522-64995ea316a5	8	14583684	14687142	110	-1.305
0e68b520-96e7-402c-a522-64995ea316a5	8	14692647	144182542	75363	0.0401
0e68b520-96e7-402c-a522-64995ea316a5	9	789794	73635212	27222	0.0363
0e68b520-96e7-402c-a522-64995ea316a5	9	73642196	73643076	2	-2.0146
0e68b520-96e7-402c-a522-64995ea316a5	9	73643213	131561132	38175	0.0469
0e68b520-96e7-402c-a522-64995ea316a5	9	131561135	135857466	2445	0.0912
0e68b520-96e7-402c-a522-64995ea316a5	9	135858105	138044505	591	0.0342
0e68b520-96e7-402c-a522-64995ea316a5	10	366509	53861013	31897	0.0529
0e68b520-96e7-402c-a522-64995ea316a5	10	53863411	53863469	2	-2.5292
0e68b520-96e7-402c-a522-64995ea316a5	10	53863770	133411599	49322	0.0536
0e68b520-96e7-402c-a522-64995ea316a5	11	456012	134272740	77452	-0.3291
0e68b520-96e7-402c-a522-64995ea316a5	12	780472	80446147	43902	0.3396
0e68b520-96e7-402c-a522-64995ea316a5	12	80446276	80456533	2	-2.0818
0e68b520-96e7-402c-a522-64995ea316a5	12	80458189	105837037	15835	0.3345
0e68b520-96e7-402c-a522-64995ea316a5	12	105839837	105840716	4	-1.1756
0e68b520-96e7-402c-a522-64995ea316a5	12	105844731	132605822	14569	0.3478
0e68b520-96e7-402c-a522-64995ea316a5	13	18874255	22462201	1781	-0.8501
0e68b520-96e7-402c-a522-64995ea316a5	13	22462688	22466360	2	-3.3674
0e68b520-96e7-402c-a522-64995ea316a5	13	22466559	26881340	2522	-0.8473
0e68b520-96e7-402c-a522-64995ea316a5	13	26882617	26882631	2	-6.8538
0e68b520-96e7-402c-a522-64995ea316a5	13	26883239	57896832	18368	-0.858
0e68b520-96e7-402c-a522-64995ea316a5	13	57897312	57900253	3	-4.848
0e68b520-96e7-402c-a522-64995ea316a5	13	57900558	114226675	34071	-0.854
0e68b520-96e7-402c-a522-64995ea316a5	14	20033191	68133777	26659	0.0463
0e68b520-96e7-402c-a522-64995ea316a5	14	68135585	68136992	2	-1.9558
0e68b520-96e7-402c-a522-64995ea316a5	14	68140306	89939229	13789	0.0472
0e68b520-96e7-402c-a522-64995ea316a5	14	89939658	89940309	3	-1.4849
0e68b520-96e7-402c-a522-64995ea316a5	14	89943009	105533894	9287	0.0716
0e68b520-96e7-402c-a522-64995ea316a5	15	23437561	101344124	44740	-0.3118
0e68b520-96e7-402c-a522-64995ea316a5	16	603333	89317317	41176	0.3606
0e68b520-96e7-402c-a522-64995ea316a5	17	1074619	82959812	37258	0.0603
0e68b520-96e7-402c-a522-64995ea316a5	18	326691	79349796	42914	-0.3354
0e68b520-96e7-402c-a522-64995ea316a5	19	283868	58370362	24150	0.345
0e68b520-96e7-402c-a522-64995ea316a5	20	472817	18970277	12241	0.3682
0e68b520-96e7-402c-a522-64995ea316a5	20	18971186	18971790	2	-1.4613
0e68b520-96e7-402c-a522-64995ea316a5	20	18971954	25741826	4575	0.3774
0e68b520-96e7-402c-a522-64995ea316a5	20	25743130	37457511	3141	0.3423
0e68b520-96e7-402c-a522-64995ea316a5	20	37458793	63588502	17588	0.3856
0e68b520-96e7-402c-a522-64995ea316a5	21	13974127	46262057	20575	0.3538
0e68b520-96e7-402c-a522-64995ea316a5	22	16934932	48940621	17002	-0.844
0e68b520-96e7-402c-a522-64995ea316a5	X	3236359	24993111	9383	0.0014
0e68b520-96e7-402c-a522-64995ea316a5	X	24993257	24993494	2	2.1433
0e68b520-96e7-402c-a522-64995ea316a5	X	24993890	37850312	6032	-0.0009
0e68b520-96e7-402c-a522-64995ea316a5	X	37851496	37855604	3	-2.99
0e68b520-96e7-402c-a522-64995ea316a5	X	37855706	50895685	5924	-0.0074
