GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	1	3301765	65649064	35348	0.0272
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	1	65649208	68612488	2186	0.0057
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	1	68615359	81348582	7003	-0.0188
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	1	81351335	232406344	74817	0.0112
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	1	232406813	232409319	10	-0.8458
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	1	232412598	243283692	7768	-0.002
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	1	243284099	247650984	2156	0.0254
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	2	480597	9808346	5775	0.012
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	2	9809447	9810242	3	-1.4978
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	2	9813820	43153454	19772	0.0157
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	2	43154333	43157098	3	-1.9541
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	2	43157125	241537572	106169	0.0042
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	3	2170634	73836978	42844	0.0127
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	3	73840036	119175853	22442	-0.0105
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	3	119178783	144611383	14170	0.0189
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	3	144612705	184548619	20049	-0.0048
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	3	184548637	197812401	7296	0.02
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	4	1059384	27034339	16246	0.0147
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	4	27046402	181468394	83893	-0.0076
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	4	181470082	181494871	30	-0.4309
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	4	181496904	181681362	122	0.0185
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	4	181686953	181784922	106	-0.3342
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	4	181785160	187842528	2721	0.0014
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	5	913983	52595312	26994	-0.0031
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	5	52596020	80272773	15653	0.0202
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	5	80275702	180934240	58079	0.0038
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	6	1011760	10276878	6767	0.0135
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	6	10276925	10280293	2	-1.8457
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	6	10282291	55232365	26065	0.0117
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	6	55232719	104627544	24808	-0.0114
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	6	104628970	170596889	39182	0.0048
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	7	664936	158592540	81661	0.0032
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	8	667625	144182542	81928	0.0048
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	9	789794	9584471	5435	0.2281
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	9	9584526	9587559	3	-2.0245
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	9	9590390	28105861	12092	0.2186
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	9	28106677	138044505	50711	0.0181
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	10	366509	133411599	81012	0.0124
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	11	456012	134272740	77301	0.0045
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	12	780472	132605822	74076	0.0033
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	13	18874255	114226675	56762	-0.0014
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	14	20033191	57739327	20529	0.0052
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	14	57740925	105533894	29026	-0.2413
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	15	23437561	101344124	44627	0.0237
e33c7b1d-c1ad-4934-abca-2aa9f9bf0130	16	603333	5806150	2196	0.0031
