GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f3e0595b-e839-4c34-b467-56b303181376	1	3301765	5646500	1666	0.1485
f3e0595b-e839-4c34-b467-56b303181376	1	5646537	28285526	11698	0.1758
f3e0595b-e839-4c34-b467-56b303181376	1	28286371	51563717	12259	0.1492
f3e0595b-e839-4c34-b467-56b303181376	1	51564707	51585116	10	0.7516
f3e0595b-e839-4c34-b467-56b303181376	1	51587466	146716041	42035	0.1447
f3e0595b-e839-4c34-b467-56b303181376	1	149906351	158411038	4257	0.7414
f3e0595b-e839-4c34-b467-56b303181376	1	158412810	158498370	60	1.1358
f3e0595b-e839-4c34-b467-56b303181376	1	158502209	163554603	3341	0.7274
f3e0595b-e839-4c34-b467-56b303181376	1	163555434	164052247	254	1.1343
f3e0595b-e839-4c34-b467-56b303181376	1	164057282	188803609	16110	-0.7289
f3e0595b-e839-4c34-b467-56b303181376	1	188807778	188838716	15	1.0264
f3e0595b-e839-4c34-b467-56b303181376	1	188844382	190764276	1018	1.1322
f3e0595b-e839-4c34-b467-56b303181376	1	190765748	191267399	255	0.6951
f3e0595b-e839-4c34-b467-56b303181376	1	191267829	193252785	1261	1.1369
f3e0595b-e839-4c34-b467-56b303181376	1	193255965	195809597	1484	0.7275
f3e0595b-e839-4c34-b467-56b303181376	1	195810831	196105695	193	1.1426
f3e0595b-e839-4c34-b467-56b303181376	1	196105818	204489038	5021	0.722
f3e0595b-e839-4c34-b467-56b303181376	1	204497732	210030113	3747	0.157
f3e0595b-e839-4c34-b467-56b303181376	1	210034483	233631127	15117	0.1295
f3e0595b-e839-4c34-b467-56b303181376	1	233631262	240655348	5149	0.153
f3e0595b-e839-4c34-b467-56b303181376	1	240657216	240657773	3	-1.1475
f3e0595b-e839-4c34-b467-56b303181376	1	240662000	243595786	1847	0.1656
f3e0595b-e839-4c34-b467-56b303181376	1	243597085	243602629	4	-0.7461
f3e0595b-e839-4c34-b467-56b303181376	1	243602673	247650984	1912	0.1483
f3e0595b-e839-4c34-b467-56b303181376	2	480597	7020591	3935	0.0667
f3e0595b-e839-4c34-b467-56b303181376	2	7023063	14322300	4809	0.1329
f3e0595b-e839-4c34-b467-56b303181376	2	14323038	18323699	2765	0.0875
f3e0595b-e839-4c34-b467-56b303181376	2	18324310	19064853	559	0.1206
f3e0595b-e839-4c34-b467-56b303181376	2	19069958	70727063	29425	0.1333
f3e0595b-e839-4c34-b467-56b303181376	2	70727956	82340982	6106	0.1087
f3e0595b-e839-4c34-b467-56b303181376	2	82344082	115756169	13309	0.1367
f3e0595b-e839-4c34-b467-56b303181376	2	115759283	158929428	22882	0.1163
f3e0595b-e839-4c34-b467-56b303181376	2	158930941	158931281	2	-1.8627
f3e0595b-e839-4c34-b467-56b303181376	2	158931342	241537572	47389	0.1253
f3e0595b-e839-4c34-b467-56b303181376	3	2170634	9214502	4111	0.099
f3e0595b-e839-4c34-b467-56b303181376	3	9215792	41296007	19442	0.1496
f3e0595b-e839-4c34-b467-56b303181376	3	41297199	46660272	2881	0.1098
f3e0595b-e839-4c34-b467-56b303181376	3	46665706	46665832	2	-1.3945
f3e0595b-e839-4c34-b467-56b303181376	3	46668608	53130787	2566	0.1294
f3e0595b-e839-4c34-b467-56b303181376	3	53136596	53163575	16	0.6869
f3e0595b-e839-4c34-b467-56b303181376	3	53164998	94244790	21955	0.1075
f3e0595b-e839-4c34-b467-56b303181376	3	94247357	185289878	48132	-0.9155
f3e0595b-e839-4c34-b467-56b303181376	3	185290786	186645242	905	-0.8267
f3e0595b-e839-4c34-b467-56b303181376	3	186645310	186648161	3	-2.7802
f3e0595b-e839-4c34-b467-56b303181376	3	186648427	197812401	5926	-0.8155
f3e0595b-e839-4c34-b467-56b303181376	4	1059384	24380505	14542	0.1402
f3e0595b-e839-4c34-b467-56b303181376	4	24381448	69488760	23189	0.1229
f3e0595b-e839-4c34-b467-56b303181376	4	69488857	75414582	3351	0.0882
f3e0595b-e839-4c34-b467-56b303181376	4	75414784	88581996	7920	0.1194
f3e0595b-e839-4c34-b467-56b303181376	4	88585395	102895956	7845	0.1357
f3e0595b-e839-4c34-b467-56b303181376	4	102911530	112894749	5509	-0.7556
f3e0595b-e839-4c34-b467-56b303181376	4	112895194	140409000	14703	-0.8146
f3e0595b-e839-4c34-b467-56b303181376	4	140419875	158066703	9912	0.1268
f3e0595b-e839-4c34-b467-56b303181376	4	158071073	158955808	457	-0.7296
f3e0595b-e839-4c34-b467-56b303181376	4	158955878	158956195	2	-2.4345
f3e0595b-e839-4c34-b467-56b303181376	4	158956216	165334552	3435	-0.7262
f3e0595b-e839-4c34-b467-56b303181376	4	165338567	165678007	253	-0.8777
f3e0595b-e839-4c34-b467-56b303181376	4	165678460	168841617	1733	-0.7339
f3e0595b-e839-4c34-b467-56b303181376	4	168842101	172963719	2141	-0.9256
f3e0595b-e839-4c34-b467-56b303181376	4	172964355	180604429	4228	-0.7293
f3e0595b-e839-4c34-b467-56b303181376	4	181157671	182325958	933	-0.9654
f3e0595b-e839-4c34-b467-56b303181376	4	182326351	182326448	2	-4.6163
f3e0595b-e839-4c34-b467-56b303181376	4	182327154	187842528	2251	-0.9458
f3e0595b-e839-4c34-b467-56b303181376	5	913983	34771360	19867	0.14
f3e0595b-e839-4c34-b467-56b303181376	5	34771729	53501889	7667	0.1684
f3e0595b-e839-4c34-b467-56b303181376	5	53502966	90645163	20392	0.1358
f3e0595b-e839-4c34-b467-56b303181376	5	90647616	97587054	3716	0.1702
f3e0595b-e839-4c34-b467-56b303181376	5	97588236	99167137	766	0.1341
f3e0595b-e839-4c34-b467-56b303181376	5	100226861	100305931	44	-0.8102
f3e0595b-e839-4c34-b467-56b303181376	5	100342956	107044135	3021	0.1634
f3e0595b-e839-4c34-b467-56b303181376	5	107055737	170708586	39355	0.1423
f3e0595b-e839-4c34-b467-56b303181376	5	170710705	180934240	5444	0.1795
f3e0595b-e839-4c34-b467-56b303181376	6	1011760	22390290	14867	-0.9416
f3e0595b-e839-4c34-b467-56b303181376	6	22390351	22390389	2	-6.0368
f3e0595b-e839-4c34-b467-56b303181376	6	22390871	24966461	1828	-0.9449
f3e0595b-e839-4c34-b467-56b303181376	6	24966755	24967012	3	-3.5883
f3e0595b-e839-4c34-b467-56b303181376	6	24967066	57347009	16886	-0.9305
f3e0595b-e839-4c34-b467-56b303181376	6	61527062	63779600	1014	0.6595
f3e0595b-e839-4c34-b467-56b303181376	6	63786375	69235104	3080	0.0848
f3e0595b-e839-4c34-b467-56b303181376	6	69243919	69266270	10	0.7136
f3e0595b-e839-4c34-b467-56b303181376	6	69266356	75561141	3700	0.0715
f3e0595b-e839-4c34-b467-56b303181376	6	75562558	82543967	3714	0.7289
f3e0595b-e839-4c34-b467-56b303181376	6	82550163	83116929	307	1.1444
f3e0595b-e839-4c34-b467-56b303181376	6	83123689	84080552	543	0.8093
f3e0595b-e839-4c34-b467-56b303181376	6	84080825	87545998	1944	0.7375
f3e0595b-e839-4c34-b467-56b303181376	6	87547177	90473086	1834	0.8462
f3e0595b-e839-4c34-b467-56b303181376	6	90475543	90505460	50	1.4351
f3e0595b-e839-4c34-b467-56b303181376	6	90507565	92506794	1174	0.8563
f3e0595b-e839-4c34-b467-56b303181376	6	92510556	93725102	808	0.21
f3e0595b-e839-4c34-b467-56b303181376	6	93727665	93768888	33	1.2471
f3e0595b-e839-4c34-b467-56b303181376	6	94556105	95386776	35	0.2107
f3e0595b-e839-4c34-b467-56b303181376	6	95388284	99109942	2181	0.8591
f3e0595b-e839-4c34-b467-56b303181376	6	99118244	100365312	813	1.2049
f3e0595b-e839-4c34-b467-56b303181376	6	100372915	100544830	112	0.7954
f3e0595b-e839-4c34-b467-56b303181376	6	100546445	103170563	1341	1.2294
f3e0595b-e839-4c34-b467-56b303181376	6	103171475	103848365	425	0.2328
f3e0595b-e839-4c34-b467-56b303181376	6	103856098	103907904	31	-0.8971
f3e0595b-e839-4c34-b467-56b303181376	6	103912933	105416982	811	0.2206
f3e0595b-e839-4c34-b467-56b303181376	6	105421734	107231276	1147	1.2365
f3e0595b-e839-4c34-b467-56b303181376	6	107232090	107234765	4	0.2297
f3e0595b-e839-4c34-b467-56b303181376	6	107238519	107264647	17	1.218
f3e0595b-e839-4c34-b467-56b303181376	6	107267248	108287714	647	0.2647
f3e0595b-e839-4c34-b467-56b303181376	6	108289437	109604711	744	1.2307
f3e0595b-e839-4c34-b467-56b303181376	6	109606805	113344125	2308	0.2321
f3e0595b-e839-4c34-b467-56b303181376	6	113347401	113528129	141	1.2105
f3e0595b-e839-4c34-b467-56b303181376	6	113530837	114096680	376	0.2379
f3e0595b-e839-4c34-b467-56b303181376	6	114100863	118227934	2209	1.2398
f3e0595b-e839-4c34-b467-56b303181376	6	118816495	119754328	503	0.8637
f3e0595b-e839-4c34-b467-56b303181376	6	119760369	119857867	76	1.2382
