GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	3301765	54230674	26941	-0.4375
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	54231070	91472138	23762	-0.526
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	91473167	91477650	5	-2.4377
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	91478811	107524916	9127	-0.5345
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	107527813	115312381	4651	-0.4717
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	115312526	115318644	5	-2.049
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	115318683	162527238	9660	-0.467
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	162534456	200443345	23847	-0.5188
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	200444144	206971332	4034	-0.4535
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	206975033	245865662	25609	-0.5143
2152e9c3-9720-40b8-8652-533ddb5d26fc	1	245865762	247650984	547	-0.4663
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	480597	49621965	29469	-0.1076
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	49622147	59717916	5403	-0.1741
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	59720049	75822655	9229	-0.1102
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	75827879	83827796	4202	-0.162
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	83828155	136528206	22690	-0.1054
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	136529370	168608170	18224	-0.1649
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	168613978	177670737	5736	-0.1247
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	177671194	200626558	11598	-0.162
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	200626837	207777220	4022	-0.1127
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	207777825	215966375	4853	-0.1675
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	215969957	219550356	2177	-0.0812
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	219556695	229553710	6513	-0.158
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	229554046	234751269	2808	-0.0922
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	234751708	234751713	2	-2.1082
2152e9c3-9720-40b8-8652-533ddb5d26fc	2	234752229	241537572	4019	-0.0758
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	2170634	11631956	5497	-0.5205
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	11632755	11632978	2	-4.0072
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	11635108	17252194	3711	-0.4939
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	17252896	31084062	7928	-0.5464
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	31086419	41202592	6145	-0.5165
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	41202919	54196611	6270	-0.4785
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	54197591	116501005	33420	-0.5466
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	116503310	116791836	229	-1.1349
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	116792316	118379050	1127	-0.6073
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	118379175	143574170	13871	-0.5126
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	143575340	169481798	13167	-0.5521
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	169482685	169494579	5	-2.9354
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	169495216	173314193	2148	-0.5293
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	173316131	176778810	1493	-0.6113
2152e9c3-9720-40b8-8652-533ddb5d26fc	3	176782895	197812401	10905	-0.5231
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	1059384	2477391	505	1.3902
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	2479763	2495436	17	0.3691
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	2500190	3154617	292	0.2277
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	3158061	10416454	4071	0.3283
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	10416807	11471971	855	0.2347
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	11473000	11611372	124	1.2089
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	11612888	23812129	8212	0.2033
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	23812643	27393364	2357	0.2509
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	27393393	33752505	3768	0.1715
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	33753795	34578545	440	1.1758
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	34582139	35428089	441	0.5629
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	35428231	35847530	237	0.3163
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	35849531	36082667	156	0.4772
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	36082856	37387146	892	0.2335
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	37391707	38360278	742	0.4846
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	38360444	38738537	262	0.626
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	38738641	41677456	1606	0.458
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	41677466	42058357	207	0.6221
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	42059775	42396886	211	0.4593
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	42404571	45549887	1466	0.1936
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	45553409	46122095	274	0.4071
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	46122663	57669751	4795	0.4798
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	57672535	73701795	8097	0.4308
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	73704594	84575645	6599	0.4771
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	84579048	123849710	21958	0.4408
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	123849869	138195629	7097	0.4065
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	138195858	181227668	23765	0.4416
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	181234669	181442228	170	0.1078
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	181446916	181650466	129	0.3912
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	181650949	181769676	135	0.1759
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	181770248	182320363	452	-0.1727
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	182324953	182364858	29	-0.6525
2152e9c3-9720-40b8-8652-533ddb5d26fc	4	182365111	182442098	66	0.1758
