GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	3301765	46547030	23124	-0.2167
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	46548431	50562326	2246	-0.1677
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	50563715	55151081	2391	-0.2076
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	55153119	60719251	4159	-0.1615
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	60719640	60719728	2	-2.1144
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	60722868	146716041	36112	-0.1806
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	149906351	151887957	787	-0.2562
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	151889820	152728919	422	-0.1799
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	152729200	152744516	14	-0.6498
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	152744853	153587321	552	-0.1716
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	153587655	157247031	1681	-0.2497
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	157247284	244236381	56595	-0.1824
77b628c4-5573-4c4d-b52e-10f93d35b05b	1	244236598	247650984	1470	-0.2032
77b628c4-5573-4c4d-b52e-10f93d35b05b	2	480597	123484614	65524	-0.1699
77b628c4-5573-4c4d-b52e-10f93d35b05b	2	123484634	123602963	2	-2.1027
77b628c4-5573-4c4d-b52e-10f93d35b05b	2	123602994	131145749	3389	-0.171
77b628c4-5573-4c4d-b52e-10f93d35b05b	2	131146248	217853316	48834	-0.1536
77b628c4-5573-4c4d-b52e-10f93d35b05b	2	217854409	241537572	14252	-0.1742
77b628c4-5573-4c4d-b52e-10f93d35b05b	3	2170634	153747636	84515	-0.1708
77b628c4-5573-4c4d-b52e-10f93d35b05b	3	153748053	153751442	2	-4.4665
77b628c4-5573-4c4d-b52e-10f93d35b05b	3	153755897	185062631	15459	-0.171
77b628c4-5573-4c4d-b52e-10f93d35b05b	3	185069010	185113370	22	0.6296
77b628c4-5573-4c4d-b52e-10f93d35b05b	3	185120184	197812401	7032	-0.1724
77b628c4-5573-4c4d-b52e-10f93d35b05b	4	1059384	69860681	38226	-0.1752
77b628c4-5573-4c4d-b52e-10f93d35b05b	4	69873279	69873993	2	-2.6421
77b628c4-5573-4c4d-b52e-10f93d35b05b	4	69875737	125512252	31827	-0.1586
77b628c4-5573-4c4d-b52e-10f93d35b05b	4	125514124	125518038	5	-1.4913
77b628c4-5573-4c4d-b52e-10f93d35b05b	4	125518622	187842528	33296	-0.1571
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	913983	5487259	3157	0.4801
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	5487769	5491177	2	-1.1103
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	5492295	16285989	6979	0.4725
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	16286654	29903047	7086	0.4418
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	29904327	37218356	4359	0.4662
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	37220399	37382706	64	0.2797
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	37400521	130488004	48511	0.4662
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	130488689	133173611	1324	0.4184
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	133174050	133952823	691	0.5044
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	133955160	134873082	448	0.3787
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	134879713	137907481	2088	0.4888
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	137907761	146548711	4734	0.4321
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	146549233	175845483	19505	0.4644
77b628c4-5573-4c4d-b52e-10f93d35b05b	5	175847465	180934240	2098	0.4121
77b628c4-5573-4c4d-b52e-10f93d35b05b	6	1011760	16247108	10848	-0.167
77b628c4-5573-4c4d-b52e-10f93d35b05b	6	16252622	16253864	2	-2.4036
77b628c4-5573-4c4d-b52e-10f93d35b05b	6	16254367	19743255	2414	-0.1731
77b628c4-5573-4c4d-b52e-10f93d35b05b	6	19746940	19748318	3	-2.9315
77b628c4-5573-4c4d-b52e-10f93d35b05b	6	19750487	22343121	1809	-0.178
77b628c4-5573-4c4d-b52e-10f93d35b05b	6	22343369	22343825	3	-1.5172
