GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	1	3301765	12746836	5352	-0.0785
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	1	12748643	12774437	19	-1.7065
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	1	13468357	55108565	22378	-0.0847
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	1	55111282	55111343	2	-2.2442
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	1	55111489	247650984	101823	-0.0962
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	2	480597	163581265	87002	0.2391
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	2	163584422	163585157	3	-2.3391
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	2	163587795	241537572	45092	0.2321
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	2170634	90436486	51215	-0.0823
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	90436812	100989919	3553	-0.5456
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	100989992	100990705	3	-2.3865
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	100992426	116359435	8721	-0.5599
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	116359450	116359465	2	-3.1001
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	116359479	116976364	518	-0.5436
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	116976706	116977151	2	-3.235
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	116977470	152197337	19505	-0.5497
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	152198272	152202739	2	-3.4334
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	152202927	174815198	11556	-0.5601
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	174826618	175360537	414	-0.7991
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	175360691	177489031	657	-0.5527
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	177494288	177496899	3	-2.6867
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	177499664	185906747	4143	-0.5372
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	185910993	185911401	3	-3.545
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	3	185914863	197812401	6608	-0.5619
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	1059384	79907967	44176	-0.0889
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	79912208	181286485	56037	-0.1109
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	181293647	181367614	76	-0.776
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	181369443	181400363	34	-1.7257
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	181403906	181486545	53	-0.6949
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	181486725	181496947	12	-0.514
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	181500676	181576753	67	-0.1328
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	181631890	181724656	104	-0.5886
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	4	181726390	187842528	2786	-0.1076
76f1fa71-2fe0-4a5a-ac6a-22387c14bc9f	5	913983	9316535	6137	0.282
